Time,meatloaf singer
2023-12-22,15
2023-12-23,28
2023-12-24,22
2023-12-25,0
2023-12-26,0
2023-12-27,16
2023-12-28,15
2023-12-29,15
2023-12-30,21
2023-12-31,22
2024-01-01,44
2024-01-02,15
2024-01-03,27
2024-01-04,20
2024-01-05,15
2024-01-06,20
2024-01-07,24
2024-01-08,13
2024-01-09,12
2024-01-10,14
2024-01-11,14
2024-01-12,20
2024-01-13,19
2024-01-14,16
2024-01-15,14
2024-01-16,12
2024-01-17,10
2024-01-18,16
2024-01-19,13
2024-01-20,25
2024-01-21,28
2024-01-22,20
2024-01-23,19
2024-01-24,20
2024-01-25,25
2024-01-26,19
2024-01-27,19
2024-01-28,21
2024-01-29,16
2024-01-30,13
2024-01-31,24
2024-02-01,15
2024-02-02,15
2024-02-03,15
2024-02-04,26
2024-02-05,27
2024-02-06,17
2024-02-07,17
2024-02-08,13
2024-02-09,13
2024-02-10,24
2024-02-11,35
2024-02-12,25
2024-02-13,11
2024-02-14,15
2024-02-15,16
2024-02-16,14
2024-02-17,15
2024-02-18,23
2024-02-19,17
2024-02-20,19
2024-02-21,19
2024-02-22,18
2024-02-23,15
2024-02-24,31
2024-02-25,29
2024-02-26,12
2024-02-27,17
2024-02-28,11
2024-02-29,16
2024-03-01,20
2024-03-02,18
2024-03-03,18
2024-03-04,14
2024-03-05,20
2024-03-06,0
2024-03-07,15
2024-03-08,18
2024-03-09,25
2024-03-10,37
2024-03-11,13
2024-03-12,12
2024-03-13,0
2024-03-14,18
2024-03-15,21
2024-03-16,19
2024-03-17,27
2024-03-18,15
2024-03-19,19
2024-03-20,14
2024-03-21,12
2024-03-22,14
2024-03-23,25
2024-03-24,29
2024-03-25,19
2024-03-26,15
2024-03-27,22
2024-03-28,21
2024-03-29,20
2024-03-30,14
2024-03-31,28
2024-04-01,15
2024-04-02,15
2024-04-03,27
2024-04-04,20
2024-04-05,12
2024-04-06,18
2024-04-07,19
2024-04-08,13
2024-04-09,20
2024-04-10,23
2024-04-11,20
2024-04-12,12
2024-04-13,15
2024-04-14,18
2024-04-15,0
2024-04-16,12
2024-04-17,11
2024-04-18,15
2024-04-19,19
2024-04-20,17
2024-04-21,24
2024-04-22,17
2024-04-23,14
2024-04-24,0
2024-04-25,17
2024-04-26,16
2024-04-27,26
2024-04-28,22
2024-04-29,100
2024-04-30,36
2024-05-01,10
2024-05-02,14
2024-05-03,13
2024-05-04,20
2024-05-05,33
2024-05-06,19
2024-05-07,22
2024-05-08,13
2024-05-09,18
2024-05-10,15
2024-05-11,18
2024-05-12,19
2024-05-13,12
2024-05-14,17
2024-05-15,16
2024-05-16,15
2024-05-17,21
2024-05-18,28
2024-05-19,16
2024-05-20,11
2024-05-21,17
2024-05-22,17
2024-05-23,15
2024-05-24,18
2024-05-25,19
2024-05-26,29
2024-05-27,19
2024-05-28,12
2024-05-29,13
2024-05-30,18
2024-05-31,15
2024-06-01,25
2024-06-02,27
2024-06-03,19
2024-06-04,17
2024-06-05,14
2024-06-06,16
2024-06-07,17
2024-06-08,18
2024-06-09,14
2024-06-10,14
2024-06-11,31
2024-06-12,25
2024-06-13,20
2024-06-14,28
2024-06-15,24
2024-06-16,22
2024-06-17,0
2024-06-18,22
2024-06-19,15
2024-06-20,23
2024-06-21,14
2024-06-22,22
2024-06-23,25
2024-06-24,21
2024-06-25,16
2024-06-26,22
2024-06-27,17
2024-06-28,14
2024-06-29,30
2024-06-30,27
2024-07-01,12
2024-07-02,19
2024-07-03,23
2024-07-04,29
2024-07-05,20
2024-07-06,24
2024-07-07,16
2024-07-08,18
2024-07-09,10
2024-07-10,28
2024-07-11,19
2024-07-12,19
2024-07-13,27
2024-07-14,23
2024-07-15,16
2024-07-16,24
2024-07-17,17
2024-07-18,24
2024-07-19,22
2024-07-20,25
2024-07-21,17
2024-07-22,30
2024-07-23,12
2024-07-24,15
2024-07-25,19
2024-07-26,19
2024-07-27,29
2024-07-28,24
2024-07-29,17
2024-07-30,21
2024-07-31,19
2024-08-01,20
2024-08-02,29
2024-08-03,26
2024-08-04,19
2024-08-05,23
2024-08-06,12
2024-08-07,18
2024-08-08,18
2024-08-09,13
2024-08-10,27
2024-08-11,21
2024-08-12,20
2024-08-13,25
2024-08-14,24
2024-08-15,20
2024-08-16,20
2024-08-17,19
2024-08-18,23
2024-08-19,0
2024-08-20,21
2024-08-21,18
2024-08-22,21
2024-08-23,15
2024-08-24,24
2024-08-25,23
2024-08-26,15
2024-08-27,19
2024-08-28,17
2024-08-29,31
2024-08-30,24
2024-08-31,16
2024-09-01,34
2024-09-02,29
2024-09-03,20
2024-09-04,18
2024-09-05,21
2024-09-06,16
2024-09-07,18
2024-09-08,19
2024-09-09,20
2024-09-10,12
2024-09-11,11
2024-09-12,19
2024-09-13,22
2024-09-14,17
2024-09-15,23
2024-09-16,18
