Time,meatloaf singer
2023-04-26,35
2023-04-27,0
2023-04-28,53
2023-04-29,31
2023-04-30,43
2023-05-01,28
2023-05-02,26
2023-05-03,0
2023-05-04,28
2023-05-05,32
2023-05-06,50
2023-05-07,31
2023-05-08,23
2023-05-09,0
2023-05-10,0
2023-05-11,35
2023-05-12,25
2023-05-13,34
2023-05-14,39
2023-05-15,0
2023-05-16,33
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,29
2023-05-21,0
2023-05-22,36
2023-05-23,41
2023-05-24,30
2023-05-25,26
2023-05-26,39
2023-05-27,32
2023-05-28,50
2023-05-29,34
2023-05-30,22
2023-05-31,0
2023-06-01,0
2023-06-02,24
2023-06-03,57
2023-06-04,30
2023-06-05,29
2023-06-06,44
2023-06-07,33
2023-06-08,28
2023-06-09,0
2023-06-10,34
2023-06-11,32
2023-06-12,28
2023-06-13,0
2023-06-14,26
2023-06-15,27
2023-06-16,0
2023-06-17,0
2023-06-18,46
2023-06-19,25
2023-06-20,33
2023-06-21,25
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,35
2023-06-26,49
2023-06-27,0
2023-06-28,0
2023-06-29,24
2023-06-30,30
2023-07-01,48
2023-07-02,45
2023-07-03,0
2023-07-04,44
2023-07-05,0
2023-07-06,31
2023-07-07,0
2023-07-08,27
2023-07-09,28
2023-07-10,0
2023-07-11,26
2023-07-12,0
2023-07-13,26
2023-07-14,30
2023-07-15,41
2023-07-16,39
2023-07-17,40
2023-07-18,27
2023-07-19,42
2023-07-20,47
2023-07-21,28
2023-07-22,63
2023-07-23,49
2023-07-24,32
2023-07-25,0
2023-07-26,33
2023-07-27,35
2023-07-28,47
2023-07-29,52
2023-07-30,49
2023-07-31,56
2023-08-01,41
2023-08-02,46
2023-08-03,26
2023-08-04,39
2023-08-05,47
2023-08-06,63
2023-08-07,43
2023-08-08,48
2023-08-09,39
2023-08-10,29
2023-08-11,27
2023-08-12,26
2023-08-13,84
2023-08-14,74
2023-08-15,31
2023-08-16,27
2023-08-17,34
2023-08-18,0
2023-08-19,73
2023-08-20,53
2023-08-21,34
2023-08-22,51
2023-08-23,44
2023-08-24,0
2023-08-25,61
2023-08-26,72
2023-08-27,61
2023-08-28,40
2023-08-29,24
2023-08-30,49
2023-08-31,27
2023-09-01,27
2023-09-02,64
2023-09-03,76
2023-09-04,69
2023-09-05,43
2023-09-06,23
2023-09-07,52
2023-09-08,51
2023-09-09,40
2023-09-10,54
2023-09-11,28
2023-09-12,52
2023-09-13,0
2023-09-14,44
2023-09-15,46
2023-09-16,42
2023-09-17,70
2023-09-18,53
2023-09-19,41
2023-09-20,0
2023-09-21,24
2023-09-22,45
2023-09-23,56
2023-09-24,59
2023-09-25,34
2023-09-26,36
2023-09-27,77
2023-09-28,76
2023-09-29,88
2023-09-30,63
2023-10-01,84
2023-10-02,49
2023-10-03,36
2023-10-04,61
2023-10-05,63
2023-10-06,53
2023-10-07,61
2023-10-08,48
2023-10-09,43
2023-10-10,40
2023-10-11,28
2023-10-12,52
2023-10-13,47
2023-10-14,66
2023-10-15,82
2023-10-16,50
2023-10-17,45
2023-10-18,55
2023-10-19,32
2023-10-20,50
2023-10-21,71
2023-10-22,61
2023-10-23,94
2023-10-24,51
2023-10-25,26
2023-10-26,49
2023-10-27,51
2023-10-28,76
2023-10-29,70
2023-10-30,50
2023-10-31,62
2023-11-01,43
2023-11-02,52
2023-11-03,52
2023-11-04,56
2023-11-05,63
2023-11-06,38
2023-11-07,33
2023-11-08,32
2023-11-09,49
2023-11-10,38
2023-11-11,38
2023-11-12,46
2023-11-13,50
2023-11-14,40
2023-11-15,71
2023-11-16,34
2023-11-17,30
2023-11-18,62
2023-11-19,57
2023-11-20,37
2023-11-21,29
2023-11-22,31
2023-11-23,80
2023-11-24,42
2023-11-25,41
2023-11-26,61
2023-11-27,28
2023-11-28,29
2023-11-29,33
2023-11-30,34
2023-12-01,43
2023-12-02,50
2023-12-03,66
2023-12-04,32
2023-12-05,37
2023-12-06,32
2023-12-07,34
2023-12-08,34
2023-12-09,52
2023-12-10,50
2023-12-11,0
2023-12-12,34
2023-12-13,29
2023-12-14,26
2023-12-15,32
2023-12-16,35
2023-12-17,51
2023-12-18,29
2023-12-19,26
2023-12-20,37
2023-12-21,43
2023-12-22,40
2023-12-23,59
2023-12-24,54
2023-12-25,35
2023-12-26,27
2023-12-27,38
2023-12-28,42
2023-12-29,34
2023-12-30,40
2023-12-31,41
2024-01-01,100
2024-01-02,29
2024-01-03,61
2024-01-04,50
2024-01-05,26
2024-01-06,50
2024-01-07,61
2024-01-08,36
2024-01-09,46
2024-01-10,38
2024-01-11,47
2024-01-12,47
2024-01-13,41
2024-01-14,45
2024-01-15,36
2024-01-16,23
2024-01-17,24
2024-01-18,29
2024-01-19,30
2024-01-20,63
