Time,craigslist
2025-04-15,82
2025-04-16,83
2025-04-17,87
2025-04-18,87
2025-04-19,89
2025-04-20,85
2025-04-21,85
2025-04-22,87
2025-04-23,85
2025-04-24,82
2025-04-25,81
2025-04-26,91
2025-04-27,95
2025-04-28,83
2025-04-29,88
2025-04-30,79
2025-05-01,85
2025-05-02,83
2025-05-03,93
2025-05-04,91
2025-05-05,86
2025-05-06,88
2025-05-07,81
2025-05-08,79
2025-05-09,84
2025-05-10,90
2025-05-11,89
2025-05-12,90
2025-05-13,87
2025-05-14,87
2025-05-15,87
2025-05-16,88
2025-05-17,91
2025-05-18,97
2025-05-19,85
2025-05-20,90
2025-05-21,85
2025-05-22,86
2025-05-23,88
2025-05-24,90
2025-05-25,92
2025-05-26,97
2025-05-27,89
2025-05-28,89
2025-05-29,90
2025-05-30,92
2025-05-31,96
2025-06-01,97
2025-06-02,91
2025-06-03,95
2025-06-04,87
2025-06-05,91
2025-06-06,92
2025-06-07,92
2025-06-08,93
2025-06-09,86
2025-06-10,88
2025-06-11,90
2025-06-12,95
2025-06-13,91
2025-06-14,91
2025-06-15,89
2025-06-16,86
2025-06-17,89
2025-06-18,83
2025-06-19,88
2025-06-20,86
2025-06-21,87
2025-06-22,87
2025-06-23,83
2025-06-24,86
2025-06-25,86
2025-06-26,84
2025-06-27,91
2025-06-28,90
2025-06-29,90
2025-06-30,90
2025-07-01,89
2025-07-02,85
2025-07-03,86
2025-07-04,86
2025-07-05,92
2025-07-06,97
2025-07-07,89
2025-07-08,86
2025-07-09,89
2025-07-10,87
2025-07-11,89
2025-07-12,91
2025-07-13,96
2025-07-14,93
2025-07-15,89
2025-07-16,87
2025-07-17,87
2025-07-18,86
2025-07-19,89
2025-07-20,92
2025-07-21,90
2025-07-22,91
2025-07-23,85
2025-07-24,86
2025-07-25,87
2025-07-26,89
2025-07-27,89
2025-07-28,90
2025-07-29,84
2025-07-30,80
2025-07-31,85
2025-08-01,79
2025-08-02,91
2025-08-03,92
2025-08-04,87
2025-08-05,86
2025-08-06,85
2025-08-07,85
2025-08-08,85
2025-08-09,100
2025-08-10,90
2025-08-11,85
2025-08-12,84
2025-08-13,82
2025-08-14,85
2025-08-15,80
2025-08-16,89
2025-08-17,93
2025-08-18,83
2025-08-19,86
2025-08-20,82
2025-08-21,81
2025-08-22,78
2025-08-23,86
2025-08-24,84
2025-08-25,81
2025-08-26,82
2025-08-27,79
2025-08-28,77
2025-08-29,82
2025-08-30,83
2025-08-31,83
2025-09-01,87
2025-09-02,80
2025-09-03,83
2025-09-04,78
2025-09-05,76
2025-09-06,81
2025-09-07,83
2025-09-08,79
2025-09-09,74
2025-09-10,71
2025-09-11,70
2025-09-12,69
2025-09-13,77
2025-09-14,76
2025-09-15,74
2025-09-16,72
2025-09-17,72
2025-09-18,69
2025-09-19,72
2025-09-20,80
2025-09-21,74
2025-09-22,74
2025-09-23,75
2025-09-24,71
2025-09-25,74
2025-09-26,74
2025-09-27,75
2025-09-28,75
2025-09-29,76
2025-09-30,71
2025-10-01,69
2025-10-02,73
2025-10-03,72
2025-10-04,78
2025-10-05,77
2025-10-06,73
2025-10-07,71
2025-10-08,74
2025-10-09,72
2025-10-10,70
2025-10-11,78
2025-10-12,78
2025-10-13,75
2025-10-14,76
2025-10-15,72
2025-10-16,70
2025-10-17,71
2025-10-18,77
2025-10-19,77
2025-10-20,74
2025-10-21,70
2025-10-22,71
2025-10-23,70
2025-10-24,71
2025-10-25,76
2025-10-26,74
2025-10-27,71
2025-10-28,68
2025-10-29,67
2025-10-30,66
2025-10-31,62
2025-11-01,73
2025-11-02,73
2025-11-03,68
2025-11-04,66
2025-11-05,66
2025-11-06,69
2025-11-07,70
2025-11-08,75
2025-11-09,71
2025-11-10,71
2025-11-11,71
2025-11-12,68
2025-11-13,70
2025-11-14,69
2025-11-15,70
2025-11-16,74
2025-11-17,70
2025-11-18,70
2025-11-19,70
2025-11-20,70
2025-11-21,66
2025-11-22,70
2025-11-23,72
2025-11-24,67
2025-11-25,68
2025-11-26,68
2025-11-27,61
2025-11-28,65
2025-11-29,72
2025-11-30,72
2025-12-01,64
2025-12-02,67
2025-12-03,66
2025-12-04,67
2025-12-05,64
2025-12-06,74
2025-12-07,65
2025-12-08,67
2025-12-09,70
2025-12-10,71
2025-12-11,63
2025-12-12,63
2025-12-13,71
2025-12-14,67
2025-12-15,62
2025-12-16,64
2025-12-17,65
2025-12-18,64
2025-12-19,64
2025-12-20,67
2025-12-21,67
2025-12-22,70
2025-12-23,64
2025-12-24,60
2025-12-25,57
2025-12-26,71
2025-12-27,78
2025-12-28,72
2025-12-29,74
2025-12-30,74
2025-12-31,66
2026-01-01,62
2026-01-02,74
2026-01-03,74
2026-01-04,73
2026-01-05,69
2026-01-06,69
2026-01-07,68
2026-01-08,64
2026-01-09,67
