Time,craigslist
2025-12-11,81
2025-12-12,80
2025-12-13,91
2025-12-14,85
2025-12-15,79
2025-12-16,82
2025-12-17,83
2025-12-18,82
2025-12-19,82
2025-12-20,86
2025-12-21,86
2025-12-22,90
2025-12-23,82
2025-12-24,77
2025-12-25,72
2025-12-26,91
2025-12-27,100
2025-12-28,93
2025-12-29,95
2025-12-30,94
2025-12-31,85
2026-01-01,80
2026-01-02,94
2026-01-03,95
2026-01-04,93
2026-01-05,88
2026-01-06,88
2026-01-07,87
2026-01-08,82
2026-01-09,86
2026-01-10,93
2026-01-11,92
2026-01-12,87
2026-01-13,87
2026-01-14,82
2026-01-15,80
2026-01-16,80
2026-01-17,88
2026-01-18,87
2026-01-19,85
2026-01-20,83
2026-01-21,85
2026-01-22,83
2026-01-23,83
2026-01-24,86
2026-01-25,83
2026-01-26,83
2026-01-27,82
2026-01-28,80
2026-01-29,83
2026-01-30,81
2026-01-31,90
2026-02-01,88
2026-02-02,79
2026-02-03,80
2026-02-04,80
2026-02-05,78
2026-02-06,79
2026-02-07,89
2026-02-08,76
2026-02-09,69
2026-02-10,81
2026-02-11,85
2026-02-12,81
2026-02-13,80
2026-02-14,84
2026-02-15,84
2026-02-16,85
2026-02-17,74
2026-02-18,84
2026-02-19,83
2026-02-20,79
2026-02-21,90
2026-02-22,84
2026-02-23,83
2026-02-24,84
2026-02-25,80
2026-02-26,84
2026-02-27,82
2026-02-28,92
2026-03-01,86
2026-03-02,88
2026-03-03,85
2026-03-04,85
2026-03-05,82
2026-03-06,84
2026-03-07,93
2026-03-08,92
2026-03-09,88
2026-03-10,90
2026-03-11,85
2026-03-12,83
2026-03-13,88
2026-03-14,91
2026-03-15,91
2026-03-16,84
2026-03-17,83
2026-03-18,84
2026-03-19,83
2026-03-20,85
2026-03-21,94
2026-03-22,90
2026-03-23,88
2026-03-24,90
2026-03-25,86
2026-03-26,83
2026-03-27,85
2026-03-28,90
2026-03-29,91
2026-03-30,85
2026-03-31,83
2026-04-01,81
2026-04-02,86
2026-04-03,85
2026-04-04,91
2026-04-05,86
2026-04-06,88
2026-04-07,82
2026-04-08,84
2026-04-09,83
2026-04-10,82
2026-04-11,88
2026-04-12,91
2026-04-13,82
2026-04-14,82
2026-04-15,83
2026-04-16,83
2026-04-17,79
2026-04-18,89
2026-04-19,91
2026-04-20,84
2026-04-21,84
2026-04-22,85
2026-04-23,81
2026-04-24,82
2026-04-25,88
2026-04-26,89
2026-04-27,85
2026-04-28,91
2026-04-29,84
2026-04-30,80
2026-05-01,82
2026-05-02,90
2026-05-03,92
2026-05-04,84
2026-05-05,80
2026-05-06,80
2026-05-07,78
2026-05-08,79
2026-05-09,92
2026-05-10,83
2026-05-11,80
2026-05-12,85
2026-05-13,83
2026-05-14,83
2026-05-15,84
2026-05-16,90
2026-05-17,89
2026-05-18,87
2026-05-19,87
2026-05-20,83
2026-05-21,84
2026-05-22,83
2026-05-23,89
2026-05-24,91
2026-05-25,89
2026-05-26,86
2026-05-27,79
2026-05-28,85
2026-05-29,82
2026-05-30,87
2026-05-31,87
