Time,translate english to spanish
2023-12-22,66
2023-12-23,52
2023-12-24,51
2023-12-25,52
2023-12-26,55
2023-12-27,61
2023-12-28,57
2023-12-29,56
2023-12-30,49
2023-12-31,49
2024-01-01,54
2024-01-02,60
2024-01-03,75
2024-01-04,81
2024-01-05,77
2024-01-06,54
2024-01-07,48
2024-01-08,82
2024-01-09,87
2024-01-10,99
2024-01-11,93
2024-01-12,94
2024-01-13,51
2024-01-14,50
2024-01-15,57
2024-01-16,82
2024-01-17,92
2024-01-18,97
2024-01-19,92
2024-01-20,54
2024-01-21,51
2024-01-22,90
2024-01-23,89
2024-01-24,100
2024-01-25,97
2024-01-26,85
2024-01-27,52
2024-01-28,49
2024-01-29,91
2024-01-30,94
2024-01-31,94
2024-02-01,91
2024-02-02,88
2024-02-03,51
2024-02-04,49
2024-02-05,83
2024-02-06,86
2024-02-07,95
2024-02-08,97
2024-02-09,86
2024-02-10,50
2024-02-11,45
2024-02-12,77
2024-02-13,90
2024-02-14,90
2024-02-15,92
2024-02-16,80
2024-02-17,50
2024-02-18,49
2024-02-19,60
2024-02-20,83
2024-02-21,91
2024-02-22,91
2024-02-23,81
2024-02-24,51
2024-02-25,49
2024-02-26,86
2024-02-27,97
2024-02-28,91
2024-02-29,92
2024-03-01,85
2024-03-02,50
2024-03-03,51
2024-03-04,93
2024-03-05,91
2024-03-06,91
2024-03-07,93
2024-03-08,85
2024-03-09,50
2024-03-10,47
2024-03-11,79
2024-03-12,82
2024-03-13,82
2024-03-14,91
2024-03-15,79
2024-03-16,50
2024-03-17,51
2024-03-18,88
2024-03-19,93
2024-03-20,95
2024-03-21,90
2024-03-22,85
2024-03-23,51
2024-03-24,49
2024-03-25,85
2024-03-26,84
2024-03-27,84
2024-03-28,80
2024-03-29,63
2024-03-30,48
2024-03-31,48
2024-04-01,73
2024-04-02,82
2024-04-03,82
2024-04-04,80
2024-04-05,79
2024-04-06,49
2024-04-07,46
2024-04-08,76
2024-04-09,87
2024-04-10,86
2024-04-11,86
2024-04-12,85
2024-04-13,48
2024-04-14,47
2024-04-15,91
2024-04-16,92
2024-04-17,87
2024-04-18,88
2024-04-19,86
2024-04-20,57
2024-04-21,54
2024-04-22,89
2024-04-23,86
2024-04-24,89
2024-04-25,87
2024-04-26,80
2024-04-27,51
2024-04-28,51
2024-04-29,87
2024-04-30,89
2024-05-01,91
2024-05-02,90
2024-05-03,86
2024-05-04,51
2024-05-05,50
2024-05-06,90
2024-05-07,91
2024-05-08,91
2024-05-09,87
2024-05-10,88
2024-05-11,56
2024-05-12,55
2024-05-13,93
2024-05-14,91
2024-05-15,85
2024-05-16,89
2024-05-17,82
2024-05-18,52
2024-05-19,51
2024-05-20,85
2024-05-21,85
2024-05-22,81
2024-05-23,87
2024-05-24,69
2024-05-25,56
2024-05-26,50
2024-05-27,50
2024-05-28,81
2024-05-29,76
2024-05-30,79
2024-05-31,74
2024-06-01,53
2024-06-02,52
2024-06-03,71
2024-06-04,72
2024-06-05,73
2024-06-06,75
2024-06-07,71
2024-06-08,54
2024-06-09,50
2024-06-10,70
2024-06-11,67
2024-06-12,65
2024-06-13,66
2024-06-14,67
2024-06-15,50
2024-06-16,58
2024-06-17,60
2024-06-18,66
2024-06-19,61
2024-06-20,60
2024-06-21,65
2024-06-22,57
2024-06-23,50
2024-06-24,59
2024-06-25,60
2024-06-26,62
2024-06-27,65
2024-06-28,64
2024-06-29,49
2024-06-30,47
2024-07-01,62
2024-07-02,64
2024-07-03,60
2024-07-04,51
2024-07-05,59
2024-07-06,49
2024-07-07,51
2024-07-08,57
2024-07-09,65
2024-07-10,62
2024-07-11,67
2024-07-12,63
2024-07-13,50
2024-07-14,47
2024-07-15,63
2024-07-16,63
2024-07-17,64
2024-07-18,65
2024-07-19,59
2024-07-20,48
2024-07-21,44
2024-07-22,60
2024-07-23,60
2024-07-24,61
2024-07-25,63
2024-07-26,59
2024-07-27,49
2024-07-28,49
2024-07-29,59
2024-07-30,60
2024-07-31,60
2024-08-01,57
2024-08-02,59
2024-08-03,47
2024-08-04,54
2024-08-05,59
2024-08-06,61
2024-08-07,62
2024-08-08,66
2024-08-09,67
2024-08-10,51
2024-08-11,49
2024-08-12,68
2024-08-13,70
2024-08-14,74
2024-08-15,77
2024-08-16,72
2024-08-17,50
2024-08-18,48
2024-08-19,72
2024-08-20,82
2024-08-21,83
2024-08-22,84
2024-08-23,83
2024-08-24,52
2024-08-25,51
2024-08-26,88
2024-08-27,86
2024-08-28,89
2024-08-29,90
2024-08-30,79
2024-08-31,53
2024-09-01,51
2024-09-02,56
2024-09-03,86
2024-09-04,91
2024-09-05,92
2024-09-06,82
2024-09-07,53
2024-09-08,48
2024-09-09,94
2024-09-10,93
2024-09-11,90
2024-09-12,97
2024-09-13,91
2024-09-14,53
2024-09-15,46
2024-09-16,86
