Time,panera bread
2023-12-22,76
2023-12-23,74
2023-12-24,76
2023-12-25,48
2023-12-26,64
2023-12-27,67
2023-12-28,75
2023-12-29,77
2023-12-30,68
2023-12-31,74
2024-01-01,81
2024-01-02,67
2024-01-03,71
2024-01-04,71
2024-01-05,70
2024-01-06,65
2024-01-07,66
2024-01-08,64
2024-01-09,64
2024-01-10,70
2024-01-11,69
2024-01-12,69
2024-01-13,66
2024-01-14,64
2024-01-15,68
2024-01-16,59
2024-01-17,70
2024-01-18,67
2024-01-19,60
2024-01-20,65
2024-01-21,65
2024-01-22,64
2024-01-23,66
2024-01-24,100
2024-01-25,84
2024-01-26,64
2024-01-27,64
2024-01-28,63
2024-01-29,59
2024-01-30,65
2024-01-31,64
2024-02-01,60
2024-02-02,61
2024-02-03,65
2024-02-04,62
2024-02-05,57
2024-02-06,59
2024-02-07,61
2024-02-08,59
2024-02-09,60
2024-02-10,66
2024-02-11,51
2024-02-12,49
2024-02-13,56
2024-02-14,57
2024-02-15,56
2024-02-16,62
2024-02-17,65
2024-02-18,69
2024-02-19,65
2024-02-20,57
2024-02-21,59
2024-02-22,58
2024-02-23,62
2024-02-24,61
2024-02-25,64
2024-02-26,55
2024-02-27,53
2024-02-28,60
2024-02-29,83
2024-03-01,86
2024-03-02,73
2024-03-03,64
2024-03-04,55
2024-03-05,60
2024-03-06,59
2024-03-07,61
2024-03-08,60
2024-03-09,60
2024-03-10,63
2024-03-11,56
2024-03-12,55
2024-03-13,55
2024-03-14,57
2024-03-15,58
2024-03-16,55
2024-03-17,59
2024-03-18,54
2024-03-19,54
2024-03-20,57
2024-03-21,54
2024-03-22,57
2024-03-23,81
2024-03-24,95
2024-03-25,87
2024-03-26,71
2024-03-27,61
2024-03-28,58
2024-03-29,59
2024-03-30,53
2024-03-31,63
2024-04-01,54
2024-04-02,53
2024-04-03,57
2024-04-04,60
2024-04-05,63
2024-04-06,60
2024-04-07,63
2024-04-08,51
2024-04-09,61
2024-04-10,62
2024-04-11,59
2024-04-12,62
2024-04-13,63
2024-04-14,59
2024-04-15,57
2024-04-16,58
2024-04-17,59
2024-04-18,61
2024-04-19,59
2024-04-20,62
2024-04-21,66
2024-04-22,53
2024-04-23,60
2024-04-24,58
2024-04-25,60
2024-04-26,57
2024-04-27,58
2024-04-28,61
2024-04-29,56
2024-04-30,56
2024-05-01,57
2024-05-02,57
2024-05-03,57
2024-05-04,60
2024-05-05,57
2024-05-06,54
2024-05-07,56
2024-05-08,60
2024-05-09,60
2024-05-10,58
2024-05-11,59
2024-05-12,68
2024-05-13,54
2024-05-14,54
2024-05-15,56
2024-05-16,56
2024-05-17,56
2024-05-18,53
2024-05-19,56
2024-05-20,53
2024-05-21,55
2024-05-22,58
2024-05-23,58
2024-05-24,57
2024-05-25,57
2024-05-26,54
2024-05-27,60
2024-05-28,49
2024-05-29,56
2024-05-30,60
2024-05-31,61
2024-06-01,55
2024-06-02,61
2024-06-03,54
2024-06-04,57
2024-06-05,58
2024-06-06,57
2024-06-07,60
2024-06-08,54
2024-06-09,57
2024-06-10,56
2024-06-11,56
2024-06-12,58
2024-06-13,56
2024-06-14,58
2024-06-15,51
2024-06-16,51
2024-06-17,58
2024-06-18,51
2024-06-19,57
2024-06-20,52
2024-06-21,57
2024-06-22,55
2024-06-23,55
2024-06-24,55
2024-06-25,53
2024-06-26,55
2024-06-27,53
2024-06-28,57
2024-06-29,53
2024-06-30,55
2024-07-01,50
2024-07-02,51
2024-07-03,52
2024-07-04,56
2024-07-05,50
2024-07-06,50
2024-07-07,52
2024-07-08,53
2024-07-09,57
2024-07-10,61
2024-07-11,58
2024-07-12,56
2024-07-13,54
2024-07-14,50
2024-07-15,51
2024-07-16,53
2024-07-17,60
2024-07-18,59
2024-07-19,51
2024-07-20,55
2024-07-21,58
2024-07-22,59
2024-07-23,59
2024-07-24,60
2024-07-25,61
2024-07-26,62
2024-07-27,56
2024-07-28,54
2024-07-29,58
2024-07-30,55
2024-07-31,59
2024-08-01,56
2024-08-02,53
2024-08-03,52
2024-08-04,53
2024-08-05,54
2024-08-06,52
2024-08-07,60
2024-08-08,56
2024-08-09,50
2024-08-10,50
2024-08-11,56
2024-08-12,53
2024-08-13,54
2024-08-14,56
2024-08-15,60
2024-08-16,53
2024-08-17,55
2024-08-18,56
2024-08-19,48
2024-08-20,55
2024-08-21,56
2024-08-22,54
2024-08-23,54
2024-08-24,52
2024-08-25,54
2024-08-26,50
2024-08-27,51
2024-08-28,49
2024-08-29,50
2024-08-30,52
2024-08-31,48
2024-09-01,50
2024-09-02,54
2024-09-03,47
2024-09-04,51
2024-09-05,48
2024-09-06,50
2024-09-07,52
2024-09-08,50
2024-09-09,48
2024-09-10,48
2024-09-11,51
2024-09-12,58
2024-09-13,57
2024-09-14,60
2024-09-15,56
2024-09-16,49
