Time,players championship
2023-04-26,6
2023-04-27,10
2023-04-28,9
2023-04-29,9
2023-04-30,12
2023-05-01,10
2023-05-02,8
2023-05-03,12
2023-05-04,14
2023-05-05,14
2023-05-06,16
2023-05-07,22
2023-05-08,15
2023-05-09,12
2023-05-10,11
2023-05-11,12
2023-05-12,10
2023-05-13,18
2023-05-14,29
2023-05-15,25
2023-05-16,30
2023-05-17,30
2023-05-18,74
2023-05-19,56
2023-05-20,73
2023-05-21,100
2023-05-22,34
2023-05-23,18
2023-05-24,8
2023-05-25,5
2023-05-26,7
2023-05-27,10
2023-05-28,10
2023-05-29,7
2023-05-30,10
2023-05-31,7
2023-06-01,6
2023-06-02,7
2023-06-03,7
2023-06-04,8
2023-06-05,8
2023-06-06,7
2023-06-07,4
2023-06-08,8
2023-06-09,5
2023-06-10,10
2023-06-11,9
2023-06-12,6
2023-06-13,23
2023-06-14,10
2023-06-15,11
2023-06-16,9
2023-06-17,10
2023-06-18,11
2023-06-19,13
2023-06-20,9
2023-06-21,12
2023-06-22,9
2023-06-23,7
2023-06-24,10
2023-06-25,12
2023-06-26,6
2023-06-27,9
2023-06-28,6
2023-06-29,6
2023-06-30,5
2023-07-01,8
2023-07-02,12
2023-07-03,7
2023-07-04,7
2023-07-05,5
2023-07-06,5
2023-07-07,7
2023-07-08,6
2023-07-09,4
2023-07-10,7
2023-07-11,7
2023-07-12,6
2023-07-13,6
2023-07-14,6
2023-07-15,8
2023-07-16,14
2023-07-17,9
2023-07-18,8
2023-07-19,9
2023-07-20,12
2023-07-21,9
2023-07-22,9
2023-07-23,14
2023-07-24,7
2023-07-25,5
2023-07-26,4
2023-07-27,6
2023-07-28,7
2023-07-29,6
2023-07-30,8
2023-07-31,5
2023-08-01,6
2023-08-02,6
2023-08-03,6
2023-08-04,10
2023-08-05,7
2023-08-06,8
2023-08-07,10
2023-08-08,6
2023-08-09,5
2023-08-10,9
2023-08-11,7
2023-08-12,7
2023-08-13,11
2023-08-14,12
2023-08-15,9
2023-08-16,7
2023-08-17,11
2023-08-18,9
2023-08-19,10
2023-08-20,18
2023-08-21,14
2023-08-22,10
2023-08-23,7
2023-08-24,12
2023-08-25,13
2023-08-26,16
2023-08-27,26
2023-08-28,8
2023-08-29,6
2023-08-30,7
2023-08-31,6
2023-09-01,7
2023-09-02,7
2023-09-03,5
2023-09-04,7
2023-09-05,7
2023-09-06,4
2023-09-07,4
2023-09-08,4
2023-09-09,7
2023-09-10,8
2023-09-11,5
2023-09-12,5
2023-09-13,8
2023-09-14,6
2023-09-15,5
2023-09-16,6
2023-09-17,4
2023-09-18,5
2023-09-19,4
2023-09-20,4
2023-09-21,5
2023-09-22,4
2023-09-23,4
2023-09-24,0
2023-09-25,4
2023-09-26,5
2023-09-27,5
2023-09-28,4
2023-09-29,5
2023-09-30,5
2023-10-01,4
2023-10-02,4
2023-10-03,6
2023-10-04,5
2023-10-05,4
2023-10-06,5
2023-10-07,3
2023-10-08,6
2023-10-09,6
2023-10-10,5
2023-10-11,4
2023-10-12,4
2023-10-13,5
2023-10-14,5
2023-10-15,5
2023-10-16,4
2023-10-17,4
2023-10-18,4
2023-10-19,7
2023-10-20,6
2023-10-21,4
2023-10-22,6
2023-10-23,5
2023-10-24,5
2023-10-25,7
2023-10-26,5
2023-10-27,5
2023-10-28,6
2023-10-29,4
2023-10-30,4
2023-10-31,5
2023-11-01,0
2023-11-02,7
2023-11-03,4
2023-11-04,5
2023-11-05,4
2023-11-06,5
2023-11-07,5
2023-11-08,4
2023-11-09,6
2023-11-10,5
2023-11-11,6
2023-11-12,7
2023-11-13,6
2023-11-14,6
2023-11-15,6
2023-11-16,6
2023-11-17,7
2023-11-18,7
2023-11-19,8
2023-11-20,5
2023-11-21,5
2023-11-22,3
2023-11-23,5
2023-11-24,5
2023-11-25,12
2023-11-26,9
2023-11-27,6
2023-11-28,6
2023-11-29,7
2023-11-30,7
2023-12-01,5
2023-12-02,10
2023-12-03,11
2023-12-04,9
2023-12-05,7
2023-12-06,7
2023-12-07,8
2023-12-08,5
2023-12-09,8
2023-12-10,13
2023-12-11,4
2023-12-12,6
2023-12-13,6
2023-12-14,6
2023-12-15,6
2023-12-16,7
2023-12-17,7
2023-12-18,5
2023-12-19,6
2023-12-20,6
2023-12-21,6
2023-12-22,3
2023-12-23,6
2023-12-24,11
2023-12-25,9
2023-12-26,3
2023-12-27,6
2023-12-28,7
2023-12-29,7
2023-12-30,9
2023-12-31,8
2024-01-01,8
2024-01-02,15
2024-01-03,12
2024-01-04,9
2024-01-05,10
2024-01-06,10
2024-01-07,10
2024-01-08,11
2024-01-09,31
2024-01-10,12
2024-01-11,16
2024-01-12,18
2024-01-13,19
2024-01-14,12
2024-01-15,22
2024-01-16,18
2024-01-17,11
2024-01-18,9
2024-01-19,12
2024-01-20,9
