Time,snake game
2022-01-01,8
2022-01-02,8
2022-01-03,18
2022-01-04,31
2022-01-05,35
2022-01-06,30
2022-01-07,28
2022-01-08,10
2022-01-09,8
2022-01-10,39
2022-01-11,44
2022-01-12,36
2022-01-13,45
2022-01-14,34
2022-01-15,10
2022-01-16,8
2022-01-17,8
2022-01-18,29
2022-01-19,30
2022-01-20,32
2022-01-21,33
2022-01-22,9
2022-01-23,7
2022-01-24,34
2022-01-25,28
2022-01-26,31
2022-01-27,34
2022-01-28,38
2022-01-29,9
2022-01-30,8
2022-01-31,31
2022-02-01,30
2022-02-02,31
2022-02-03,29
2022-02-04,27
2022-02-05,9
2022-02-06,8
2022-02-07,30
2022-02-08,39
2022-02-09,34
2022-02-10,33
2022-02-11,36
2022-02-12,10
2022-02-13,7
2022-02-14,26
2022-02-15,28
2022-02-16,31
2022-02-17,30
2022-02-18,26
2022-02-19,9
2022-02-20,8
2022-02-21,9
2022-02-22,22
2022-02-23,23
2022-02-24,21
2022-02-25,22
2022-02-26,9
2022-02-27,6
2022-02-28,21
2022-03-01,21
2022-03-02,23
2022-03-03,22
2022-03-04,22
2022-03-05,8
2022-03-06,6
2022-03-07,19
2022-03-08,21
2022-03-09,21
2022-03-10,25
2022-03-11,17
2022-03-12,7
2022-03-13,6
2022-03-14,17
2022-03-15,16
2022-03-16,16
2022-03-17,16
2022-03-18,15
2022-03-19,7
2022-03-20,6
2022-03-21,18
2022-03-22,21
2022-03-23,21
2022-03-24,23
2022-03-25,91
2022-03-26,11
2022-03-27,9
2022-03-28,68
2022-03-29,74
2022-03-30,19
2022-03-31,74
2022-04-01,73
2022-04-02,10
2022-04-03,8
2022-04-04,63
2022-04-05,63
2022-04-06,64
2022-04-07,66
2022-04-08,67
2022-04-09,9
2022-04-10,8
2022-04-11,55
2022-04-12,58
2022-04-13,59
2022-04-14,78
2022-04-15,29
2022-04-16,8
2022-04-17,7
2022-04-18,45
2022-04-19,64
2022-04-20,57
2022-04-21,70
2022-04-22,86
2022-04-23,9
2022-04-24,8
2022-04-25,70
2022-04-26,75
2022-04-27,64
2022-04-28,67
2022-04-29,70
2022-04-30,10
2022-05-01,8
2022-05-02,64
2022-05-03,64
2022-05-04,64
2022-05-05,76
2022-05-06,77
2022-05-07,9
2022-05-08,8
2022-05-09,81
2022-05-10,82
2022-05-11,77
2022-05-12,91
2022-05-13,72
2022-05-14,9
2022-05-15,8
2022-05-16,73
2022-05-17,76
2022-05-18,66
2022-05-19,63
2022-05-20,62
2022-05-21,8
2022-05-22,7
2022-05-23,60
2022-05-24,55
2022-05-25,58
2022-05-26,65
2022-05-27,45
2022-05-28,7
2022-05-29,7
2022-05-30,7
2022-05-31,33
2022-06-01,31
2022-06-02,34
2022-06-03,33
2022-06-04,6
2022-06-05,5
2022-06-06,28
2022-06-07,24
2022-06-08,28
2022-06-09,21
2022-06-10,18
2022-06-11,5
2022-06-12,5
2022-06-13,16
2022-06-14,15
2022-06-15,13
2022-06-16,11
2022-06-17,12
2022-06-18,5
2022-06-19,5
2022-06-20,7
2022-06-21,9
2022-06-22,9
2022-06-23,10
2022-06-24,7
2022-06-25,5
2022-06-26,4
2022-06-27,7
2022-06-28,6
2022-06-29,6
2022-06-30,6
2022-07-01,5
2022-07-02,4
2022-07-03,4
2022-07-04,4
2022-07-05,5
2022-07-06,6
2022-07-07,5
2022-07-08,5
2022-07-09,4
2022-07-10,4
2022-07-11,5
2022-07-12,6
2022-07-13,5
2022-07-14,5
2022-07-15,5
2022-07-16,4
2022-07-17,4
2022-07-18,4
2022-07-19,5
2022-07-20,5
2022-07-21,5
2022-07-22,5
2022-07-23,4
2022-07-24,4
2022-07-25,5
2022-07-26,5
2022-07-27,5
2022-07-28,5
2022-07-29,6
2022-07-30,4
2022-07-31,4
2022-08-01,6
2022-08-02,7
2022-08-03,8
2022-08-04,9
2022-08-05,10
2022-08-06,4
2022-08-07,4
2022-08-08,10
2022-08-09,13
2022-08-10,16
2022-08-11,23
2022-08-12,26
2022-08-13,5
2022-08-14,5
2022-08-15,28
2022-08-16,36
2022-08-17,41
2022-08-18,51
2022-08-19,57
2022-08-20,6
2022-08-21,6
2022-08-22,50
2022-08-23,64
2022-08-24,68
2022-08-25,73
2022-08-26,81
2022-08-27,8
2022-08-28,6
2022-08-29,70
2022-08-30,83
2022-08-31,82
2022-09-01,83
2022-09-02,80
2022-09-03,7
2022-09-04,6
2022-09-05,9
2022-09-06,78
2022-09-07,81
2022-09-08,87
2022-09-09,100
2022-09-10,9
2022-09-11,7
2022-09-12,76
2022-09-13,86
2022-09-14,79
2022-09-15,99
2022-09-16,99
2022-09-17,10
2022-09-18,7
2022-09-19,75
2022-09-20,76
2022-09-21,89
2022-09-22,77
2022-09-23,85
2022-09-24,10
2022-09-25,8
2022-09-26,56
2022-09-27,67
