Time,southwest
2025-04-15,71
2025-04-16,71
2025-04-17,72
2025-04-18,69
2025-04-19,55
2025-04-20,54
2025-04-21,73
2025-04-22,76
2025-04-23,73
2025-04-24,74
2025-04-25,68
2025-04-26,57
2025-04-27,65
2025-04-28,76
2025-04-29,72
2025-04-30,75
2025-05-01,78
2025-05-02,73
2025-05-03,61
2025-05-04,62
2025-05-05,73
2025-05-06,73
2025-05-07,73
2025-05-08,72
2025-05-09,73
2025-05-10,63
2025-05-11,59
2025-05-12,75
2025-05-13,77
2025-05-14,74
2025-05-15,80
2025-05-16,74
2025-05-17,70
2025-05-18,69
2025-05-19,80
2025-05-20,77
2025-05-21,74
2025-05-22,77
2025-05-23,73
2025-05-24,63
2025-05-25,62
2025-05-26,75
2025-05-27,92
2025-05-28,94
2025-05-29,81
2025-05-30,73
2025-05-31,66
2025-06-01,68
2025-06-02,81
2025-06-03,88
2025-06-04,90
2025-06-05,85
2025-06-06,84
2025-06-07,69
2025-06-08,70
2025-06-09,81
2025-06-10,77
2025-06-11,73
2025-06-12,82
2025-06-13,76
2025-06-14,60
2025-06-15,65
2025-06-16,79
2025-06-17,86
2025-06-18,85
2025-06-19,92
2025-06-20,73
2025-06-21,64
2025-06-22,63
2025-06-23,71
2025-06-24,77
2025-06-25,81
2025-06-26,89
2025-06-27,83
2025-06-28,74
2025-06-29,69
2025-06-30,75
2025-07-01,80
2025-07-02,78
2025-07-03,80
2025-07-04,64
2025-07-05,61
2025-07-06,73
2025-07-07,91
2025-07-08,96
2025-07-09,100
2025-07-10,93
2025-07-11,91
2025-07-12,67
2025-07-13,76
2025-07-14,89
2025-07-15,87
2025-07-16,83
2025-07-17,88
2025-07-18,76
2025-07-19,71
2025-07-20,81
2025-07-21,81
2025-07-22,95
2025-07-23,88
2025-07-24,84
2025-07-25,84
2025-07-26,99
2025-07-27,79
2025-07-28,85
2025-07-29,84
2025-07-30,84
2025-07-31,91
2025-08-01,89
2025-08-02,72
2025-08-03,73
2025-08-04,85
2025-08-05,82
2025-08-06,81
2025-08-07,84
2025-08-08,77
2025-08-09,68
2025-08-10,74
2025-08-11,81
2025-08-12,81
2025-08-13,80
2025-08-14,88
2025-08-15,77
2025-08-16,68
2025-08-17,67
2025-08-18,80
2025-08-19,80
2025-08-20,77
2025-08-21,74
2025-08-22,73
2025-08-23,64
2025-08-24,67
2025-08-25,81
2025-08-26,78
2025-08-27,77
2025-08-28,78
2025-08-29,79
2025-08-30,61
2025-08-31,56
2025-09-01,67
2025-09-02,79
2025-09-03,70
2025-09-04,73
2025-09-05,73
2025-09-06,57
2025-09-07,59
2025-09-08,74
2025-09-09,71
2025-09-10,73
2025-09-11,71
2025-09-12,69
2025-09-13,60
2025-09-14,60
2025-09-15,72
2025-09-16,73
2025-09-17,72
2025-09-18,72
2025-09-19,68
2025-09-20,59
2025-09-21,58
2025-09-22,70
2025-09-23,71
2025-09-24,70
2025-09-25,69
2025-09-26,70
2025-09-27,63
2025-09-28,58
2025-09-29,72
2025-09-30,73
2025-10-01,72
2025-10-02,75
2025-10-03,73
2025-10-04,58
2025-10-05,59
2025-10-06,72
2025-10-07,73
2025-10-08,74
2025-10-09,79
2025-10-10,77
2025-10-11,67
2025-10-12,62
2025-10-13,80
2025-10-14,79
2025-10-15,74
2025-10-16,77
2025-10-17,71
2025-10-18,63
2025-10-19,66
2025-10-20,80
2025-10-21,75
2025-10-22,76
2025-10-23,76
2025-10-24,73
2025-10-25,58
2025-10-26,65
2025-10-27,72
2025-10-28,69
2025-10-29,68
2025-10-30,71
2025-10-31,65
2025-11-01,57
2025-11-02,63
2025-11-03,77
2025-11-04,75
2025-11-05,73
2025-11-06,93
2025-11-07,97
2025-11-08,73
2025-11-09,73
2025-11-10,84
2025-11-11,74
2025-11-12,72
2025-11-13,71
2025-11-14,68
2025-11-15,56
2025-11-16,61
2025-11-17,68
2025-11-18,67
2025-11-19,69
2025-11-20,69
2025-11-21,71
2025-11-22,63
2025-11-23,59
2025-11-24,69
2025-11-25,68
2025-11-26,64
2025-11-27,45
2025-11-28,53
2025-11-29,65
2025-11-30,78
2025-12-01,85
2025-12-02,91
2025-12-03,75
2025-12-04,71
2025-12-05,63
2025-12-06,56
2025-12-07,58
2025-12-08,64
2025-12-09,65
2025-12-10,62
2025-12-11,66
2025-12-12,68
2025-12-13,64
2025-12-14,58
2025-12-15,67
2025-12-16,64
2025-12-17,64
2025-12-18,71
2025-12-19,75
2025-12-20,73
2025-12-21,62
2025-12-22,71
2025-12-23,68
2025-12-24,59
2025-12-25,45
2025-12-26,71
2025-12-27,74
2025-12-28,74
2025-12-29,79
2025-12-30,75
2025-12-31,68
2026-01-01,57
2026-01-02,65
2026-01-03,70
2026-01-04,69
2026-01-05,76
2026-01-06,76
2026-01-07,78
2026-01-08,70
2026-01-09,73
