Time,robert_kennedy
2022-01-01,16.0
2022-01-02,21.0
2022-01-03,19.0
2022-01-04,21.0
2022-01-05,20.0
2022-01-06,18.0
2022-01-07,19.0
2022-01-08,22.0
2022-01-09,20.0
2022-01-10,14.0
2022-01-11,20.0
2022-01-12,21.0
2022-01-13,33.0
2022-01-14,51.0
2022-01-15,23.0
2022-01-16,20.0
2022-01-17,23.0
2022-01-18,23.0
2022-01-19,17.0
2022-01-20,16.0
2022-01-21,16.0
2022-01-22,18.0
2022-01-23,44.0
2022-01-24,88.0
2022-01-25,100.0
2022-01-26,74.0
2022-01-27,34.0
2022-01-28,31.0
2022-01-29,22.0
2022-01-30,21.0
2022-01-31,19.0
2022-02-01,17.0
2022-02-02,17.0
2022-02-03,14.0
2022-02-04,16.0
2022-02-05,13.0
2022-02-06,13.0
2022-02-07,12.0
2022-02-08,12.0
2022-02-09,13.0
2022-02-10,11.0
2022-02-11,11.0
2022-02-12,11.0
2022-02-13,11.0
2022-02-14,10.0
2022-02-15,12.0
2022-02-16,14.0
2022-02-17,15.0
2022-02-18,11.0
2022-02-19,12.0
2022-02-20,10.0
2022-02-21,12.0
2022-02-22,13.0
2022-02-23,11.0
2022-02-24,9.0
2022-02-25,8.0
2022-02-26,24.0
2022-02-27,28.0
2022-02-28,13.0
2022-03-01,11.0
2022-03-02,10.0
2022-03-03,11.0
2022-03-04,11.0
2022-03-05,9.0
2022-03-06,10.0
2022-03-07,11.0
2022-03-08,7.0
2022-03-09,10.0
2022-03-10,12.0
2022-03-11,11.0
2022-03-12,9.0
2022-03-13,10.0
2022-03-14,11.0
2022-03-15,10.0
2022-03-16,10.0
2022-03-17,9.0
2022-03-18,12.0
2022-03-19,10.0
2022-03-20,12.0
2022-03-21,13.0
2022-03-22,18.0
2022-03-23,17.0
2022-03-24,14.0
2022-03-25,15.0
2022-03-26,12.0
2022-03-27,10.0
2022-03-28,13.0
2022-03-29,14.0
2022-03-30,16.0
2022-03-31,16.0
2022-04-01,15.0
2022-04-02,11.0
2022-04-03,12.0
2022-04-04,16.0
2022-04-05,14.0
2022-04-06,15.0
2022-04-07,15.0
2022-04-08,15.0
2022-04-09,9.0
2022-04-10,13.0
2022-04-11,13.0
2022-04-12,12.0
2022-04-13,12.0
2022-04-14,16.0
2022-04-15,13.0
2022-04-16,10.0
2022-04-17,13.0
2022-04-18,16.0
2022-04-19,15.0
2022-04-20,17.0
2022-04-21,14.0
2022-04-22,15.0
2022-04-23,11.0
2022-04-24,11.0
2022-04-25,15.0
2022-04-26,19.0
2022-04-27,21.0
2022-04-28,30.0
2022-04-29,23.0
2022-04-30,24.0
2022-05-01,21.0
2022-05-02,28.0
2022-05-03,26.0
2022-05-04,23.0
2022-05-05,22.0
2022-05-06,17.0
2022-05-07,15.0
2022-05-08,12.0
2022-05-09,19.0
2022-05-10,20.0
2022-05-11,19.0
2022-05-12,16.0
2022-05-13,14.0
2022-05-14,11.0
2022-05-15,12.0
2022-05-16,15.0
2022-05-17,15.0
2022-05-18,14.0
2022-05-19,19.0
2022-05-20,15.0
2022-05-21,9.0
2022-05-22,13.0
2022-05-23,12.0
2022-05-24,12.0
2022-05-25,12.0
2022-05-26,9.0
2022-05-27,11.0
2022-05-28,8.0
2022-05-29,11.0
2022-05-30,9.0
2022-05-31,59.0
2022-06-01,11.0
2022-06-02,9.0
2022-06-03,12.0
2022-06-04,9.0
2022-06-05,21.0
2022-06-06,33.0
2022-06-07,13.0
2022-06-08,13.0
