Time,matthew mcconaughey
2023-04-26,25
2023-04-27,22
2023-04-28,22
2023-04-29,27
2023-04-30,32
2023-05-01,28
2023-05-02,35
2023-05-03,38
2023-05-04,28
2023-05-05,28
2023-05-06,33
2023-05-07,33
2023-05-08,27
2023-05-09,22
2023-05-10,21
2023-05-11,22
2023-05-12,21
2023-05-13,26
2023-05-14,29
2023-05-15,19
2023-05-16,19
2023-05-17,18
2023-05-18,19
2023-05-19,19
2023-05-20,27
2023-05-21,27
2023-05-22,20
2023-05-23,19
2023-05-24,19
2023-05-25,19
2023-05-26,19
2023-05-27,25
2023-05-28,29
2023-05-29,27
2023-05-30,18
2023-05-31,16
2023-06-01,16
2023-06-02,18
2023-06-03,21
2023-06-04,22
2023-06-05,17
2023-06-06,19
2023-06-07,20
2023-06-08,18
2023-06-09,21
2023-06-10,28
2023-06-11,27
2023-06-12,21
2023-06-13,21
2023-06-14,30
2023-06-15,29
2023-06-16,28
2023-06-17,30
2023-06-18,36
2023-06-19,28
2023-06-20,22
2023-06-21,21
2023-06-22,23
2023-06-23,22
2023-06-24,27
2023-06-25,29
2023-06-26,22
2023-06-27,20
2023-06-28,21
2023-06-29,21
2023-06-30,22
2023-07-01,29
2023-07-02,25
2023-07-03,22
2023-07-04,25
2023-07-05,21
2023-07-06,22
2023-07-07,24
2023-07-08,35
2023-07-09,36
2023-07-10,28
2023-07-11,23
2023-07-12,22
2023-07-13,21
2023-07-14,22
2023-07-15,25
2023-07-16,27
2023-07-17,21
2023-07-18,20
2023-07-19,24
2023-07-20,47
2023-07-21,35
2023-07-22,26
2023-07-23,28
2023-07-24,21
2023-07-25,18
2023-07-26,19
2023-07-27,21
2023-07-28,23
2023-07-29,24
2023-07-30,33
2023-07-31,22
2023-08-01,20
2023-08-02,18
2023-08-03,22
2023-08-04,22
2023-08-05,24
2023-08-06,24
2023-08-07,21
2023-08-08,18
2023-08-09,21
2023-08-10,19
2023-08-11,20
2023-08-12,23
2023-08-13,26
2023-08-14,21
2023-08-15,21
2023-08-16,25
2023-08-17,22
2023-08-18,19
2023-08-19,24
2023-08-20,27
2023-08-21,23
2023-08-22,21
2023-08-23,23
2023-08-24,21
2023-08-25,17
2023-08-26,25
2023-08-27,23
2023-08-28,18
2023-08-29,17
2023-08-30,17
2023-08-31,16
2023-09-01,18
2023-09-02,23
2023-09-03,25
2023-09-04,22
2023-09-05,17
2023-09-06,16
2023-09-07,21
2023-09-08,24
2023-09-09,32
2023-09-10,98
2023-09-11,40
2023-09-12,50
2023-09-13,35
2023-09-14,31
2023-09-15,30
2023-09-16,32
2023-09-17,27
2023-09-18,25
2023-09-19,24
2023-09-20,24
2023-09-21,30
2023-09-22,32
2023-09-23,33
2023-09-24,31
2023-09-25,21
2023-09-26,22
2023-09-27,19
2023-09-28,21
2023-09-29,19
2023-09-30,27
2023-10-01,24
2023-10-02,18
2023-10-03,25
2023-10-04,22
2023-10-05,25
2023-10-06,21
2023-10-07,72
2023-10-08,31
2023-10-09,27
2023-10-10,20
2023-10-11,17
2023-10-12,21
2023-10-13,23
2023-10-14,24
2023-10-15,24
2023-10-16,20
2023-10-17,17
2023-10-18,19
2023-10-19,19
2023-10-20,20
2023-10-21,23
2023-10-22,25
2023-10-23,20
2023-10-24,18
2023-10-25,23
2023-10-26,21
2023-10-27,22
2023-10-28,24
2023-10-29,34
2023-10-30,21
2023-10-31,18
2023-11-01,17
2023-11-02,18
2023-11-03,18
2023-11-04,53
2023-11-05,36
2023-11-06,22
2023-11-07,21
2023-11-08,20
2023-11-09,20
2023-11-10,20
2023-11-11,26
2023-11-12,25
2023-11-13,26
2023-11-14,31
2023-11-15,18
2023-11-16,19
2023-11-17,16
2023-11-18,20
2023-11-19,24
2023-11-20,20
2023-11-21,17
2023-11-22,19
2023-11-23,23
2023-11-24,25
2023-11-25,25
2023-11-26,23
2023-11-27,19
2023-11-28,16
2023-11-29,19
2023-11-30,16
2023-12-01,18
2023-12-02,26
2023-12-03,25
2023-12-04,19
2023-12-05,19
2023-12-06,22
2023-12-07,24
2023-12-08,50
2023-12-09,37
2023-12-10,31
2023-12-11,19
2023-12-12,18
2023-12-13,16
2023-12-14,17
2023-12-15,18
2023-12-16,22
2023-12-17,22
2023-12-18,18
2023-12-19,17
2023-12-20,18
2023-12-21,19
2023-12-22,18
2023-12-23,26
2023-12-24,26
2023-12-25,25
2023-12-26,23
2023-12-27,23
2023-12-28,24
2023-12-29,28
2023-12-30,30
2023-12-31,32
2024-01-01,32
2024-01-02,100
2024-01-03,33
2024-01-04,26
2024-01-05,29
2024-01-06,32
2024-01-07,33
2024-01-08,28
2024-01-09,22
2024-01-10,24
2024-01-11,24
2024-01-12,41
2024-01-13,48
2024-01-14,46
2024-01-15,38
2024-01-16,28
2024-01-17,29
2024-01-18,26
2024-01-19,28
2024-01-20,42
