cluster,n_terms,share_of_terms
1,42,0.049586776859504134
2,115,0.1357733175914994
3,343,0.4049586776859504
4,65,0.07674144037780402
5,73,0.08618654073199528
6,74,0.08736717827626919
7,135,0.15938606847697756
