Time,nhl standings
2022-01-01,39
2022-01-02,55
2022-01-03,30
2022-01-04,44
2022-01-05,44
2022-01-06,31
2022-01-07,56
2022-01-08,37
2022-01-09,58
2022-01-10,28
2022-01-11,34
2022-01-12,39
2022-01-13,39
2022-01-14,50
2022-01-15,43
2022-01-16,52
2022-01-17,33
2022-01-18,40
2022-01-19,39
2022-01-20,35
2022-01-21,51
2022-01-22,63
2022-01-23,59
2022-01-24,50
2022-01-25,46
2022-01-26,45
2022-01-27,42
2022-01-28,48
2022-01-29,57
2022-01-30,52
2022-01-31,43
2022-02-01,33
2022-02-02,50
2022-02-03,38
2022-02-04,18
2022-02-05,27
2022-02-06,20
2022-02-07,16
2022-02-08,20
2022-02-09,34
2022-02-10,29
2022-02-11,36
2022-02-12,35
2022-02-13,40
2022-02-14,26
2022-02-15,35
2022-02-16,52
2022-02-17,35
2022-02-18,46
2022-02-19,35
2022-02-20,49
2022-02-21,40
2022-02-22,32
2022-02-23,39
2022-02-24,32
2022-02-25,43
2022-02-26,47
2022-02-27,57
2022-02-28,36
2022-03-01,33
2022-03-02,39
2022-03-03,37
2022-03-04,48
2022-03-05,53
2022-03-06,52
2022-03-07,44
2022-03-08,35
2022-03-09,41
2022-03-10,29
2022-03-11,45
2022-03-12,46
2022-03-13,57
2022-03-14,41
2022-03-15,23
2022-03-16,46
2022-03-17,34
2022-03-18,42
2022-03-19,52
2022-03-20,64
2022-03-21,47
2022-03-22,49
2022-03-23,51
2022-03-24,45
2022-03-25,64
2022-03-26,59
2022-03-27,78
2022-03-28,51
2022-03-29,47
2022-03-30,60
2022-03-31,48
2022-04-01,52
2022-04-02,68
2022-04-03,80
2022-04-04,57
2022-04-05,51
2022-04-06,67
2022-04-07,50
2022-04-08,58
2022-04-09,76
2022-04-10,90
2022-04-11,55
2022-04-12,39
2022-04-13,79
2022-04-14,52
2022-04-15,76
2022-04-16,75
2022-04-17,100
2022-04-18,60
2022-04-19,56
2022-04-20,70
2022-04-21,57
2022-04-22,78
2022-04-23,85
2022-04-24,91
2022-04-25,90
2022-04-26,53
2022-04-27,93
2022-04-28,64
2022-04-29,73
2022-04-30,77
2022-05-01,28
2022-05-02,28
2022-05-03,32
2022-05-04,25
2022-05-05,19
2022-05-06,21
2022-05-07,27
2022-05-08,27
2022-05-09,21
2022-05-10,24
2022-05-11,22
2022-05-12,19
2022-05-13,24
2022-05-14,30
2022-05-15,34
2022-05-16,29
2022-05-17,12
2022-05-18,17
2022-05-19,15
2022-05-20,14
2022-05-21,17
2022-05-22,21
2022-05-23,15
2022-05-24,21
2022-05-25,16
2022-05-26,15
2022-05-27,18
2022-05-28,21
2022-05-29,18
2022-05-30,14
2022-05-31,27
2022-06-01,14
2022-06-02,17
2022-06-03,12
2022-06-04,16
2022-06-05,20
2022-06-06,10
2022-06-07,17
2022-06-08,14
2022-06-09,9
2022-06-10,13
2022-06-11,9
2022-06-12,18
2022-06-13,6
2022-06-14,4
2022-06-15,7
2022-06-16,11
2022-06-17,6
2022-06-18,6
2022-06-19,13
2022-06-20,6
2022-06-21,10
2022-06-22,6
2022-06-23,11
2022-06-24,6
2022-06-25,13
2022-06-26,8
2022-06-27,14
2022-06-28,3
2022-06-29,2
2022-06-30,2
2022-07-01,2
2022-07-02,1
2022-07-03,2
2022-07-04,2
2022-07-05,1
2022-07-06,1
2022-07-07,3
2022-07-08,3
2022-07-09,3
2022-07-10,2
2022-07-11,2
2022-07-12,2
2022-07-13,5
2022-07-14,4
2022-07-15,2
2022-07-16,2
2022-07-17,3
2022-07-18,1
2022-07-19,1
2022-07-20,2
2022-07-21,1
2022-07-22,1
2022-07-23,2
2022-07-24,2
2022-07-25,1
2022-07-26,1
2022-07-27,1
2022-07-28,2
2022-07-29,1
2022-07-30,1
2022-07-31,1
2022-08-01,1
2022-08-02,1
2022-08-03,0
2022-08-04,1
2022-08-05,1
2022-08-06,0
2022-08-07,1
2022-08-08,1
2022-08-09,1
2022-08-10,0
2022-08-11,1
2022-08-12,0
2022-08-13,0
2022-08-14,1
2022-08-15,1
2022-08-16,1
2022-08-17,1
2022-08-18,1
2022-08-19,1
2022-08-20,0
2022-08-21,1
2022-08-22,1
2022-08-23,1
2022-08-24,0
2022-08-25,1
2022-08-26,1
2022-08-27,1
2022-08-28,2
2022-08-29,1
2022-08-30,0
2022-08-31,1
2022-09-01,1
2022-09-02,1
2022-09-03,2
2022-09-04,1
2022-09-05,1
2022-09-06,1
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-10,0
2022-09-11,1
2022-09-12,1
2022-09-13,1
2022-09-14,2
2022-09-15,0
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,2
2022-09-20,2
2022-09-21,2
2022-09-22,1
2022-09-23,2
2022-09-24,2
2022-09-25,3
2022-09-26,3
2022-09-27,4
