Time,nhl standings
2024-08-18,0
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,1
2024-08-23,1
2024-08-24,0
2024-08-25,1
2024-08-26,1
2024-08-27,0
2024-08-28,1
2024-08-29,1
2024-08-30,1
2024-08-31,2
2024-09-01,1
2024-09-02,1
2024-09-03,1
2024-09-04,2
2024-09-05,1
2024-09-06,1
2024-09-07,1
2024-09-08,1
2024-09-09,1
2024-09-10,2
2024-09-11,0
2024-09-12,2
2024-09-13,1
2024-09-14,1
2024-09-15,1
2024-09-16,2
2024-09-17,1
2024-09-18,1
2024-09-19,2
2024-09-20,1
2024-09-21,1
2024-09-22,3
2024-09-23,4
2024-09-24,3
2024-09-25,3
2024-09-26,3
2024-09-27,2
2024-09-28,3
2024-09-29,4
2024-09-30,3
2024-10-01,3
2024-10-02,4
2024-10-03,3
2024-10-04,6
2024-10-05,8
2024-10-06,6
2024-10-07,5
2024-10-08,9
2024-10-09,13
2024-10-10,12
2024-10-11,18
2024-10-12,18
2024-10-13,27
2024-10-14,24
2024-10-15,23
2024-10-16,24
2024-10-17,24
2024-10-18,26
2024-10-19,23
2024-10-20,30
2024-10-21,19
2024-10-22,21
2024-10-23,34
2024-10-24,19
2024-10-25,26
2024-10-26,23
2024-10-27,30
2024-10-28,22
2024-10-29,25
2024-10-30,25
2024-10-31,21
2024-11-01,30
2024-11-02,28
2024-11-03,29
2024-11-04,25
2024-11-05,20
2024-11-06,18
2024-11-07,22
2024-11-08,30
2024-11-09,26
2024-11-10,33
2024-11-11,24
2024-11-12,21
2024-11-13,24
2024-11-14,25
2024-11-15,29
2024-11-16,24
2024-11-17,28
2024-11-18,23
2024-11-19,27
2024-11-20,28
2024-11-21,25
2024-11-22,25
2024-11-23,26
2024-11-24,40
2024-11-25,20
2024-11-26,30
2024-11-27,21
2024-11-28,42
2024-11-29,24
2024-11-30,31
2024-12-01,41
2024-12-02,23
2024-12-03,22
2024-12-04,34
2024-12-05,25
2024-12-06,25
2024-12-07,34
2024-12-08,33
2024-12-09,22
2024-12-10,22
2024-12-11,29
2024-12-12,20
2024-12-13,30
2024-12-14,27
2024-12-15,35
2024-12-16,23
2024-12-17,23
2024-12-18,34
2024-12-19,28
2024-12-20,31
2024-12-21,27
2024-12-22,33
2024-12-23,28
2024-12-24,36
2024-12-25,17
2024-12-26,17
2024-12-27,17
2024-12-28,36
2024-12-29,38
2024-12-30,30
2024-12-31,28
2025-01-01,32
2025-01-02,21
2025-01-03,37
2025-01-04,32
2025-01-05,44
2025-01-06,23
2025-01-07,24
2025-01-08,33
2025-01-09,24
2025-01-10,35
2025-01-11,36
2025-01-12,44
2025-01-13,27
2025-01-14,23
2025-01-15,37
2025-01-16,25
2025-01-17,44
2025-01-18,30
2025-01-19,41
2025-01-20,25
2025-01-21,29
2025-01-22,35
2025-01-23,27
2025-01-24,38
2025-01-25,38
2025-01-26,43
2025-01-27,24
2025-01-28,29
2025-01-29,33
2025-01-30,26
2025-01-31,37
2025-02-01,39
2025-02-02,51
2025-02-03,38
2025-02-04,21
2025-02-05,43
2025-02-06,31
2025-02-07,31
2025-02-08,45
2025-02-09,39
2025-02-10,17
2025-02-11,12
2025-02-12,11
2025-02-13,11
2025-02-14,12
2025-02-15,12
2025-02-16,17
2025-02-17,11
2025-02-18,12
2025-02-19,9
2025-02-20,10
2025-02-21,27
2025-02-22,29
2025-02-23,48
2025-02-24,36
2025-02-25,21
2025-02-26,46
2025-02-27,27
2025-02-28,38
2025-03-01,40
2025-03-02,57
2025-03-03,32
2025-03-04,36
2025-03-05,36
2025-03-06,36
2025-03-07,46
2025-03-08,56
2025-03-09,50
2025-03-10,28
2025-03-11,27
2025-03-12,41
2025-03-13,35
2025-03-14,38
2025-03-15,40
2025-03-16,62
2025-03-17,38
2025-03-18,37
2025-03-19,41
2025-03-20,30
2025-03-21,44
2025-03-22,44
2025-03-23,55
2025-03-24,39
2025-03-25,38
2025-03-26,45
2025-03-27,35
2025-03-28,51
2025-03-29,54
2025-03-30,81
2025-03-31,45
2025-04-01,40
2025-04-02,62
2025-04-03,56
2025-04-04,58
2025-04-05,76
2025-04-06,100
2025-04-07,62
2025-04-08,49
2025-04-09,64
2025-04-10,62
2025-04-11,57
2025-04-12,75
2025-04-13,84
2025-04-14,59
2025-04-15,60
2025-04-16,78
2025-04-17,47
2025-04-18,40
2025-04-19,27
2025-04-20,28
2025-04-21,18
2025-04-22,20
2025-04-23,18
2025-04-24,15
2025-04-25,15
2025-04-26,17
2025-04-27,20
2025-04-28,16
2025-04-29,15
2025-04-30,17
2025-05-01,18
2025-05-02,19
2025-05-03,16
2025-05-04,22
2025-05-05,20
2025-05-06,11
2025-05-07,11
2025-05-08,11
2025-05-09,10
2025-05-10,13
2025-05-11,15
2025-05-12,11
2025-05-13,12
2025-05-14,11
