Time,usps tracking
2023-12-22,100
2023-12-23,81
2023-12-24,46
2023-12-25,26
2023-12-26,56
2023-12-27,52
2023-12-28,54
2023-12-29,57
2023-12-30,46
2023-12-31,28
2024-01-01,24
2024-01-02,57
2024-01-03,54
2024-01-04,53
2024-01-05,58
2024-01-06,52
2024-01-07,31
2024-01-08,54
2024-01-09,58
2024-01-10,55
2024-01-11,56
2024-01-12,58
2024-01-13,48
2024-01-14,27
2024-01-15,38
2024-01-16,55
2024-01-17,57
2024-01-18,60
2024-01-19,62
2024-01-20,55
2024-01-21,34
2024-01-22,59
2024-01-23,58
2024-01-24,56
2024-01-25,55
2024-01-26,50
2024-01-27,42
2024-01-28,22
2024-01-29,45
2024-01-30,46
2024-01-31,46
2024-02-01,44
2024-02-02,45
2024-02-03,38
2024-02-04,23
2024-02-05,43
2024-02-06,44
2024-02-07,46
2024-02-08,48
2024-02-09,50
2024-02-10,39
2024-02-11,24
2024-02-12,42
2024-02-13,48
2024-02-14,46
2024-02-15,46
2024-02-16,42
2024-02-17,33
2024-02-18,22
2024-02-19,31
2024-02-20,44
2024-02-21,42
2024-02-22,42
2024-02-23,44
2024-02-24,38
2024-02-25,25
2024-02-26,46
2024-02-27,46
2024-02-28,44
2024-02-29,42
2024-03-01,44
2024-03-02,43
2024-03-03,24
2024-03-04,51
2024-03-05,45
2024-03-06,48
2024-03-07,46
2024-03-08,46
2024-03-09,37
2024-03-10,23
2024-03-11,45
2024-03-12,46
2024-03-13,45
2024-03-14,58
2024-03-15,46
2024-03-16,39
2024-03-17,24
2024-03-18,46
2024-03-19,46
2024-03-20,47
2024-03-21,46
2024-03-22,45
2024-03-23,40
2024-03-24,23
2024-03-25,47
2024-03-26,43
2024-03-27,48
2024-03-28,50
2024-03-29,46
2024-03-30,33
2024-03-31,21
2024-04-01,44
2024-04-02,44
2024-04-03,44
2024-04-04,45
2024-04-05,43
2024-04-06,34
2024-04-07,23
2024-04-08,40
2024-04-09,42
2024-04-10,45
2024-04-11,44
2024-04-12,44
2024-04-13,34
2024-04-14,23
2024-04-15,47
2024-04-16,46
2024-04-17,44
2024-04-18,46
2024-04-19,43
2024-04-20,35
2024-04-21,23
2024-04-22,52
2024-04-23,45
2024-04-24,45
2024-04-25,43
2024-04-26,44
2024-04-27,34
2024-04-28,24
2024-04-29,42
2024-04-30,44
2024-05-01,42
2024-05-02,43
2024-05-03,43
2024-05-04,34
2024-05-05,24
2024-05-06,46
2024-05-07,46
2024-05-08,44
2024-05-09,46
2024-05-10,47
2024-05-11,36
2024-05-12,23
2024-05-13,45
2024-05-14,43
2024-05-15,43
2024-05-16,43
2024-05-17,42
2024-05-18,32
2024-05-19,21
2024-05-20,41
2024-05-21,39
2024-05-22,44
2024-05-23,41
2024-05-24,39
2024-05-25,29
2024-05-26,21
2024-05-27,20
2024-05-28,43
2024-05-29,41
2024-05-30,41
2024-05-31,41
2024-06-01,33
2024-06-02,22
2024-06-03,42
2024-06-04,43
2024-06-05,42
2024-06-06,42
2024-06-07,41
2024-06-08,33
2024-06-09,23
2024-06-10,45
2024-06-11,44
2024-06-12,44
2024-06-13,44
2024-06-14,42
2024-06-15,33
2024-06-16,21
2024-06-17,40
2024-06-18,38
2024-06-19,38
2024-06-20,45
2024-06-21,42
2024-06-22,32
2024-06-23,22
2024-06-24,42
2024-06-25,42
2024-06-26,42
2024-06-27,41
2024-06-28,41
2024-06-29,29
2024-06-30,21
2024-07-01,42
2024-07-02,40
2024-07-03,41
2024-07-04,25
2024-07-05,37
2024-07-06,27
2024-07-07,20
2024-07-08,40
2024-07-09,40
2024-07-10,40
2024-07-11,43
2024-07-12,41
2024-07-13,29
2024-07-14,20
2024-07-15,43
2024-07-16,39
2024-07-17,40
2024-07-18,42
2024-07-19,42
2024-07-20,32
2024-07-21,21
2024-07-22,45
2024-07-23,44
2024-07-24,40
2024-07-25,43
2024-07-26,39
2024-07-27,29
2024-07-28,20
2024-07-29,41
2024-07-30,38
2024-07-31,40
2024-08-01,40
2024-08-02,40
2024-08-03,27
2024-08-04,20
2024-08-05,41
2024-08-06,37
2024-08-07,40
2024-08-08,40
2024-08-09,40
2024-08-10,29
2024-08-11,21
2024-08-12,53
2024-08-13,41
2024-08-14,38
2024-08-15,41
2024-08-16,39
2024-08-17,31
2024-08-18,21
2024-08-19,40
2024-08-20,41
2024-08-21,39
2024-08-22,41
2024-08-23,39
2024-08-24,31
2024-08-25,21
2024-08-26,40
2024-08-27,38
2024-08-28,38
2024-08-29,39
2024-08-30,37
2024-08-31,28
2024-09-01,20
2024-09-02,19
2024-09-03,41
2024-09-04,38
2024-09-05,40
2024-09-06,38
2024-09-07,32
2024-09-08,22
2024-09-09,40
2024-09-10,39
2024-09-11,38
2024-09-12,41
2024-09-13,39
2024-09-14,27
2024-09-15,20
2024-09-16,39
