Time,usps tracking
2022-08-29,44
2022-08-30,46
2022-08-31,48
2022-09-01,49
2022-09-02,46
2022-09-03,35
2022-09-04,21
2022-09-05,24
2022-09-06,48
2022-09-07,46
2022-09-08,47
2022-09-09,49
2022-09-10,39
2022-09-11,25
2022-09-12,47
2022-09-13,47
2022-09-14,49
2022-09-15,47
2022-09-16,46
2022-09-17,35
2022-09-18,22
2022-09-19,49
2022-09-20,46
2022-09-21,41
2022-09-22,47
2022-09-23,43
2022-09-24,33
2022-09-25,21
2022-09-26,43
2022-09-27,40
2022-09-28,45
2022-09-29,45
2022-09-30,43
2022-10-01,35
2022-10-02,22
2022-10-03,43
2022-10-04,44
2022-10-05,45
2022-10-06,47
2022-10-07,47
2022-10-08,37
2022-10-09,21
2022-10-10,36
2022-10-11,48
2022-10-12,47
2022-10-13,50
2022-10-14,51
2022-10-15,40
2022-10-16,24
2022-10-17,49
2022-10-18,46
2022-10-19,50
2022-10-20,50
2022-10-21,48
2022-10-22,36
2022-10-23,22
2022-10-24,46
2022-10-25,43
2022-10-26,49
2022-10-27,51
2022-10-28,45
2022-10-29,38
2022-10-30,21
2022-10-31,40
2022-11-01,41
2022-11-02,43
2022-11-03,45
2022-11-04,44
2022-11-05,34
2022-11-06,20
2022-11-07,41
2022-11-08,41
2022-11-09,40
2022-11-10,42
2022-11-11,37
2022-11-12,38
2022-11-13,23
2022-11-14,41
2022-11-15,47
2022-11-16,49
2022-11-17,52
2022-11-18,50
2022-11-19,42
2022-11-20,25
2022-11-21,46
2022-11-22,51
2022-11-23,48
2022-11-24,23
2022-11-25,40
2022-11-26,37
2022-11-27,29
2022-11-28,46
2022-11-29,51
2022-11-30,55
2022-12-01,64
2022-12-02,64
2022-12-03,58
2022-12-04,40
2022-12-05,66
2022-12-06,64
2022-12-07,67
2022-12-08,70
2022-12-09,70
2022-12-10,62
2022-12-11,46
2022-12-12,70
2022-12-13,69
2022-12-14,75
2022-12-15,81
2022-12-16,100
2022-12-17,89
2022-12-18,57
2022-12-19,94
2022-12-20,94
2022-12-21,96
2022-12-22,90
2022-12-23,84
2022-12-24,68
2022-12-25,29
2022-12-26,40
2022-12-27,64
2022-12-28,68
2022-12-29,65
2022-12-30,58
2022-12-31,45
2023-01-01,23
2023-01-02,39
2023-01-03,55
2023-01-04,56
2023-01-05,56
2023-01-06,59
2023-01-07,53
2023-01-08,34
2023-01-09,53
2023-01-10,54
2023-01-11,55
2023-01-12,55
2023-01-13,53
2023-01-14,45
2023-01-15,25
2023-01-16,37
2023-01-17,52
2023-01-18,50
2023-01-19,51
2023-01-20,48
2023-01-21,43
2023-01-22,25
2023-01-23,47
2023-01-24,47
2023-01-25,48
2023-01-26,48
2023-01-27,43
2023-01-28,36
2023-01-29,21
2023-01-30,43
2023-01-31,43
2023-02-01,45
2023-02-02,49
2023-02-03,55
2023-02-04,49
2023-02-05,31
2023-02-06,57
2023-02-07,53
2023-02-08,54
2023-02-09,55
2023-02-10,55
2023-02-11,45
2023-02-12,27
2023-02-13,52
2023-02-14,49
2023-02-15,50
2023-02-16,49
2023-02-17,50
2023-02-18,38
2023-02-19,24
2023-02-20,35
2023-02-21,52
2023-02-22,49
2023-02-23,52
2023-02-24,55
2023-02-25,45
2023-02-26,28
2023-02-27,50
2023-02-28,52
2023-03-01,52
2023-03-02,57
2023-03-03,53
2023-03-04,46
2023-03-05,28
2023-03-06,52
2023-03-07,51
2023-03-08,66
2023-03-09,55
2023-03-10,53
2023-03-11,43
2023-03-12,26
2023-03-13,49
2023-03-14,50
2023-03-15,50
2023-03-16,55
2023-03-17,51
2023-03-18,43
2023-03-19,26
2023-03-20,49
2023-03-21,52
2023-03-22,50
2023-03-23,56
2023-03-24,59
2023-03-25,44
2023-03-26,25
2023-03-27,49
2023-03-28,47
2023-03-29,50
2023-03-30,50
2023-03-31,49
2023-04-01,39
2023-04-02,26
2023-04-03,49
2023-04-04,48
2023-04-05,54
2023-04-06,57
2023-04-07,53
2023-04-08,44
2023-04-09,23
2023-04-10,50
2023-04-11,51
2023-04-12,50
2023-04-13,49
2023-04-14,45
2023-04-15,39
2023-04-16,25
2023-04-17,46
2023-04-18,45
2023-04-19,46
2023-04-20,49
2023-04-21,46
2023-04-22,41
2023-04-23,23
2023-04-24,45
2023-04-25,43
2023-04-26,48
2023-04-27,46
2023-04-28,48
2023-04-29,38
2023-04-30,23
2023-05-01,44
2023-05-02,45
2023-05-03,49
2023-05-04,51
2023-05-05,45
2023-05-06,39
2023-05-07,23
2023-05-08,46
2023-05-09,46
2023-05-10,51
2023-05-11,51
2023-05-12,50
2023-05-13,45
2023-05-14,25
2023-05-15,50
2023-05-16,46
2023-05-17,46
2023-05-18,50
2023-05-19,50
2023-05-20,43
2023-05-21,28
2023-05-22,50
2023-05-23,45
2023-05-24,49
2023-05-25,50
