Time,pbs kids
2025-04-15,55
2025-04-16,53
2025-04-17,64
2025-04-18,33
2025-04-19,18
2025-04-20,16
2025-04-21,37
2025-04-22,52
2025-04-23,60
2025-04-24,62
2025-04-25,73
2025-04-26,18
2025-04-27,18
2025-04-28,50
2025-04-29,61
2025-04-30,65
2025-05-01,72
2025-05-02,98
2025-05-03,25
2025-05-04,26
2025-05-05,71
2025-05-06,76
2025-05-07,87
2025-05-08,85
2025-05-09,100
2025-05-10,23
2025-05-11,23
2025-05-12,73
2025-05-13,81
2025-05-14,87
2025-05-15,85
2025-05-16,93
2025-05-17,20
2025-05-18,20
2025-05-19,78
2025-05-20,80
2025-05-21,78
2025-05-22,72
2025-05-23,65
2025-05-24,19
2025-05-25,18
2025-05-26,18
2025-05-27,48
2025-05-28,54
2025-05-29,48
2025-05-30,44
2025-05-31,19
2025-06-01,19
2025-06-02,33
2025-06-03,39
2025-06-04,36
2025-06-05,38
2025-06-06,34
2025-06-07,17
2025-06-08,16
2025-06-09,30
2025-06-10,30
2025-06-11,30
2025-06-12,32
2025-06-13,27
2025-06-14,16
2025-06-15,18
2025-06-16,24
2025-06-17,23
2025-06-18,24
2025-06-19,18
2025-06-20,21
2025-06-21,13
2025-06-22,16
2025-06-23,19
2025-06-24,20
2025-06-25,19
2025-06-26,18
2025-06-27,18
2025-06-28,14
2025-06-29,15
2025-06-30,14
2025-07-01,17
2025-07-02,16
2025-07-03,16
2025-07-04,16
2025-07-05,15
2025-07-06,15
2025-07-07,16
2025-07-08,16
2025-07-09,17
2025-07-10,17
2025-07-11,17
2025-07-12,15
2025-07-13,16
2025-07-14,15
2025-07-15,17
2025-07-16,18
2025-07-17,17
2025-07-18,17
2025-07-19,19
2025-07-20,19
2025-07-21,17
2025-07-22,17
2025-07-23,18
2025-07-24,18
2025-07-25,18
2025-07-26,15
2025-07-27,15
2025-07-28,16
2025-07-29,16
2025-07-30,17
2025-07-31,17
2025-08-01,20
2025-08-02,26
2025-08-03,20
2025-08-04,21
2025-08-05,25
2025-08-06,29
2025-08-07,32
2025-08-08,35
2025-08-09,26
2025-08-10,23
2025-08-11,33
2025-08-12,38
2025-08-13,42
2025-08-14,44
2025-08-15,61
2025-08-16,25
2025-08-17,26
2025-08-18,42
2025-08-19,46
2025-08-20,52
2025-08-21,51
2025-08-22,71
2025-08-23,22
2025-08-24,20
2025-08-25,43
2025-08-26,50
2025-08-27,52
2025-08-28,57
2025-08-29,72
2025-08-30,19
2025-08-31,21
2025-09-01,21
2025-09-02,43
2025-09-03,53
2025-09-04,56
2025-09-05,77
2025-09-06,21
2025-09-07,20
2025-09-08,50
2025-09-09,55
2025-09-10,52
2025-09-11,58
2025-09-12,78
2025-09-13,23
2025-09-14,18
2025-09-15,47
2025-09-16,53
2025-09-17,53
2025-09-18,58
2025-09-19,87
2025-09-20,23
2025-09-21,21
2025-09-22,49
2025-09-23,53
2025-09-24,56
2025-09-25,58
2025-09-26,79
2025-09-27,25
2025-09-28,20
2025-09-29,51
2025-09-30,54
2025-10-01,55
2025-10-02,56
2025-10-03,82
2025-10-04,23
2025-10-05,22
2025-10-06,45
2025-10-07,51
2025-10-08,55
2025-10-09,61
2025-10-10,69
2025-10-11,22
2025-10-12,22
2025-10-13,37
2025-10-14,50
2025-10-15,52
2025-10-16,53
2025-10-17,67
2025-10-18,21
2025-10-19,20
2025-10-20,48
2025-10-21,49
2025-10-22,50
2025-10-23,56
2025-10-24,81
2025-10-25,21
2025-10-26,21
2025-10-27,49
2025-10-28,54
2025-10-29,59
2025-10-30,63
2025-10-31,74
2025-11-01,20
2025-11-02,20
2025-11-03,42
2025-11-04,40
2025-11-05,51
2025-11-06,52
2025-11-07,84
2025-11-08,23
2025-11-09,20
2025-11-10,48
2025-11-11,44
2025-11-12,54
2025-11-13,58
2025-11-14,80
2025-11-15,21
2025-11-16,21
2025-11-17,48
2025-11-18,54
2025-11-19,57
2025-11-20,70
2025-11-21,93
2025-11-22,23
2025-11-23,20
2025-11-24,36
2025-11-25,41
2025-11-26,24
2025-11-27,21
2025-11-28,18
2025-11-29,19
2025-11-30,18
2025-12-01,44
2025-12-02,59
2025-12-03,54
2025-12-04,65
2025-12-05,80
2025-12-06,21
2025-12-07,21
2025-12-08,53
2025-12-09,57
2025-12-10,61
2025-12-11,65
2025-12-12,78
2025-12-13,22
2025-12-14,22
2025-12-15,59
2025-12-16,69
2025-12-17,72
2025-12-18,83
2025-12-19,79
2025-12-20,20
2025-12-21,19
2025-12-22,23
2025-12-23,23
2025-12-24,19
2025-12-25,16
2025-12-26,15
2025-12-27,17
2025-12-28,16
2025-12-29,17
2025-12-30,18
2025-12-31,19
2026-01-01,20
2026-01-02,16
2026-01-03,17
2026-01-04,16
2026-01-05,27
2026-01-06,41
2026-01-07,45
2026-01-08,52
2026-01-09,76
