Time,dsw
2022-01-01,80
2022-01-02,96
2022-01-03,68
2022-01-04,66
2022-01-05,63
2022-01-06,54
2022-01-07,66
2022-01-08,84
2022-01-09,92
2022-01-10,58
2022-01-11,58
2022-01-12,56
2022-01-13,49
2022-01-14,53
2022-01-15,76
2022-01-16,69
2022-01-17,61
2022-01-18,52
2022-01-19,49
2022-01-20,50
2022-01-21,50
2022-01-22,71
2022-01-23,73
2022-01-24,64
2022-01-25,46
2022-01-26,49
2022-01-27,48
2022-01-28,55
2022-01-29,71
2022-01-30,74
2022-01-31,53
2022-02-01,51
2022-02-02,50
2022-02-03,55
2022-02-04,55
2022-02-05,73
2022-02-06,77
2022-02-07,53
2022-02-08,54
2022-02-09,52
2022-02-10,45
2022-02-11,58
2022-02-12,74
2022-02-13,67
2022-02-14,46
2022-02-15,49
2022-02-16,53
2022-02-17,54
2022-02-18,56
2022-02-19,70
2022-02-20,75
2022-02-21,66
2022-02-22,56
2022-02-23,50
2022-02-24,52
2022-02-25,56
2022-02-26,69
2022-02-27,78
2022-02-28,59
2022-03-01,57
2022-03-02,59
2022-03-03,58
2022-03-04,70
2022-03-05,79
2022-03-06,78
2022-03-07,69
2022-03-08,57
2022-03-09,57
2022-03-10,61
2022-03-11,62
2022-03-12,76
2022-03-13,85
2022-03-14,61
2022-03-15,71
2022-03-16,61
2022-03-17,72
2022-03-18,70
2022-03-19,88
2022-03-20,94
2022-03-21,68
2022-03-22,73
2022-03-23,66
2022-03-24,69
2022-03-25,66
2022-03-26,84
2022-03-27,90
2022-03-28,58
2022-03-29,59
2022-03-30,64
2022-03-31,62
2022-04-01,62
2022-04-02,91
2022-04-03,94
2022-04-04,62
2022-04-05,73
2022-04-06,63
2022-04-07,66
2022-04-08,69
2022-04-09,87
2022-04-10,100
2022-04-11,71
2022-04-12,64
2022-04-13,68
2022-04-14,67
2022-04-15,80
2022-04-16,95
2022-04-17,89
2022-04-18,69
2022-04-19,63
2022-04-20,63
2022-04-21,70
2022-04-22,68
2022-04-23,86
2022-04-24,100
2022-04-25,73
2022-04-26,68
2022-04-27,65
2022-04-28,67
2022-04-29,66
2022-04-30,92
2022-05-01,100
2022-05-02,72
2022-05-03,70
2022-05-04,67
2022-05-05,65
2022-05-06,74
2022-05-07,98
2022-05-08,89
2022-05-09,68
2022-05-10,72
2022-05-11,64
2022-05-12,70
2022-05-13,74
2022-05-14,96
2022-05-15,99
2022-05-16,70
2022-05-17,69
2022-05-18,74
2022-05-19,74
2022-05-20,73
2022-05-21,92
2022-05-22,93
2022-05-23,70
2022-05-24,64
2022-05-25,64
2022-05-26,65
2022-05-27,70
2022-05-28,87
2022-05-29,96
2022-05-30,98
2022-05-31,63
2022-06-01,63
2022-06-02,65
2022-06-03,74
2022-06-04,80
2022-06-05,89
2022-06-06,65
2022-06-07,66
2022-06-08,67
2022-06-09,64
2022-06-10,66
2022-06-11,80
2022-06-12,84
2022-06-13,61
2022-06-14,57
2022-06-15,62
2022-06-16,62
2022-06-17,66
2022-06-18,76
2022-06-19,81
2022-06-20,63
2022-06-21,59
2022-06-22,57
2022-06-23,63
2022-06-24,60
2022-06-25,75
2022-06-26,73
2022-06-27,53
2022-06-28,55
2022-06-29,55
2022-06-30,56
2022-07-01,58
2022-07-02,68
2022-07-03,71
2022-07-04,66
2022-07-05,50
2022-07-06,53
2022-07-07,55
2022-07-08,59
2022-07-09,67
2022-07-10,71
2022-07-11,55
2022-07-12,54
2022-07-13,56
2022-07-14,57
2022-07-15,60
2022-07-16,70
2022-07-17,80
2022-07-18,58
2022-07-19,56
2022-07-20,56
2022-07-21,58
2022-07-22,58
2022-07-23,71
2022-07-24,77
2022-07-25,58
2022-07-26,59
2022-07-27,58
2022-07-28,60
2022-07-29,64
2022-07-30,74
2022-07-31,83
2022-08-01,60
2022-08-02,60
2022-08-03,61
2022-08-04,67
2022-08-05,70
2022-08-06,82
2022-08-07,89
2022-08-08,64
2022-08-09,61
2022-08-10,61
2022-08-11,61
2022-08-12,68
2022-08-13,79
2022-08-14,84
2022-08-15,64
2022-08-16,66
2022-08-17,65
2022-08-18,67
2022-08-19,64
2022-08-20,83
2022-08-21,84
2022-08-22,60
2022-08-23,60
2022-08-24,59
2022-08-25,59
2022-08-26,60
2022-08-27,71
2022-08-28,81
2022-08-29,57
2022-08-30,59
2022-08-31,74
2022-09-01,62
2022-09-02,69
2022-09-03,88
2022-09-04,85
2022-09-05,92
2022-09-06,58
2022-09-07,57
2022-09-08,57
2022-09-09,58
2022-09-10,71
2022-09-11,78
2022-09-12,58
2022-09-13,59
2022-09-14,60
2022-09-15,61
2022-09-16,65
2022-09-17,78
2022-09-18,80
2022-09-19,58
2022-09-20,58
2022-09-21,63
2022-09-22,63
2022-09-23,67
2022-09-24,81
2022-09-25,82
2022-09-26,61
2022-09-27,60
