Time,dsw
2025-04-15,42
2025-04-16,44
2025-04-17,51
2025-04-18,57
2025-04-19,69
2025-04-20,66
2025-04-21,48
2025-04-22,50
2025-04-23,50
2025-04-24,49
2025-04-25,51
2025-04-26,64
2025-04-27,68
2025-04-28,54
2025-04-29,50
2025-04-30,45
2025-05-01,50
2025-05-02,52
2025-05-03,68
2025-05-04,78
2025-05-05,48
2025-05-06,51
2025-05-07,53
2025-05-08,52
2025-05-09,52
2025-05-10,69
2025-05-11,69
2025-05-12,50
2025-05-13,46
2025-05-14,47
2025-05-15,49
2025-05-16,51
2025-05-17,66
2025-05-18,70
2025-05-19,48
2025-05-20,46
2025-05-21,44
2025-05-22,47
2025-05-23,50
2025-05-24,60
2025-05-25,66
2025-05-26,70
2025-05-27,44
2025-05-28,44
2025-05-29,45
2025-05-30,48
2025-05-31,58
2025-06-01,63
2025-06-02,45
2025-06-03,45
2025-06-04,45
2025-06-05,46
2025-06-06,46
2025-06-07,54
2025-06-08,60
2025-06-09,44
2025-06-10,43
2025-06-11,42
2025-06-12,43
2025-06-13,44
2025-06-14,50
2025-06-15,52
2025-06-16,41
2025-06-17,42
2025-06-18,41
2025-06-19,52
2025-06-20,44
2025-06-21,51
2025-06-22,51
2025-06-23,39
2025-06-24,39
2025-06-25,36
2025-06-26,45
2025-06-27,47
2025-06-28,54
2025-06-29,58
2025-06-30,41
2025-07-01,38
2025-07-02,42
2025-07-03,43
2025-07-04,47
2025-07-05,47
2025-07-06,56
2025-07-07,40
2025-07-08,40
2025-07-09,41
2025-07-10,44
2025-07-11,46
2025-07-12,54
2025-07-13,52
2025-07-14,43
2025-07-15,42
2025-07-16,41
2025-07-17,42
2025-07-18,44
2025-07-19,51
2025-07-20,58
2025-07-21,41
2025-07-22,41
2025-07-23,40
2025-07-24,41
2025-07-25,44
2025-07-26,49
2025-07-27,55
2025-07-28,43
2025-07-29,39
2025-07-30,40
2025-07-31,45
2025-08-01,44
2025-08-02,57
2025-08-03,61
2025-08-04,43
2025-08-05,45
2025-08-06,44
2025-08-07,49
2025-08-08,50
2025-08-09,64
2025-08-10,67
2025-08-11,47
2025-08-12,43
2025-08-13,45
2025-08-14,46
2025-08-15,46
2025-08-16,57
2025-08-17,59
2025-08-18,43
2025-08-19,45
2025-08-20,41
2025-08-21,45
2025-08-22,45
2025-08-23,54
2025-08-24,65
2025-08-25,42
2025-08-26,40
2025-08-27,40
2025-08-28,36
2025-08-29,41
2025-08-30,52
2025-08-31,60
2025-09-01,65
2025-09-02,41
2025-09-03,41
2025-09-04,38
2025-09-05,42
2025-09-06,53
2025-09-07,57
2025-09-08,39
2025-09-09,41
2025-09-10,35
2025-09-11,37
2025-09-12,39
2025-09-13,50
2025-09-14,52
2025-09-15,38
2025-09-16,40
2025-09-17,37
2025-09-18,38
2025-09-19,40
2025-09-20,54
2025-09-21,50
2025-09-22,40
2025-09-23,40
2025-09-24,38
2025-09-25,41
2025-09-26,44
2025-09-27,60
2025-09-28,53
2025-09-29,40
2025-09-30,36
2025-10-01,38
2025-10-02,44
2025-10-03,44
2025-10-04,53
2025-10-05,55
2025-10-06,39
2025-10-07,38
2025-10-08,40
2025-10-09,46
2025-10-10,44
2025-10-11,57
2025-10-12,58
2025-10-13,51
2025-10-14,42
2025-10-15,45
2025-10-16,45
2025-10-17,47
2025-10-18,58
2025-10-19,66
2025-10-20,46
2025-10-21,43
2025-10-22,44
2025-10-23,46
2025-10-24,47
2025-10-25,61
2025-10-26,63
2025-10-27,43
2025-10-28,44
2025-10-29,43
2025-10-30,45
2025-10-31,42
2025-11-01,54
2025-11-02,56
2025-11-03,40
2025-11-04,36
2025-11-05,39
2025-11-06,41
2025-11-07,42
2025-11-08,57
2025-11-09,60
2025-11-10,44
2025-11-11,51
2025-11-12,42
2025-11-13,43
2025-11-14,43
2025-11-15,58
2025-11-16,59
2025-11-17,42
2025-11-18,41
2025-11-19,42
2025-11-20,42
2025-11-21,49
2025-11-22,63
2025-11-23,65
2025-11-24,52
2025-11-25,51
2025-11-26,54
2025-11-27,49
2025-11-28,100
2025-11-29,99
2025-11-30,76
2025-12-01,69
2025-12-02,64
2025-12-03,48
2025-12-04,48
2025-12-05,51
2025-12-06,63
2025-12-07,63
2025-12-08,50
2025-12-09,51
2025-12-10,47
2025-12-11,50
2025-12-12,51
2025-12-13,63
2025-12-14,62
2025-12-15,51
2025-12-16,47
2025-12-17,47
2025-12-18,44
2025-12-19,49
2025-12-20,61
2025-12-21,60
2025-12-22,55
2025-12-23,58
2025-12-24,54
2025-12-25,31
2025-12-26,57
2025-12-27,56
2025-12-28,56
2025-12-29,47
2025-12-30,47
2025-12-31,51
2026-01-01,42
2026-01-02,43
2026-01-03,45
2026-01-04,44
2026-01-05,31
2026-01-06,33
2026-01-07,31
2026-01-08,29
2026-01-09,32
