Time,dsw
2022-08-29,43
2022-08-30,45
2022-08-31,56
2022-09-01,47
2022-09-02,53
2022-09-03,67
2022-09-04,64
2022-09-05,69
2022-09-06,44
2022-09-07,43
2022-09-08,43
2022-09-09,44
2022-09-10,54
2022-09-11,59
2022-09-12,44
2022-09-13,45
2022-09-14,46
2022-09-15,46
2022-09-16,49
2022-09-17,59
2022-09-18,60
2022-09-19,44
2022-09-20,44
2022-09-21,47
2022-09-22,48
2022-09-23,51
2022-09-24,61
2022-09-25,62
2022-09-26,46
2022-09-27,46
2022-09-28,45
2022-09-29,48
2022-09-30,50
2022-10-01,66
2022-10-02,65
2022-10-03,51
2022-10-04,47
2022-10-05,49
2022-10-06,51
2022-10-07,51
2022-10-08,60
2022-10-09,71
2022-10-10,56
2022-10-11,45
2022-10-12,44
2022-10-13,47
2022-10-14,48
2022-10-15,57
2022-10-16,62
2022-10-17,49
2022-10-18,46
2022-10-19,48
2022-10-20,46
2022-10-21,49
2022-10-22,61
2022-10-23,60
2022-10-24,43
2022-10-25,44
2022-10-26,48
2022-10-27,47
2022-10-28,47
2022-10-29,57
2022-10-30,62
2022-10-31,43
2022-11-01,36
2022-11-02,40
2022-11-03,44
2022-11-04,46
2022-11-05,56
2022-11-06,61
2022-11-07,42
2022-11-08,37
2022-11-09,35
2022-11-10,41
2022-11-11,48
2022-11-12,55
2022-11-13,59
2022-11-14,46
2022-11-15,49
2022-11-16,46
2022-11-17,45
2022-11-18,51
2022-11-19,61
2022-11-20,61
2022-11-21,47
2022-11-22,47
2022-11-23,52
2022-11-24,48
2022-11-25,100
2022-11-26,74
2022-11-27,69
2022-11-28,65
2022-11-29,56
2022-11-30,46
2022-12-01,49
2022-12-02,49
2022-12-03,62
2022-12-04,66
2022-12-05,48
2022-12-06,46
2022-12-07,49
2022-12-08,48
2022-12-09,53
2022-12-10,64
2022-12-11,61
2022-12-12,54
2022-12-13,47
2022-12-14,48
2022-12-15,53
2022-12-16,54
2022-12-17,65
2022-12-18,66
2022-12-19,56
2022-12-20,59
2022-12-21,56
2022-12-22,60
2022-12-23,64
2022-12-24,58
2022-12-25,37
2022-12-26,67
2022-12-27,61
2022-12-28,53
2022-12-29,53
2022-12-30,54
2022-12-31,57
2023-01-01,46
2023-01-02,47
2023-01-03,35
2023-01-04,34
2023-01-05,35
2023-01-06,37
2023-01-07,48
2023-01-08,49
2023-01-09,35
2023-01-10,33
2023-01-11,33
2023-01-12,32
2023-01-13,35
2023-01-14,47
2023-01-15,49
2023-01-16,44
2023-01-17,33
2023-01-18,30
2023-01-19,34
2023-01-20,36
2023-01-21,47
2023-01-22,48
2023-01-23,35
2023-01-24,32
2023-01-25,32
2023-01-26,34
2023-01-27,34
2023-01-28,43
2023-01-29,45
2023-01-30,32
2023-01-31,31
2023-02-01,33
2023-02-02,43
2023-02-03,40
2023-02-04,48
2023-02-05,47
2023-02-06,33
2023-02-07,33
2023-02-08,32
2023-02-09,34
2023-02-10,37
2023-02-11,50
2023-02-12,48
2023-02-13,33
2023-02-14,28
2023-02-15,32
2023-02-16,36
2023-02-17,38
2023-02-18,52
2023-02-19,51
2023-02-20,44
2023-02-21,37
2023-02-22,36
2023-02-23,38
2023-02-24,39
2023-02-25,52
2023-02-26,57
2023-02-27,38
2023-02-28,34
2023-03-01,37
2023-03-02,40
2023-03-03,39
2023-03-04,54
2023-03-05,59
2023-03-06,37
2023-03-07,35
2023-03-08,34
2023-03-09,37
2023-03-10,38
2023-03-11,50
2023-03-12,53
2023-03-13,35
2023-03-14,37
2023-03-15,37
2023-03-16,40
2023-03-17,40
2023-03-18,52
2023-03-19,59
2023-03-20,41
2023-03-21,41
2023-03-22,40
2023-03-23,44
2023-03-24,45
2023-03-25,58
2023-03-26,61
2023-03-27,44
2023-03-28,43
2023-03-29,46
2023-03-30,46
2023-03-31,46
2023-04-01,56
2023-04-02,64
2023-04-03,46
2023-04-04,48
2023-04-05,50
2023-04-06,48
2023-04-07,51
2023-04-08,61
2023-04-09,62
2023-04-10,56
2023-04-11,48
2023-04-12,47
2023-04-13,50
2023-04-14,52
2023-04-15,67
2023-04-16,75
2023-04-17,44
2023-04-18,42
2023-04-19,44
2023-04-20,45
2023-04-21,47
2023-04-22,65
2023-04-23,61
2023-04-24,45
2023-04-25,44
2023-04-26,41
2023-04-27,41
2023-04-28,43
2023-04-29,58
2023-04-30,63
2023-05-01,43
2023-05-02,42
2023-05-03,41
2023-05-04,43
2023-05-05,44
2023-05-06,57
2023-05-07,62
2023-05-08,47
2023-05-09,42
2023-05-10,44
2023-05-11,47
2023-05-12,48
2023-05-13,66
2023-05-14,61
2023-05-15,45
2023-05-16,46
2023-05-17,45
2023-05-18,46
2023-05-19,48
2023-05-20,59
2023-05-21,64
2023-05-22,43
2023-05-23,42
2023-05-24,43
2023-05-25,44
