Time,dsw
2025-12-11,76
2025-12-12,78
2025-12-13,96
2025-12-14,95
2025-12-15,78
2025-12-16,73
2025-12-17,72
2025-12-18,68
2025-12-19,76
2025-12-20,94
2025-12-21,92
2025-12-22,84
2025-12-23,89
2025-12-24,83
2025-12-25,48
2025-12-26,88
2025-12-27,86
2025-12-28,86
2025-12-29,73
2025-12-30,73
2025-12-31,78
2026-01-01,65
2026-01-02,66
2026-01-03,70
2026-01-04,68
2026-01-05,48
2026-01-06,51
2026-01-07,48
2026-01-08,45
2026-01-09,50
2026-01-10,67
2026-01-11,66
2026-01-12,45
2026-01-13,41
2026-01-14,44
2026-01-15,41
2026-01-16,47
2026-01-17,64
2026-01-18,62
2026-01-19,59
2026-01-20,42
2026-01-21,42
2026-01-22,46
2026-01-23,51
2026-01-24,54
2026-01-25,48
2026-01-26,45
2026-01-27,44
2026-01-28,44
2026-01-29,44
2026-01-30,48
2026-01-31,61
2026-02-01,68
2026-02-02,43
2026-02-03,42
2026-02-04,40
2026-02-05,43
2026-02-06,46
2026-02-07,63
2026-02-08,51
2026-02-09,35
2026-02-10,42
2026-02-11,47
2026-02-12,46
2026-02-13,47
2026-02-14,62
2026-02-15,62
2026-02-16,51
2026-02-17,42
2026-02-18,39
2026-02-19,47
2026-02-20,45
2026-02-21,69
2026-02-22,65
2026-02-23,44
2026-02-24,47
2026-02-25,44
2026-02-26,52
2026-02-27,55
2026-02-28,77
2026-03-01,87
2026-03-02,49
2026-03-03,52
2026-03-04,56
2026-03-05,57
2026-03-06,61
2026-03-07,85
2026-03-08,84
2026-03-09,61
2026-03-10,59
2026-03-11,59
2026-03-12,63
2026-03-13,63
2026-03-14,90
2026-03-15,82
2026-03-16,57
2026-03-17,57
2026-03-18,63
2026-03-19,63
2026-03-20,72
2026-03-21,93
2026-03-22,97
2026-03-23,63
2026-03-24,63
2026-03-25,65
2026-03-26,68
2026-03-27,66
2026-03-28,91
2026-03-29,93
2026-03-30,63
2026-03-31,65
2026-04-01,69
2026-04-02,67
2026-04-03,79
2026-04-04,99
2026-04-05,90
2026-04-06,73
2026-04-07,62
2026-04-08,63
2026-04-09,67
2026-04-10,75
2026-04-11,93
2026-04-12,92
2026-04-13,64
2026-04-14,63
2026-04-15,64
2026-04-16,66
2026-04-17,76
2026-04-18,93
2026-04-19,92
2026-04-20,63
2026-04-21,69
2026-04-22,63
2026-04-23,64
2026-04-24,69
2026-04-25,84
2026-04-26,91
2026-04-27,64
2026-04-28,63
2026-04-29,70
2026-04-30,73
2026-05-01,72
2026-05-02,90
2026-05-03,98
2026-05-04,67
2026-05-05,68
2026-05-06,66
2026-05-07,68
2026-05-08,75
2026-05-09,92
2026-05-10,92
2026-05-11,68
2026-05-12,70
2026-05-13,69
2026-05-14,77
2026-05-15,71
2026-05-16,93
2026-05-17,100
2026-05-18,74
2026-05-19,68
2026-05-20,66
2026-05-21,70
2026-05-22,73
2026-05-23,88
2026-05-24,95
2026-05-25,98
2026-05-26,68
2026-05-27,65
2026-05-28,71
2026-05-29,75
2026-05-30,89
2026-05-31,96
