Time,fortnite
2023-12-22,38
2023-12-23,40
2023-12-24,37
2023-12-25,49
2023-12-26,40
2023-12-27,36
2023-12-28,43
2023-12-29,35
2023-12-30,34
2023-12-31,34
2024-01-01,33
2024-01-02,29
2024-01-03,30
2024-01-04,27
2024-01-05,27
2024-01-06,29
2024-01-07,31
2024-01-08,26
2024-01-09,24
2024-01-10,24
2024-01-11,23
2024-01-12,25
2024-01-13,29
2024-01-14,30
2024-01-15,28
2024-01-16,26
2024-01-17,26
2024-01-18,24
2024-01-19,24
2024-01-20,29
2024-01-21,30
2024-01-22,26
2024-01-23,31
2024-01-24,28
2024-01-25,24
2024-01-26,26
2024-01-27,31
2024-01-28,29
2024-01-29,23
2024-01-30,23
2024-01-31,23
2024-02-01,21
2024-02-02,22
2024-02-03,27
2024-02-04,29
2024-02-05,22
2024-02-06,21
2024-02-07,25
2024-02-08,25
2024-02-09,26
2024-02-10,29
2024-02-11,28
2024-02-12,22
2024-02-13,22
2024-02-14,19
2024-02-15,21
2024-02-16,21
2024-02-17,26
2024-02-18,26
2024-02-19,24
2024-02-20,22
2024-02-21,21
2024-02-22,26
2024-02-23,22
2024-02-24,25
2024-02-25,27
2024-02-26,23
2024-02-27,22
2024-02-28,20
2024-02-29,25
2024-03-01,23
2024-03-02,33
2024-03-03,31
2024-03-04,24
2024-03-05,22
2024-03-06,23
2024-03-07,27
2024-03-08,100
2024-03-09,86
2024-03-10,36
2024-03-11,28
2024-03-12,25
2024-03-13,24
2024-03-14,22
2024-03-15,22
2024-03-16,26
2024-03-17,26
2024-03-18,22
2024-03-19,23
2024-03-20,20
2024-03-21,18
2024-03-22,18
2024-03-23,22
2024-03-24,24
2024-03-25,20
2024-03-26,24
2024-03-27,25
2024-03-28,21
2024-03-29,21
2024-03-30,24
2024-03-31,25
2024-04-01,22
2024-04-02,21
2024-04-03,19
2024-04-04,18
2024-04-05,18
2024-04-06,20
2024-04-07,22
2024-04-08,17
2024-04-09,20
2024-04-10,20
2024-04-11,19
2024-04-12,22
2024-04-13,23
2024-04-14,22
2024-04-15,18
2024-04-16,17
2024-04-17,16
2024-04-18,17
2024-04-19,27
2024-04-20,32
2024-04-21,26
2024-04-22,21
2024-04-23,24
2024-04-24,20
2024-04-25,18
2024-04-26,17
2024-04-27,19
2024-04-28,21
2024-04-29,17
2024-04-30,16
2024-05-01,15
2024-05-02,15
2024-05-03,23
2024-05-04,21
2024-05-05,21
2024-05-06,16
2024-05-07,15
2024-05-08,15
2024-05-09,15
2024-05-10,15
2024-05-11,18
2024-05-12,18
2024-05-13,16
2024-05-14,16
2024-05-15,15
2024-05-16,16
2024-05-17,18
2024-05-18,19
2024-05-19,21
2024-05-20,17
2024-05-21,17
2024-05-22,16
2024-05-23,20
2024-05-24,40
2024-05-25,26
2024-05-26,23
2024-05-27,22
2024-05-28,18
2024-05-29,15
2024-05-30,16
2024-05-31,18
2024-06-01,19
2024-06-02,18
2024-06-03,14
2024-06-04,14
2024-06-05,14
2024-06-06,14
2024-06-07,13
2024-06-08,15
2024-06-09,15
2024-06-10,13
2024-06-11,14
2024-06-12,16
2024-06-13,17
2024-06-14,16
2024-06-15,16
2024-06-16,16
2024-06-17,13
2024-06-18,14
2024-06-19,14
2024-06-20,12
2024-06-21,14
2024-06-22,27
2024-06-23,22
2024-06-24,16
2024-06-25,14
2024-06-26,14
2024-06-27,15
2024-06-28,14
2024-06-29,15
2024-06-30,15
2024-07-01,14
2024-07-02,14
2024-07-03,13
2024-07-04,14
2024-07-05,12
2024-07-06,14
2024-07-07,14
2024-07-08,12
2024-07-09,13
2024-07-10,13
2024-07-11,12
2024-07-12,13
2024-07-13,13
2024-07-14,14
2024-07-15,12
2024-07-16,12
2024-07-17,13
2024-07-18,13
2024-07-19,14
2024-07-20,14
2024-07-21,15
2024-07-22,13
2024-07-23,17
2024-07-24,17
2024-07-25,15
2024-07-26,15
2024-07-27,17
2024-07-28,17
2024-07-29,14
2024-07-30,15
2024-07-31,14
2024-08-01,14
2024-08-02,15
2024-08-03,17
2024-08-04,18
2024-08-05,16
2024-08-06,18
2024-08-07,17
2024-08-08,15
2024-08-09,17
2024-08-10,26
2024-08-11,34
2024-08-12,18
2024-08-13,16
2024-08-14,18
2024-08-15,20
2024-08-16,43
2024-08-17,36
2024-08-18,28
2024-08-19,19
2024-08-20,17
2024-08-21,17
2024-08-22,16
2024-08-23,17
2024-08-24,20
2024-08-25,21
2024-08-26,16
2024-08-27,14
2024-08-28,14
2024-08-29,14
2024-08-30,14
2024-08-31,17
2024-09-01,18
2024-09-02,18
2024-09-03,14
2024-09-04,16
2024-09-05,16
2024-09-06,15
2024-09-07,18
2024-09-08,20
2024-09-09,13
2024-09-10,13
2024-09-11,13
2024-09-12,14
2024-09-13,14
2024-09-14,18
2024-09-15,16
2024-09-16,13
