Time,fortnite
2022-08-29,18
2022-08-30,20
2022-08-31,18
2022-09-01,17
2022-09-02,19
2022-09-03,24
2022-09-04,24
2022-09-05,26
2022-09-06,17
2022-09-07,17
2022-09-08,15
2022-09-09,16
2022-09-10,20
2022-09-11,22
2022-09-12,17
2022-09-13,16
2022-09-14,17
2022-09-15,18
2022-09-16,20
2022-09-17,33
2022-09-18,53
2022-09-19,25
2022-09-20,21
2022-09-21,20
2022-09-22,19
2022-09-23,20
2022-09-24,23
2022-09-25,24
2022-09-26,17
2022-09-27,17
2022-09-28,17
2022-09-29,17
2022-09-30,17
2022-10-01,19
2022-10-02,20
2022-10-03,24
2022-10-04,33
2022-10-05,18
2022-10-06,16
2022-10-07,17
2022-10-08,19
2022-10-09,21
2022-10-10,17
2022-10-11,15
2022-10-12,15
2022-10-13,15
2022-10-14,15
2022-10-15,18
2022-10-16,18
2022-10-17,15
2022-10-18,18
2022-10-19,17
2022-10-20,16
2022-10-21,16
2022-10-22,19
2022-10-23,19
2022-10-24,15
2022-10-25,14
2022-10-26,14
2022-10-27,15
2022-10-28,14
2022-10-29,16
2022-10-30,17
2022-10-31,15
2022-11-01,15
2022-11-02,14
2022-11-03,13
2022-11-04,14
2022-11-05,16
2022-11-06,16
2022-11-07,12
2022-11-08,14
2022-11-09,12
2022-11-10,13
2022-11-11,14
2022-11-12,17
2022-11-13,16
2022-11-14,13
2022-11-15,15
2022-11-16,14
2022-11-17,13
2022-11-18,14
2022-11-19,16
2022-11-20,17
2022-11-21,15
2022-11-22,16
2022-11-23,18
2022-11-24,17
2022-11-25,17
2022-11-26,18
2022-11-27,21
2022-11-28,15
2022-11-29,14
2022-11-30,14
2022-12-01,16
2022-12-02,19
2022-12-03,73
2022-12-04,100
2022-12-05,35
2022-12-06,26
2022-12-07,24
2022-12-08,24
2022-12-09,22
2022-12-10,27
2022-12-11,27
2022-12-12,22
2022-12-13,27
2022-12-14,28
2022-12-15,27
2022-12-16,27
2022-12-17,35
2022-12-18,28
2022-12-19,25
2022-12-20,27
2022-12-21,29
2022-12-22,28
2022-12-23,29
2022-12-24,29
2022-12-25,37
2022-12-26,34
2022-12-27,29
2022-12-28,28
2022-12-29,26
2022-12-30,25
2022-12-31,27
2023-01-01,26
2023-01-02,26
2023-01-03,23
2023-01-04,21
2023-01-05,19
2023-01-06,21
2023-01-07,24
2023-01-08,26
2023-01-09,19
2023-01-10,20
2023-01-11,19
2023-01-12,17
2023-01-13,18
2023-01-14,22
2023-01-15,23
2023-01-16,22
2023-01-17,19
2023-01-18,20
2023-01-19,18
2023-01-20,18
2023-01-21,24
2023-01-22,22
2023-01-23,18
2023-01-24,19
2023-01-25,19
2023-01-26,18
2023-01-27,22
2023-01-28,23
2023-01-29,23
2023-01-30,19
2023-01-31,22
2023-02-01,20
2023-02-02,17
2023-02-03,18
2023-02-04,22
2023-02-05,24
2023-02-06,17
2023-02-07,18
2023-02-08,18
2023-02-09,15
2023-02-10,17
2023-02-11,21
2023-02-12,22
2023-02-13,15
2023-02-14,18
2023-02-15,18
2023-02-16,18
2023-02-17,18
2023-02-18,21
2023-02-19,20
2023-02-20,19
2023-02-21,16
2023-02-22,16
2023-02-23,16
2023-02-24,17
2023-02-25,20
2023-02-26,21
2023-02-27,17
2023-02-28,20
2023-03-01,20
2023-03-02,19
2023-03-03,19
2023-03-04,22
2023-03-05,24
2023-03-06,20
2023-03-07,21
2023-03-08,28
2023-03-09,27
2023-03-10,45
2023-03-11,31
2023-03-12,28
2023-03-13,21
2023-03-14,20
2023-03-15,19
2023-03-16,19
2023-03-17,20
2023-03-18,21
2023-03-19,22
2023-03-20,20
2023-03-21,17
2023-03-22,21
2023-03-23,23
2023-03-24,21
2023-03-25,25
2023-03-26,24
2023-03-27,18
2023-03-28,17
2023-03-29,18
2023-03-30,18
2023-03-31,19
2023-04-01,23
2023-04-02,21
2023-04-03,18
2023-04-04,17
2023-04-05,17
2023-04-06,17
2023-04-07,19
2023-04-08,22
2023-04-09,22
2023-04-10,18
2023-04-11,23
2023-04-12,19
2023-04-13,18
2023-04-14,17
2023-04-15,22
2023-04-16,21
2023-04-17,15
2023-04-18,14
2023-04-19,15
2023-04-20,14
2023-04-21,14
2023-04-22,17
2023-04-23,18
2023-04-24,14
2023-04-25,13
2023-04-26,13
2023-04-27,14
2023-04-28,14
2023-04-29,17
2023-04-30,18
2023-05-01,14
2023-05-02,19
2023-05-03,17
2023-05-04,17
2023-05-05,16
2023-05-06,19
2023-05-07,19
2023-05-08,17
2023-05-09,16
2023-05-10,16
2023-05-11,13
2023-05-12,16
2023-05-13,21
2023-05-14,21
2023-05-15,17
2023-05-16,17
2023-05-17,20
2023-05-18,22
2023-05-19,20
2023-05-20,23
2023-05-21,24
2023-05-22,19
2023-05-23,21
2023-05-24,17
2023-05-25,16
