Time,tpt
2022-08-29,76
2022-08-30,78
2022-08-31,81
2022-09-01,75
2022-09-02,57
2022-09-03,22
2022-09-04,27
2022-09-05,42
2022-09-06,75
2022-09-07,73
2022-09-08,69
2022-09-09,63
2022-09-10,24
2022-09-11,39
2022-09-12,72
2022-09-13,73
2022-09-14,70
2022-09-15,70
2022-09-16,60
2022-09-17,21
2022-09-18,36
2022-09-19,76
2022-09-20,71
2022-09-21,72
2022-09-22,69
2022-09-23,56
2022-09-24,19
2022-09-25,31
2022-09-26,69
2022-09-27,65
2022-09-28,59
2022-09-29,65
2022-09-30,58
2022-10-01,19
2022-10-02,33
2022-10-03,66
2022-10-04,67
2022-10-05,60
2022-10-06,65
2022-10-07,54
2022-10-08,18
2022-10-09,25
2022-10-10,55
2022-10-11,66
2022-10-12,59
2022-10-13,60
2022-10-14,55
2022-10-15,19
2022-10-16,30
2022-10-17,71
2022-10-18,69
2022-10-19,67
2022-10-20,63
2022-10-21,54
2022-10-22,16
2022-10-23,31
2022-10-24,73
2022-10-25,66
2022-10-26,65
2022-10-27,68
2022-10-28,55
2022-10-29,17
2022-10-30,29
2022-10-31,77
2022-11-01,67
2022-11-02,69
2022-11-03,66
2022-11-04,54
2022-11-05,17
2022-11-06,26
2022-11-07,67
2022-11-08,57
2022-11-09,64
2022-11-10,58
2022-11-11,38
2022-11-12,14
2022-11-13,26
2022-11-14,72
2022-11-15,66
2022-11-16,64
2022-11-17,60
2022-11-18,55
2022-11-19,14
2022-11-20,18
2022-11-21,48
2022-11-22,39
2022-11-23,20
2022-11-24,7
2022-11-25,11
2022-11-26,12
2022-11-27,27
2022-11-28,75
2022-11-29,70
2022-11-30,67
2022-12-01,66
2022-12-02,54
2022-12-03,14
2022-12-04,22
2022-12-05,71
2022-12-06,68
2022-12-07,65
2022-12-08,65
2022-12-09,52
2022-12-10,13
2022-12-11,22
2022-12-12,66
2022-12-13,59
2022-12-14,60
2022-12-15,61
2022-12-16,52
2022-12-17,11
2022-12-18,15
2022-12-19,53
2022-12-20,45
2022-12-21,35
2022-12-22,25
2022-12-23,14
2022-12-24,7
2022-12-25,6
2022-12-26,8
2022-12-27,13
2022-12-28,15
2022-12-29,15
2022-12-30,16
2022-12-31,16
2023-01-01,17
2023-01-02,39
2023-01-03,82
2023-01-04,80
2023-01-05,74
2023-01-06,67
2023-01-07,20
2023-01-08,35
2023-01-09,93
2023-01-10,85
2023-01-11,85
2023-01-12,79
2023-01-13,72
2023-01-14,17
2023-01-15,20
2023-01-16,38
2023-01-17,89
2023-01-18,79
2023-01-19,77
2023-01-20,72
2023-01-21,21
2023-01-22,33
2023-01-23,93
2023-01-24,85
2023-01-25,75
2023-01-26,78
2023-01-27,70
2023-01-28,22
2023-01-29,33
2023-01-30,91
2023-01-31,88
2023-02-01,88
2023-02-02,86
2023-02-03,92
2023-02-04,23
2023-02-05,38
2023-02-06,96
2023-02-07,98
2023-02-08,95
2023-02-09,90
2023-02-10,84
2023-02-11,22
2023-02-12,34
2023-02-13,94
2023-02-14,93
2023-02-15,88
2023-02-16,80
2023-02-17,66
2023-02-18,17
2023-02-19,19
2023-02-20,41
2023-02-21,76
2023-02-22,74
2023-02-23,69
2023-02-24,66
2023-02-25,22
2023-02-26,35
2023-02-27,100
2023-02-28,84
2023-03-01,85
2023-03-02,84
2023-03-03,66
2023-03-04,22
2023-03-05,30
2023-03-06,88
2023-03-07,84
2023-03-08,85
2023-03-09,78
2023-03-10,63
2023-03-11,18
2023-03-12,27
2023-03-13,70
2023-03-14,66
2023-03-15,62
2023-03-16,68
2023-03-17,57
2023-03-18,20
2023-03-19,31
2023-03-20,81
2023-03-21,76
2023-03-22,73
2023-03-23,70
2023-03-24,60
2023-03-25,16
2023-03-26,27
2023-03-27,81
2023-03-28,78
2023-03-29,75
2023-03-30,73
2023-03-31,54
2023-04-01,16
2023-04-02,24
2023-04-03,67
2023-04-04,60
2023-04-05,60
2023-04-06,52
2023-04-07,25
2023-04-08,13
2023-04-09,18
2023-04-10,60
2023-04-11,71
2023-04-12,66
2023-04-13,62
2023-04-14,53
2023-04-15,16
2023-04-16,30
2023-04-17,88
2023-04-18,74
2023-04-19,76
2023-04-20,77
2023-04-21,60
2023-04-22,18
2023-04-23,27
2023-04-24,80
2023-04-25,77
2023-04-26,75
2023-04-27,69
2023-04-28,62
2023-04-29,17
2023-04-30,28
2023-05-01,82
2023-05-02,73
2023-05-03,74
2023-05-04,70
2023-05-05,60
2023-05-06,16
2023-05-07,27
2023-05-08,83
2023-05-09,80
2023-05-10,77
2023-05-11,71
2023-05-12,59
2023-05-13,15
2023-05-14,21
2023-05-15,79
2023-05-16,70
2023-05-17,67
2023-05-18,68
2023-05-19,54
2023-05-20,15
2023-05-21,24
2023-05-22,73
2023-05-23,60
2023-05-24,56
2023-05-25,51
