Time,tpt
2022-01-01,14
2022-01-02,24
2022-01-03,37
2022-01-04,40
2022-01-05,35
2022-01-06,24
2022-01-07,24
2022-01-08,15
2022-01-09,19
2022-01-10,29
2022-01-11,32
2022-01-12,31
2022-01-13,30
2022-01-14,21
2022-01-15,13
2022-01-16,13
2022-01-17,19
2022-01-18,29
2022-01-19,28
2022-01-20,28
2022-01-21,25
2022-01-22,14
2022-01-23,20
2022-01-24,32
2022-01-25,26
2022-01-26,25
2022-01-27,30
2022-01-28,29
2022-01-29,16
2022-01-30,19
2022-01-31,34
2022-02-01,34
2022-02-02,35
2022-02-03,30
2022-02-04,26
2022-02-05,18
2022-02-06,21
2022-02-07,35
2022-02-08,37
2022-02-09,33
2022-02-10,33
2022-02-11,29
2022-02-12,16
2022-02-13,20
2022-02-14,30
2022-02-15,32
2022-02-16,30
2022-02-17,27
2022-02-18,24
2022-02-19,15
2022-02-20,16
2022-02-21,21
2022-02-22,30
2022-02-23,26
2022-02-24,24
2022-02-25,24
2022-02-26,19
2022-02-27,17
2022-02-28,35
2022-03-01,33
2022-03-02,29
2022-03-03,30
2022-03-04,23
2022-03-05,14
2022-03-06,17
2022-03-07,27
2022-03-08,30
2022-03-09,25
2022-03-10,26
2022-03-11,23
2022-03-12,14
2022-03-13,16
2022-03-14,25
2022-03-15,26
2022-03-16,26
2022-03-17,25
2022-03-18,21
2022-03-19,14
2022-03-20,14
2022-03-21,30
2022-03-22,30
2022-03-23,27
2022-03-24,26
2022-03-25,48
2022-03-26,18
2022-03-27,28
2022-03-28,68
2022-03-29,68
2022-03-30,27
2022-03-31,62
2022-04-01,59
2022-04-02,19
2022-04-03,28
2022-04-04,74
2022-04-05,70
2022-04-06,71
2022-04-07,67
2022-04-08,54
2022-04-09,18
2022-04-10,27
2022-04-11,70
2022-04-12,66
2022-04-13,58
2022-04-14,54
2022-04-15,26
2022-04-16,14
2022-04-17,18
2022-04-18,57
2022-04-19,59
2022-04-20,58
2022-04-21,64
2022-04-22,56
2022-04-23,17
2022-04-24,28
2022-04-25,83
2022-04-26,74
2022-04-27,63
2022-04-28,64
2022-04-29,56
2022-04-30,17
2022-05-01,30
2022-05-02,74
2022-05-03,75
2022-05-04,71
2022-05-05,70
2022-05-06,60
2022-05-07,15
2022-05-08,22
2022-05-09,70
2022-05-10,63
2022-05-11,60
2022-05-12,65
2022-05-13,56
2022-05-14,16
2022-05-15,24
2022-05-16,67
2022-05-17,65
2022-05-18,61
2022-05-19,61
2022-05-20,50
2022-05-21,16
2022-05-22,23
2022-05-23,65
2022-05-24,59
2022-05-25,47
2022-05-26,47
2022-05-27,34
2022-05-28,14
2022-05-29,14
2022-05-30,17
2022-05-31,48
2022-06-01,45
2022-06-02,43
2022-06-03,32
2022-06-04,12
2022-06-05,20
2022-06-06,38
2022-06-07,40
2022-06-08,34
2022-06-09,35
2022-06-10,27
2022-06-11,13
2022-06-12,20
2022-06-13,35
2022-06-14,36
2022-06-15,30
2022-06-16,29
2022-06-17,21
2022-06-18,13
2022-06-19,15
2022-06-20,24
2022-06-21,30
2022-06-22,26
2022-06-23,26
2022-06-24,19
2022-06-25,14
2022-06-26,15
2022-06-27,24
2022-06-28,24
2022-06-29,23
2022-06-30,23
2022-07-01,16
2022-07-02,15
2022-07-03,15
2022-07-04,19
2022-07-05,27
2022-07-06,26
2022-07-07,26
2022-07-08,22
2022-07-09,20
2022-07-10,20
2022-07-11,25
2022-07-12,26
2022-07-13,29
2022-07-14,27
2022-07-15,21
2022-07-16,17
2022-07-17,19
2022-07-18,29
2022-07-19,36
2022-07-20,32
2022-07-21,33
2022-07-22,28
2022-07-23,20
2022-07-24,22
2022-07-25,33
2022-07-26,39
2022-07-27,40
2022-07-28,40
2022-07-29,37
2022-07-30,26
2022-07-31,32
2022-08-01,46
2022-08-02,67
2022-08-03,74
2022-08-04,63
2022-08-05,60
2022-08-06,37
2022-08-07,47
2022-08-08,66
2022-08-09,74
2022-08-10,74
2022-08-11,77
2022-08-12,73
2022-08-13,38
2022-08-14,50
2022-08-15,90
2022-08-16,90
2022-08-17,85
2022-08-18,90
2022-08-19,74
2022-08-20,37
2022-08-21,53
2022-08-22,81
2022-08-23,87
2022-08-24,91
2022-08-25,84
2022-08-26,76
2022-08-27,35
2022-08-28,57
2022-08-29,94
2022-08-30,96
2022-08-31,100
2022-09-01,93
2022-09-02,71
2022-09-03,28
2022-09-04,33
2022-09-05,52
2022-09-06,93
2022-09-07,90
2022-09-08,85
2022-09-09,78
2022-09-10,29
2022-09-11,49
2022-09-12,89
2022-09-13,91
2022-09-14,86
2022-09-15,87
2022-09-16,75
2022-09-17,26
2022-09-18,44
2022-09-19,94
2022-09-20,88
2022-09-21,89
2022-09-22,86
2022-09-23,69
2022-09-24,24
2022-09-25,38
2022-09-26,85
2022-09-27,80
