Time,top gun 2
2023-12-22,27
2023-12-23,52
2023-12-24,46
2023-12-25,62
2023-12-26,59
2023-12-27,52
2023-12-28,41
2023-12-29,40
2023-12-30,62
2023-12-31,59
2024-01-01,60
2024-01-02,31
2024-01-03,28
2024-01-04,25
2024-01-05,45
2024-01-06,56
2024-01-07,53
2024-01-08,49
2024-01-09,31
2024-01-10,39
2024-01-11,19
2024-01-12,59
2024-01-13,100
2024-01-14,99
2024-01-15,52
2024-01-16,40
2024-01-17,54
2024-01-18,34
2024-01-19,45
2024-01-20,52
2024-01-21,58
2024-01-22,31
2024-01-23,35
2024-01-24,39
2024-01-25,37
2024-01-26,40
2024-01-27,75
2024-01-28,68
2024-01-29,52
2024-01-30,35
2024-01-31,32
2024-02-01,21
2024-02-02,44
2024-02-03,48
2024-02-04,61
2024-02-05,33
2024-02-06,33
2024-02-07,29
2024-02-08,33
2024-02-09,30
2024-02-10,57
2024-02-11,66
2024-02-12,51
2024-02-13,40
2024-02-14,42
2024-02-15,49
2024-02-16,37
2024-02-17,64
2024-02-18,57
2024-02-19,46
2024-02-20,37
2024-02-21,39
2024-02-22,35
2024-02-23,35
2024-02-24,58
2024-02-25,81
2024-02-26,39
2024-02-27,35
2024-02-28,32
2024-02-29,42
2024-03-01,27
2024-03-02,61
2024-03-03,54
2024-03-04,34
2024-03-05,35
2024-03-06,22
2024-03-07,31
2024-03-08,38
2024-03-09,40
2024-03-10,66
2024-03-11,65
2024-03-12,35
2024-03-13,37
2024-03-14,15
2024-03-15,40
2024-03-16,61
2024-03-17,55
2024-03-18,47
2024-03-19,33
2024-03-20,33
2024-03-21,20
2024-03-22,35
2024-03-23,66
2024-03-24,88
2024-03-25,42
2024-03-26,45
2024-03-27,32
2024-03-28,39
2024-03-29,39
2024-03-30,63
2024-03-31,66
2024-04-01,46
2024-04-02,42
2024-04-03,39
2024-04-04,40
2024-04-05,31
2024-04-06,50
2024-04-07,61
2024-04-08,43
2024-04-09,26
2024-04-10,42
2024-04-11,28
2024-04-12,37
2024-04-13,37
2024-04-14,28
2024-04-15,32
2024-04-16,21
2024-04-17,19
2024-04-18,30
2024-04-19,38
2024-04-20,46
2024-04-21,48
2024-04-22,42
2024-04-23,41
2024-04-24,37
2024-04-25,33
2024-04-26,19
2024-04-27,55
2024-04-28,65
2024-04-29,40
2024-04-30,33
2024-05-01,31
2024-05-02,22
2024-05-03,50
2024-05-04,51
2024-05-05,43
2024-05-06,32
2024-05-07,15
2024-05-08,32
2024-05-09,37
2024-05-10,43
2024-05-11,51
2024-05-12,58
2024-05-13,41
2024-05-14,27
2024-05-15,29
2024-05-16,29
2024-05-17,30
2024-05-18,68
2024-05-19,80
2024-05-20,43
2024-05-21,29
2024-05-22,37
2024-05-23,35
2024-05-24,36
2024-05-25,74
2024-05-26,61
2024-05-27,56
2024-05-28,38
2024-05-29,28
2024-05-30,34
2024-05-31,44
2024-06-01,47
2024-06-02,60
2024-06-03,33
2024-06-04,30
2024-06-05,44
2024-06-06,34
2024-06-07,36
2024-06-08,54
2024-06-09,57
2024-06-10,50
2024-06-11,38
2024-06-12,39
2024-06-13,30
2024-06-14,39
2024-06-15,64
2024-06-16,80
2024-06-17,47
2024-06-18,48
2024-06-19,40
2024-06-20,47
2024-06-21,33
2024-06-22,42
2024-06-23,58
2024-06-24,46
2024-06-25,37
2024-06-26,37
2024-06-27,39
2024-06-28,31
2024-06-29,46
2024-06-30,54
2024-07-01,47
2024-07-02,42
2024-07-03,49
2024-07-04,76
2024-07-05,69
2024-07-06,74
2024-07-07,68
2024-07-08,49
2024-07-09,33
2024-07-10,53
2024-07-11,33
2024-07-12,48
2024-07-13,59
2024-07-14,42
2024-07-15,35
2024-07-16,40
2024-07-17,29
2024-07-18,39
2024-07-19,54
2024-07-20,81
2024-07-21,100
2024-07-22,76
2024-07-23,52
2024-07-24,46
2024-07-25,85
2024-07-26,71
2024-07-27,81
2024-07-28,99
2024-07-29,59
2024-07-30,59
2024-07-31,35
2024-08-01,47
2024-08-02,42
2024-08-03,68
2024-08-04,87
2024-08-05,52
2024-08-06,30
2024-08-07,38
2024-08-08,30
2024-08-09,42
2024-08-10,57
2024-08-11,73
2024-08-12,53
2024-08-13,41
2024-08-14,44
2024-08-15,35
2024-08-16,34
2024-08-17,76
2024-08-18,94
2024-08-19,41
2024-08-20,28
2024-08-21,31
2024-08-22,46
2024-08-23,21
2024-08-24,47
2024-08-25,75
2024-08-26,35
2024-08-27,29
2024-08-28,32
2024-08-29,27
2024-08-30,28
2024-08-31,44
2024-09-01,60
2024-09-02,41
2024-09-03,34
2024-09-04,21
2024-09-05,24
2024-09-06,30
2024-09-07,37
2024-09-08,35
2024-09-09,31
2024-09-10,27
2024-09-11,18
2024-09-12,28
2024-09-13,20
2024-09-14,39
2024-09-15,39
2024-09-16,28
