Time,costco
2023-12-22,79
2023-12-23,96
2023-12-24,96
2023-12-25,52
2023-12-26,70
2023-12-27,67
2023-12-28,66
2023-12-29,70
2023-12-30,79
2023-12-31,96
2024-01-01,75
2024-01-02,61
2024-01-03,60
2024-01-04,59
2024-01-05,60
2024-01-06,77
2024-01-07,73
2024-01-08,54
2024-01-09,51
2024-01-10,54
2024-01-11,54
2024-01-12,57
2024-01-13,69
2024-01-14,78
2024-01-15,77
2024-01-16,55
2024-01-17,56
2024-01-18,55
2024-01-19,61
2024-01-20,79
2024-01-21,80
2024-01-22,58
2024-01-23,52
2024-01-24,54
2024-01-25,52
2024-01-26,56
2024-01-27,72
2024-01-28,69
2024-01-29,54
2024-01-30,52
2024-01-31,52
2024-02-01,50
2024-02-02,56
2024-02-03,70
2024-02-04,79
2024-02-05,52
2024-02-06,47
2024-02-07,53
2024-02-08,50
2024-02-09,55
2024-02-10,75
2024-02-11,70
2024-02-12,44
2024-02-13,52
2024-02-14,46
2024-02-15,47
2024-02-16,53
2024-02-17,68
2024-02-18,78
2024-02-19,72
2024-02-20,50
2024-02-21,50
2024-02-22,48
2024-02-23,54
2024-02-24,68
2024-02-25,73
2024-02-26,55
2024-02-27,53
2024-02-28,50
2024-02-29,48
2024-03-01,55
2024-03-02,72
2024-03-03,79
2024-03-04,56
2024-03-05,53
2024-03-06,52
2024-03-07,52
2024-03-08,55
2024-03-09,71
2024-03-10,74
2024-03-11,55
2024-03-12,53
2024-03-13,51
2024-03-14,52
2024-03-15,55
2024-03-16,70
2024-03-17,74
2024-03-18,56
2024-03-19,51
2024-03-20,52
2024-03-21,50
2024-03-22,52
2024-03-23,69
2024-03-24,76
2024-03-25,53
2024-03-26,52
2024-03-27,52
2024-03-28,53
2024-03-29,63
2024-03-30,78
2024-03-31,81
2024-04-01,55
2024-04-02,54
2024-04-03,57
2024-04-04,55
2024-04-05,59
2024-04-06,73
2024-04-07,78
2024-04-08,51
2024-04-09,54
2024-04-10,56
2024-04-11,55
2024-04-12,62
2024-04-13,73
2024-04-14,75
2024-04-15,57
2024-04-16,55
2024-04-17,53
2024-04-18,53
2024-04-19,61
2024-04-20,72
2024-04-21,81
2024-04-22,58
2024-04-23,55
2024-04-24,52
2024-04-25,53
2024-04-26,55
2024-04-27,67
2024-04-28,75
2024-04-29,58
2024-04-30,54
2024-05-01,52
2024-05-02,55
2024-05-03,60
2024-05-04,69
2024-05-05,73
2024-05-06,58
2024-05-07,54
2024-05-08,53
2024-05-09,55
2024-05-10,61
2024-05-11,78
2024-05-12,74
2024-05-13,55
2024-05-14,55
2024-05-15,56
2024-05-16,53
2024-05-17,57
2024-05-18,74
2024-05-19,82
2024-05-20,59
2024-05-21,54
2024-05-22,57
2024-05-23,58
2024-05-24,63
2024-05-25,81
2024-05-26,87
2024-05-27,100
2024-05-28,62
2024-05-29,59
2024-05-30,61
2024-05-31,61
2024-06-01,76
2024-06-02,77
2024-06-03,60
2024-06-04,58
2024-06-05,59
2024-06-06,62
2024-06-07,65
2024-06-08,82
2024-06-09,83
2024-06-10,64
2024-06-11,62
2024-06-12,64
2024-06-13,64
2024-06-14,65
2024-06-15,77
2024-06-16,76
2024-06-17,61
2024-06-18,61
2024-06-19,72
2024-06-20,58
2024-06-21,62
2024-06-22,72
2024-06-23,78
2024-06-24,62
2024-06-25,59
2024-06-26,58
2024-06-27,57
2024-06-28,60
2024-06-29,73
2024-06-30,77
2024-07-01,68
2024-07-02,68
2024-07-03,78
2024-07-04,96
2024-07-05,70
2024-07-06,76
2024-07-07,78
2024-07-08,66
2024-07-09,63
2024-07-10,61
2024-07-11,66
2024-07-12,67
2024-07-13,74
2024-07-14,70
2024-07-15,59
2024-07-16,61
2024-07-17,60
2024-07-18,54
2024-07-19,57
2024-07-20,67
2024-07-21,74
2024-07-22,60
2024-07-23,58
2024-07-24,60
2024-07-25,60
2024-07-26,59
2024-07-27,62
2024-07-28,72
2024-07-29,57
2024-07-30,58
2024-07-31,57
2024-08-01,55
2024-08-02,61
2024-08-03,72
2024-08-04,78
2024-08-05,59
2024-08-06,50
2024-08-07,59
2024-08-08,59
2024-08-09,62
2024-08-10,72
2024-08-11,77
2024-08-12,59
2024-08-13,60
2024-08-14,59
2024-08-15,59
2024-08-16,62
2024-08-17,77
2024-08-18,77
2024-08-19,58
2024-08-20,54
2024-08-21,55
2024-08-22,54
2024-08-23,60
2024-08-24,74
2024-08-25,78
2024-08-26,60
2024-08-27,56
2024-08-28,56
2024-08-29,57
2024-08-30,62
2024-08-31,74
2024-09-01,90
2024-09-02,98
2024-09-03,60
2024-09-04,58
2024-09-05,53
2024-09-06,55
2024-09-07,72
2024-09-08,74
2024-09-09,56
2024-09-10,51
2024-09-11,50
2024-09-12,54
2024-09-13,57
2024-09-14,67
2024-09-15,67
2024-09-16,55
