Time,costco
2025-12-11,58
2025-12-12,65
2025-12-13,79
2025-12-14,78
2025-12-15,67
2025-12-16,60
2025-12-17,64
2025-12-18,63
2025-12-19,67
2025-12-20,86
2025-12-21,83
2025-12-22,84
2025-12-23,84
2025-12-24,97
2025-12-25,52
2025-12-26,74
2025-12-27,77
2025-12-28,76
2025-12-29,70
2025-12-30,79
2025-12-31,91
2026-01-01,81
2026-01-02,68
2026-01-03,80
2026-01-04,78
2026-01-05,63
2026-01-06,62
2026-01-07,59
2026-01-08,57
2026-01-09,60
2026-01-10,77
2026-01-11,78
2026-01-12,59
2026-01-13,59
2026-01-14,57
2026-01-15,57
2026-01-16,60
2026-01-17,77
2026-01-18,77
2026-01-19,83
2026-01-20,60
2026-01-21,59
2026-01-22,59
2026-01-23,61
2026-01-24,68
2026-01-25,61
2026-01-26,55
2026-01-27,51
2026-01-28,54
2026-01-29,56
2026-01-30,64
2026-01-31,80
2026-02-01,79
2026-02-02,60
2026-02-03,55
2026-02-04,54
2026-02-05,51
2026-02-06,54
2026-02-07,70
2026-02-08,67
2026-02-09,46
2026-02-10,50
2026-02-11,54
2026-02-12,52
2026-02-13,58
2026-02-14,63
2026-02-15,69
2026-02-16,70
2026-02-17,52
2026-02-18,51
2026-02-19,51
2026-02-20,54
2026-02-21,76
2026-02-22,72
2026-02-23,57
2026-02-24,56
2026-02-25,54
2026-02-26,55
2026-02-27,53
2026-02-28,70
2026-03-01,76
2026-03-02,57
2026-03-03,56
2026-03-04,55
2026-03-05,57
2026-03-06,63
2026-03-07,76
2026-03-08,81
2026-03-09,69
2026-03-10,61
2026-03-11,54
2026-03-12,57
2026-03-13,61
2026-03-14,82
2026-03-15,79
2026-03-16,60
2026-03-17,58
2026-03-18,58
2026-03-19,59
2026-03-20,63
2026-03-21,78
2026-03-22,77
2026-03-23,64
2026-03-24,60
2026-03-25,61
2026-03-26,56
2026-03-27,59
2026-03-28,74
2026-03-29,80
2026-03-30,59
2026-03-31,61
2026-04-01,58
2026-04-02,61
2026-04-03,66
2026-04-04,78
2026-04-05,89
2026-04-06,64
2026-04-07,61
2026-04-08,62
2026-04-09,62
2026-04-10,65
2026-04-11,79
2026-04-12,79
2026-04-13,59
2026-04-14,59
2026-04-15,58
2026-04-16,63
2026-04-17,69
2026-04-18,79
2026-04-19,80
2026-04-20,60
2026-04-21,59
2026-04-22,55
2026-04-23,54
2026-04-24,60
2026-04-25,74
2026-04-26,78
2026-04-27,59
2026-04-28,64
2026-04-29,68
2026-04-30,60
2026-05-01,63
2026-05-02,73
2026-05-03,82
2026-05-04,63
2026-05-05,59
2026-05-06,63
2026-05-07,60
2026-05-08,64
2026-05-09,78
2026-05-10,76
2026-05-11,58
2026-05-12,59
2026-05-13,60
2026-05-14,59
2026-05-15,62
2026-05-16,81
2026-05-17,83
2026-05-18,62
2026-05-19,62
2026-05-20,64
2026-05-21,62
2026-05-22,62
2026-05-23,81
2026-05-24,95
2026-05-25,100
2026-05-26,66
2026-05-27,64
2026-05-28,64
2026-05-29,68
2026-05-30,80
2026-05-31,81
