Time,spy
2023-04-26,77
2023-04-27,76
2023-04-28,78
2023-04-29,75
2023-04-30,66
2023-05-01,74
2023-05-02,79
2023-05-03,80
2023-05-04,80
2023-05-05,74
2023-05-06,61
2023-05-07,60
2023-05-08,76
2023-05-09,70
2023-05-10,78
2023-05-11,74
2023-05-12,77
2023-05-13,59
2023-05-14,62
2023-05-15,71
2023-05-16,66
2023-05-17,77
2023-05-18,73
2023-05-19,77
2023-05-20,63
2023-05-21,63
2023-05-22,75
2023-05-23,69
2023-05-24,76
2023-05-25,79
2023-05-26,79
2023-05-27,64
2023-05-28,65
2023-05-29,64
2023-05-30,79
2023-05-31,83
2023-06-01,91
2023-06-02,86
2023-06-03,70
2023-06-04,66
2023-06-05,89
2023-06-06,81
2023-06-07,74
2023-06-08,74
2023-06-09,84
2023-06-10,71
2023-06-11,69
2023-06-12,83
2023-06-13,82
2023-06-14,82
2023-06-15,85
2023-06-16,82
2023-06-17,71
2023-06-18,64
2023-06-19,67
2023-06-20,79
2023-06-21,76
2023-06-22,74
2023-06-23,75
2023-06-24,64
2023-06-25,67
2023-06-26,79
2023-06-27,78
2023-06-28,78
2023-06-29,90
2023-06-30,78
2023-07-01,67
2023-07-02,71
2023-07-03,75
2023-07-04,63
2023-07-05,73
2023-07-06,79
2023-07-07,72
2023-07-08,62
2023-07-09,67
2023-07-10,78
2023-07-11,83
2023-07-12,80
2023-07-13,83
2023-07-14,75
2023-07-15,63
2023-07-16,65
2023-07-17,78
2023-07-18,76
2023-07-19,82
2023-07-20,73
2023-07-21,74
2023-07-22,64
2023-07-23,69
2023-07-24,80
2023-07-25,73
2023-07-26,76
2023-07-27,87
2023-07-28,77
2023-07-29,66
2023-07-30,67
2023-07-31,75
2023-08-01,80
2023-08-02,84
2023-08-03,85
2023-08-04,80
2023-08-05,66
2023-08-06,68
2023-08-07,80
2023-08-08,77
2023-08-09,78
2023-08-10,78
2023-08-11,76
2023-08-12,62
2023-08-13,66
2023-08-14,78
2023-08-15,79
2023-08-16,80
2023-08-17,77
2023-08-18,79
2023-08-19,66
2023-08-20,64
2023-08-21,74
2023-08-22,74
2023-08-23,78
2023-08-24,75
2023-08-25,71
2023-08-26,59
2023-08-27,64
2023-08-28,70
2023-08-29,69
2023-08-30,70
2023-08-31,68
2023-09-01,70
2023-09-02,62
2023-09-03,63
2023-09-04,66
2023-09-05,72
2023-09-06,73
2023-09-07,66
2023-09-08,72
2023-09-09,62
2023-09-10,63
2023-09-11,69
2023-09-12,69
2023-09-13,71
2023-09-14,76
2023-09-15,73
2023-09-16,70
2023-09-17,67
2023-09-18,77
2023-09-19,74
2023-09-20,76
2023-09-21,79
2023-09-22,90
2023-09-23,100
2023-09-24,93
2023-09-25,98
2023-09-26,93
2023-09-27,94
2023-09-28,95
2023-09-29,86
2023-09-30,77
2023-10-01,82
2023-10-02,80
2023-10-03,87
2023-10-04,87
2023-10-05,79
2023-10-06,82
2023-10-07,89
2023-10-08,84
2023-10-09,86
2023-10-10,82
2023-10-11,80
2023-10-12,81
2023-10-13,80
2023-10-14,76
2023-10-15,84
2023-10-16,87
2023-10-17,86
2023-10-18,84
2023-10-19,89
2023-10-20,89
2023-10-21,82
2023-10-22,80
2023-10-23,86
2023-10-24,83
2023-10-25,82
2023-10-26,90
2023-10-27,95
2023-10-28,70
2023-10-29,70
2023-10-30,76
2023-10-31,82
2023-11-01,78
2023-11-02,71
2023-11-03,70
2023-11-04,71
2023-11-05,66
2023-11-06,83
2023-11-07,73
2023-11-08,72
2023-11-09,77
2023-11-10,75
2023-11-11,66
2023-11-12,70
2023-11-13,77
2023-11-14,82
2023-11-15,80
2023-11-16,77
2023-11-17,74
2023-11-18,63
2023-11-19,68
2023-11-20,72
2023-11-21,76
2023-11-22,81
2023-11-23,81
2023-11-24,81
2023-11-25,77
2023-11-26,70
2023-11-27,71
2023-11-28,72
2023-11-29,79
2023-11-30,75
2023-12-01,78
2023-12-02,65
2023-12-03,65
2023-12-04,81
2023-12-05,79
2023-12-06,71
2023-12-07,71
2023-12-08,70
2023-12-09,67
2023-12-10,69
2023-12-11,72
2023-12-12,67
2023-12-13,83
2023-12-14,84
2023-12-15,77
2023-12-16,65
2023-12-17,65
2023-12-18,76
2023-12-19,74
2023-12-20,85
2023-12-21,88
2023-12-22,81
2023-12-23,74
2023-12-24,84
2023-12-25,72
2023-12-26,80
2023-12-27,82
2023-12-28,80
2023-12-29,89
2023-12-30,76
2023-12-31,74
2024-01-01,74
2024-01-02,87
2024-01-03,84
2024-01-04,85
2024-01-05,77
2024-01-06,74
2024-01-07,71
2024-01-08,84
2024-01-09,80
2024-01-10,77
2024-01-11,87
2024-01-12,77
2024-01-13,69
2024-01-14,70
2024-01-15,66
2024-01-16,75
2024-01-17,78
2024-01-18,73
2024-01-19,73
2024-01-20,70
