Time,spy
2023-12-22,47
2023-12-23,43
2023-12-24,49
2023-12-25,42
2023-12-26,47
2023-12-27,48
2023-12-28,47
2023-12-29,52
2023-12-30,44
2023-12-31,43
2024-01-01,43
2024-01-02,51
2024-01-03,49
2024-01-04,49
2024-01-05,45
2024-01-06,43
2024-01-07,42
2024-01-08,49
2024-01-09,46
2024-01-10,45
2024-01-11,50
2024-01-12,45
2024-01-13,40
2024-01-14,41
2024-01-15,38
2024-01-16,44
2024-01-17,45
2024-01-18,43
2024-01-19,43
2024-01-20,41
2024-01-21,40
2024-01-22,48
2024-01-23,41
2024-01-24,46
2024-01-25,47
2024-01-26,41
2024-01-27,37
2024-01-28,39
2024-01-29,39
2024-01-30,44
2024-01-31,43
2024-02-01,49
2024-02-02,46
2024-02-03,40
2024-02-04,41
2024-02-05,46
2024-02-06,41
2024-02-07,43
2024-02-08,44
2024-02-09,44
2024-02-10,39
2024-02-11,37
2024-02-12,38
2024-02-13,48
2024-02-14,48
2024-02-15,45
2024-02-16,49
2024-02-17,45
2024-02-18,47
2024-02-19,42
2024-02-20,45
2024-02-21,46
2024-02-22,51
2024-02-23,49
2024-02-24,55
2024-02-25,54
2024-02-26,46
2024-02-27,44
2024-02-28,45
2024-02-29,43
2024-03-01,46
2024-03-02,43
2024-03-03,43
2024-03-04,45
2024-03-05,44
2024-03-06,46
2024-03-07,43
2024-03-08,44
2024-03-09,39
2024-03-10,41
2024-03-11,46
2024-03-12,46
2024-03-13,42
2024-03-14,45
2024-03-15,44
2024-03-16,38
2024-03-17,40
2024-03-18,47
2024-03-19,47
2024-03-20,46
2024-03-21,42
2024-03-22,41
2024-03-23,38
2024-03-24,40
2024-03-25,49
2024-03-26,40
2024-03-27,47
2024-03-28,45
2024-03-29,39
2024-03-30,39
2024-03-31,38
2024-04-01,47
2024-04-02,46
2024-04-03,46
2024-04-04,50
2024-04-05,52
2024-04-06,39
2024-04-07,38
2024-04-08,43
2024-04-09,43
2024-04-10,50
2024-04-11,43
2024-04-12,48
2024-04-13,40
2024-04-14,42
2024-04-15,55
2024-04-16,57
2024-04-17,53
2024-04-18,58
2024-04-19,75
2024-04-20,55
2024-04-21,56
2024-04-22,55
2024-04-23,52
2024-04-24,51
2024-04-25,53
2024-04-26,48
2024-04-27,45
2024-04-28,48
2024-04-29,50
2024-04-30,50
2024-05-01,49
2024-05-02,48
2024-05-03,48
2024-05-04,38
2024-05-05,40
2024-05-06,46
2024-05-07,45
2024-05-08,44
2024-05-09,44
2024-05-10,46
2024-05-11,37
2024-05-12,38
2024-05-13,45
2024-05-14,46
2024-05-15,46
2024-05-16,49
2024-05-17,43
2024-05-18,37
2024-05-19,37
2024-05-20,45
2024-05-21,42
2024-05-22,43
2024-05-23,47
2024-05-24,48
2024-05-25,38
2024-05-26,38
2024-05-27,40
2024-05-28,47
2024-05-29,46
2024-05-30,49
2024-05-31,47
2024-06-01,37
2024-06-02,38
2024-06-03,46
2024-06-04,42
2024-06-05,42
2024-06-06,45
2024-06-07,43
2024-06-08,36
2024-06-09,39
2024-06-10,45
2024-06-11,47
2024-06-12,50
2024-06-13,48
2024-06-14,45
2024-06-15,37
2024-06-16,37
2024-06-17,47
2024-06-18,46
2024-06-19,37
2024-06-20,46
2024-06-21,45
2024-06-22,37
2024-06-23,38
2024-06-24,46
2024-06-25,42
2024-06-26,40
2024-06-27,39
2024-06-28,42
2024-06-29,36
2024-06-30,36
2024-07-01,41
2024-07-02,42
2024-07-03,45
2024-07-04,37
2024-07-05,48
2024-07-06,41
2024-07-07,40
2024-07-08,44
2024-07-09,43
2024-07-10,45
2024-07-11,48
2024-07-12,43
2024-07-13,39
2024-07-14,37
2024-07-15,47
2024-07-16,49
2024-07-17,50
2024-07-18,65
2024-07-19,71
2024-07-20,67
2024-07-21,68
2024-07-22,64
2024-07-23,57
2024-07-24,57
2024-07-25,57
2024-07-26,50
2024-07-27,48
2024-07-28,48
2024-07-29,49
2024-07-30,51
2024-07-31,47
2024-08-01,52
2024-08-02,60
2024-08-03,50
2024-08-04,48
2024-08-05,100
2024-08-06,71
2024-08-07,59
2024-08-08,56
2024-08-09,53
2024-08-10,40
2024-08-11,42
2024-08-12,52
2024-08-13,53
2024-08-14,49
2024-08-15,50
2024-08-16,46
2024-08-17,39
2024-08-18,43
2024-08-19,48
2024-08-20,47
2024-08-21,47
2024-08-22,48
2024-08-23,49
2024-08-24,40
2024-08-25,43
2024-08-26,42
2024-08-27,43
2024-08-28,44
2024-08-29,42
2024-08-30,44
2024-08-31,38
2024-09-01,39
2024-09-02,49
2024-09-03,54
2024-09-04,50
2024-09-05,46
2024-09-06,49
2024-09-07,38
2024-09-08,38
2024-09-09,46
2024-09-10,41
2024-09-11,42
2024-09-12,44
2024-09-13,43
2024-09-14,36
2024-09-15,33
2024-09-16,40
