Time,temperature
2022-01-01,81
2022-01-02,89
2022-01-03,84
2022-01-04,87
2022-01-05,67
2022-01-06,64
2022-01-07,77
2022-01-08,73
2022-01-09,72
2022-01-10,66
2022-01-11,79
2022-01-12,68
2022-01-13,68
2022-01-14,52
2022-01-15,83
2022-01-16,96
2022-01-17,64
2022-01-18,59
2022-01-19,60
2022-01-20,72
2022-01-21,73
2022-01-22,87
2022-01-23,100
2022-01-24,92
2022-01-25,60
2022-01-26,71
2022-01-27,67
2022-01-28,71
2022-01-29,84
2022-01-30,92
2022-01-31,67
2022-02-01,62
2022-02-02,65
2022-02-03,76
2022-02-04,73
2022-02-05,74
2022-02-06,72
2022-02-07,62
2022-02-08,60
2022-02-09,59
2022-02-10,48
2022-02-11,56
2022-02-12,62
2022-02-13,70
2022-02-14,60
2022-02-15,65
2022-02-16,58
2022-02-17,61
2022-02-18,57
2022-02-19,63
2022-02-20,66
2022-02-21,59
2022-02-22,62
2022-02-23,70
2022-02-24,66
2022-02-25,63
2022-02-26,58
2022-02-27,60
2022-02-28,59
2022-03-01,53
2022-03-02,55
2022-03-03,56
2022-03-04,53
2022-03-05,56
2022-03-06,58
2022-03-07,58
2022-03-08,56
2022-03-09,54
2022-03-10,57
2022-03-11,57
2022-03-12,67
2022-03-13,72
2022-03-14,59
2022-03-15,55
2022-03-16,55
2022-03-17,53
2022-03-18,53
2022-03-19,52
2022-03-20,59
2022-03-21,54
2022-03-22,53
2022-03-23,52
2022-03-24,49
2022-03-25,55
2022-03-26,54
2022-03-27,61
2022-03-28,59
2022-03-29,58
2022-03-30,56
2022-03-31,55
2022-04-01,54
2022-04-02,55
2022-04-03,57
2022-04-04,56
2022-04-05,54
2022-04-06,51
2022-04-07,58
2022-04-08,62
2022-04-09,61
2022-04-10,61
2022-04-11,56
2022-04-12,57
2022-04-13,57
2022-04-14,56
2022-04-15,53
2022-04-16,57
2022-04-17,74
2022-04-18,57
2022-04-19,58
2022-04-20,55
2022-04-21,56
2022-04-22,54
2022-04-23,56
2022-04-24,57
2022-04-25,59
2022-04-26,57
2022-04-27,55
2022-04-28,58
2022-04-29,52
2022-04-30,52
2022-05-01,57
2022-05-02,55
2022-05-03,55
2022-05-04,51
2022-05-05,54
2022-05-06,49
2022-05-07,54
2022-05-08,60
2022-05-09,60
2022-05-10,60
2022-05-11,62
2022-05-12,57
2022-05-13,55
2022-05-14,57
2022-05-15,58
2022-05-16,55
2022-05-17,53
2022-05-18,52
2022-05-19,54
2022-05-20,53
2022-05-21,66
2022-05-22,63
2022-05-23,55
2022-05-24,52
2022-05-25,50
2022-05-26,50
2022-05-27,49
2022-05-28,54
2022-05-29,59
2022-05-30,65
2022-05-31,56
2022-06-01,51
2022-06-02,48
2022-06-03,45
2022-06-04,49
2022-06-05,53
2022-06-06,47
2022-06-07,46
2022-06-08,49
2022-06-09,47
2022-06-10,52
2022-06-11,62
2022-06-12,65
2022-06-13,63
2022-06-14,64
2022-06-15,65
2022-06-16,59
2022-06-17,55
2022-06-18,60
2022-06-19,68
2022-06-20,54
2022-06-21,56
2022-06-22,57
2022-06-23,54
2022-06-24,52
2022-06-25,64
2022-06-26,64
2022-06-27,53
2022-06-28,49
2022-06-29,47
2022-06-30,46
2022-07-01,47
2022-07-02,55
2022-07-03,58
2022-07-04,63
2022-07-05,49
2022-07-06,49
2022-07-07,48
2022-07-08,49
2022-07-09,57
2022-07-10,64
2022-07-11,58
2022-07-12,53
2022-07-13,53
2022-07-14,50
2022-07-15,48
2022-07-16,59
2022-07-17,64
2022-07-18,62
2022-07-19,73
2022-07-20,70
2022-07-21,62
2022-07-22,57
2022-07-23,66
2022-07-24,67
2022-07-25,54
2022-07-26,50
2022-07-27,48
2022-07-28,52
2022-07-29,50
2022-07-30,51
2022-07-31,58
2022-08-01,48
2022-08-02,46
2022-08-03,46
2022-08-04,49
2022-08-05,47
2022-08-06,53
2022-08-07,55
2022-08-08,49
2022-08-09,47
2022-08-10,44
2022-08-11,44
2022-08-12,41
2022-08-13,47
2022-08-14,47
2022-08-15,44
2022-08-16,46
2022-08-17,45
2022-08-18,45
2022-08-19,43
2022-08-20,48
2022-08-21,51
2022-08-22,43
2022-08-23,45
2022-08-24,45
2022-08-25,43
2022-08-26,43
2022-08-27,47
2022-08-28,52
2022-08-29,47
2022-08-30,48
2022-08-31,52
2022-09-01,51
2022-09-02,50
2022-09-03,57
2022-09-04,62
2022-09-05,69
2022-09-06,69
2022-09-07,64
2022-09-08,52
2022-09-09,53
2022-09-10,56
2022-09-11,52
2022-09-12,53
2022-09-13,49
2022-09-14,49
2022-09-15,49
2022-09-16,47
2022-09-17,49
2022-09-18,51
2022-09-19,54
2022-09-20,50
2022-09-21,50
2022-09-22,54
2022-09-23,57
2022-09-24,58
2022-09-25,58
2022-09-26,53
2022-09-27,54
