Time,local guide program
2025-12-11,72
2025-12-12,62
2025-12-13,41
2025-12-14,39
2025-12-15,73
2025-12-16,72
2025-12-17,68
2025-12-18,71
2025-12-19,65
2025-12-20,39
2025-12-21,40
2025-12-22,68
2025-12-23,60
2025-12-24,43
2025-12-25,27
2025-12-26,47
2025-12-27,38
2025-12-28,38
2025-12-29,74
2025-12-30,67
2025-12-31,54
2026-01-01,37
2026-01-02,67
2026-01-03,49
2026-01-04,45
2026-01-05,84
2026-01-06,88
2026-01-07,85
2026-01-08,83
2026-01-09,79
2026-01-10,49
2026-01-11,48
2026-01-12,85
2026-01-13,88
2026-01-14,83
2026-01-15,85
2026-01-16,78
2026-01-17,48
2026-01-18,44
2026-01-19,69
2026-01-20,80
2026-01-21,82
2026-01-22,81
2026-01-23,64
2026-01-24,39
2026-01-25,38
2026-01-26,72
2026-01-27,77
2026-01-28,82
2026-01-29,89
2026-01-30,76
2026-01-31,48
2026-02-01,52
2026-02-02,100
2026-02-03,96
2026-02-04,84
2026-02-05,75
2026-02-06,74
2026-02-07,52
2026-02-08,43
2026-02-09,71
2026-02-10,82
2026-02-11,84
2026-02-12,70
2026-02-13,65
2026-02-14,43
2026-02-15,42
2026-02-16,60
2026-02-17,69
2026-02-18,50
2026-02-19,49
2026-02-20,70
2026-02-21,47
2026-02-22,41
2026-02-23,81
2026-02-24,88
2026-02-25,81
2026-02-26,83
2026-02-27,76
2026-02-28,48
2026-03-01,47
2026-03-02,85
2026-03-03,90
2026-03-04,85
2026-03-05,87
2026-03-06,87
2026-03-07,54
2026-03-08,49
2026-03-09,91
2026-03-10,88
2026-03-11,89
2026-03-12,86
2026-03-13,81
2026-03-14,57
2026-03-15,52
2026-03-16,87
2026-03-17,89
2026-03-18,91
2026-03-19,86
2026-03-20,81
2026-03-21,54
2026-03-22,47
2026-03-23,95
2026-03-24,96
2026-03-25,93
2026-03-26,84
2026-03-27,82
2026-03-28,50
2026-03-29,50
2026-03-30,88
2026-03-31,91
2026-04-01,92
2026-04-02,89
2026-04-03,73
2026-04-04,51
2026-04-05,46
2026-04-06,93
2026-04-07,85
2026-04-08,90
2026-04-09,85
2026-04-10,83
2026-04-11,48
2026-04-12,47
2026-04-13,92
2026-04-14,83
2026-04-15,85
2026-04-16,85
2026-04-17,78
2026-04-18,48
2026-04-19,49
2026-04-20,90
2026-04-21,91
2026-04-22,89
2026-04-23,87
2026-04-24,79
2026-04-25,52
2026-04-26,48
2026-04-27,92
2026-04-28,93
2026-04-29,90
2026-04-30,86
2026-05-01,83
2026-05-02,50
2026-05-03,52
2026-05-04,93
2026-05-05,90
2026-05-06,93
2026-05-07,88
2026-05-08,85
2026-05-09,54
2026-05-10,49
2026-05-11,95
2026-05-12,98
2026-05-13,96
2026-05-14,93
2026-05-15,86
2026-05-16,51
2026-05-17,51
2026-05-18,94
2026-05-19,92
2026-05-20,94
2026-05-21,89
2026-05-22,81
2026-05-23,53
2026-05-24,50
2026-05-25,54
2026-05-26,98
2026-05-27,91
2026-05-28,89
2026-05-29,85
2026-05-30,54
2026-05-31,74
