Time,local guide program
2023-04-26,77
2023-04-27,69
2023-04-28,65
2023-04-29,49
2023-04-30,45
2023-05-01,71
2023-05-02,74
2023-05-03,75
2023-05-04,72
2023-05-05,69
2023-05-06,43
2023-05-07,42
2023-05-08,83
2023-05-09,79
2023-05-10,73
2023-05-11,71
2023-05-12,69
2023-05-13,40
2023-05-14,40
2023-05-15,80
2023-05-16,81
2023-05-17,76
2023-05-18,74
2023-05-19,72
2023-05-20,45
2023-05-21,42
2023-05-22,80
2023-05-23,79
2023-05-24,78
2023-05-25,75
2023-05-26,67
2023-05-27,44
2023-05-28,43
2023-05-29,52
2023-05-30,83
2023-05-31,79
2023-06-01,77
2023-06-02,73
2023-06-03,46
2023-06-04,47
2023-06-05,81
2023-06-06,80
2023-06-07,83
2023-06-08,75
2023-06-09,69
2023-06-10,42
2023-06-11,43
2023-06-12,85
2023-06-13,81
2023-06-14,81
2023-06-15,80
2023-06-16,74
2023-06-17,43
2023-06-18,44
2023-06-19,79
2023-06-20,85
2023-06-21,81
2023-06-22,75
2023-06-23,74
2023-06-24,49
2023-06-25,49
2023-06-26,85
2023-06-27,85
2023-06-28,78
2023-06-29,100
2023-06-30,100
2023-07-01,61
2023-07-02,58
2023-07-03,72
2023-07-04,48
2023-07-05,85
2023-07-06,86
2023-07-07,84
2023-07-08,47
2023-07-09,55
2023-07-10,93
2023-07-11,87
2023-07-12,84
2023-07-13,86
2023-07-14,80
2023-07-15,54
2023-07-16,50
2023-07-17,92
2023-07-18,94
2023-07-19,89
2023-07-20,86
2023-07-21,79
2023-07-22,49
2023-07-23,50
2023-07-24,90
2023-07-25,92
2023-07-26,93
2023-07-27,82
2023-07-28,78
2023-07-29,52
2023-07-30,54
2023-07-31,93
2023-08-01,91
2023-08-02,85
2023-08-03,84
2023-08-04,78
2023-08-05,47
2023-08-06,51
2023-08-07,91
2023-08-08,89
2023-08-09,87
2023-08-10,87
2023-08-11,85
2023-08-12,46
2023-08-13,50
2023-08-14,90
2023-08-15,86
2023-08-16,86
2023-08-17,85
2023-08-18,80
2023-08-19,46
2023-08-20,44
2023-08-21,87
2023-08-22,88
2023-08-23,83
2023-08-24,81
2023-08-25,72
2023-08-26,47
2023-08-27,47
2023-08-28,81
2023-08-29,82
2023-08-30,87
2023-08-31,83
2023-09-01,76
2023-09-02,46
2023-09-03,44
2023-09-04,49
2023-09-05,85
2023-09-06,89
2023-09-07,79
2023-09-08,77
2023-09-09,48
2023-09-10,48
2023-09-11,89
2023-09-12,87
2023-09-13,82
2023-09-14,82
2023-09-15,76
2023-09-16,47
2023-09-17,43
2023-09-18,82
2023-09-19,84
2023-09-20,80
2023-09-21,86
2023-09-22,75
2023-09-23,45
2023-09-24,45
2023-09-25,84
2023-09-26,87
2023-09-27,83
2023-09-28,76
2023-09-29,75
2023-09-30,45
2023-10-01,43
2023-10-02,79
2023-10-03,83
2023-10-04,82
2023-10-05,80
2023-10-06,78
2023-10-07,48
2023-10-08,41
2023-10-09,82
2023-10-10,82
2023-10-11,83
2023-10-12,78
2023-10-13,75
2023-10-14,45
2023-10-15,45
2023-10-16,80
2023-10-17,81
2023-10-18,82
2023-10-19,79
2023-10-20,72
2023-10-21,41
2023-10-22,43
2023-10-23,84
2023-10-24,81
2023-10-25,78
2023-10-26,78
2023-10-27,73
2023-10-28,42
2023-10-29,39
2023-10-30,81
2023-10-31,81
2023-11-01,79
2023-11-02,77
2023-11-03,68
2023-11-04,47
2023-11-05,43
2023-11-06,82
2023-11-07,79
2023-11-08,75
2023-11-09,77
2023-11-10,67
2023-11-11,45
2023-11-12,41
2023-11-13,77
2023-11-14,76
2023-11-15,82
2023-11-16,76
2023-11-17,73
2023-11-18,42
2023-11-19,41
2023-11-20,74
2023-11-21,67
2023-11-22,60
2023-11-23,32
2023-11-24,37
2023-11-25,40
2023-11-26,40
2023-11-27,74
2023-11-28,75
2023-11-29,77
2023-11-30,72
2023-12-01,68
2023-12-02,45
2023-12-03,41
2023-12-04,74
2023-12-05,77
2023-12-06,78
2023-12-07,72
2023-12-08,70
2023-12-09,41
2023-12-10,39
2023-12-11,68
2023-12-12,70
2023-12-13,64
2023-12-14,70
2023-12-15,64
2023-12-16,42
2023-12-17,40
2023-12-18,68
2023-12-19,72
2023-12-20,72
2023-12-21,63
2023-12-22,49
2023-12-23,39
2023-12-24,33
2023-12-25,29
2023-12-26,54
2023-12-27,65
2023-12-28,63
2023-12-29,61
2023-12-30,41
2023-12-31,39
2024-01-01,39
2024-01-02,78
2024-01-03,84
2024-01-04,81
2024-01-05,80
2024-01-06,47
2024-01-07,43
2024-01-08,81
2024-01-09,77
2024-01-10,81
2024-01-11,75
2024-01-12,72
2024-01-13,46
2024-01-14,43
2024-01-15,61
2024-01-16,71
2024-01-17,78
2024-01-18,77
2024-01-19,72
2024-01-20,50
