Time,local guide program
2023-12-22,47
2023-12-23,37
2023-12-24,32
2023-12-25,28
2023-12-26,52
2023-12-27,62
2023-12-28,61
2023-12-29,59
2023-12-30,39
2023-12-31,38
2024-01-01,38
2024-01-02,74
2024-01-03,80
2024-01-04,78
2024-01-05,76
2024-01-06,45
2024-01-07,41
2024-01-08,78
2024-01-09,74
2024-01-10,77
2024-01-11,72
2024-01-12,69
2024-01-13,44
2024-01-14,42
2024-01-15,58
2024-01-16,68
2024-01-17,75
2024-01-18,74
2024-01-19,69
2024-01-20,48
2024-01-21,48
2024-01-22,72
2024-01-23,76
2024-01-24,77
2024-01-25,74
2024-01-26,75
2024-01-27,49
2024-01-28,47
2024-01-29,82
2024-01-30,75
2024-01-31,79
2024-02-01,77
2024-02-02,71
2024-02-03,48
2024-02-04,48
2024-02-05,77
2024-02-06,78
2024-02-07,79
2024-02-08,74
2024-02-09,76
2024-02-10,48
2024-02-11,42
2024-02-12,70
2024-02-13,79
2024-02-14,76
2024-02-15,76
2024-02-16,78
2024-02-17,50
2024-02-18,50
2024-02-19,75
2024-02-20,85
2024-02-21,82
2024-02-22,78
2024-02-23,74
2024-02-24,50
2024-02-25,49
2024-02-26,83
2024-02-27,81
2024-02-28,77
2024-02-29,81
2024-03-01,66
2024-03-02,47
2024-03-03,47
2024-03-04,82
2024-03-05,88
2024-03-06,88
2024-03-07,81
2024-03-08,75
2024-03-09,49
2024-03-10,52
2024-03-11,84
2024-03-12,85
2024-03-13,81
2024-03-14,79
2024-03-15,76
2024-03-16,49
2024-03-17,49
2024-03-18,90
2024-03-19,86
2024-03-20,84
2024-03-21,77
2024-03-22,75
2024-03-23,47
2024-03-24,47
2024-03-25,84
2024-03-26,87
2024-03-27,84
2024-03-28,84
2024-03-29,75
2024-03-30,46
2024-03-31,45
2024-04-01,86
2024-04-02,81
2024-04-03,82
2024-04-04,79
2024-04-05,76
2024-04-06,49
2024-04-07,50
2024-04-08,72
2024-04-09,77
2024-04-10,83
2024-04-11,78
2024-04-12,77
2024-04-13,48
2024-04-14,45
2024-04-15,80
2024-04-16,84
2024-04-17,85
2024-04-18,83
2024-04-19,77
2024-04-20,44
2024-04-21,48
2024-04-22,87
2024-04-23,85
2024-04-24,85
2024-04-25,80
2024-04-26,74
2024-04-27,48
2024-04-28,49
2024-04-29,88
2024-04-30,80
2024-05-01,82
2024-05-02,77
2024-05-03,77
2024-05-04,47
2024-05-05,50
2024-05-06,85
2024-05-07,84
2024-05-08,81
2024-05-09,83
2024-05-10,80
2024-05-11,53
2024-05-12,46
2024-05-13,86
2024-05-14,88
2024-05-15,86
2024-05-16,82
2024-05-17,72
2024-05-18,51
2024-05-19,51
2024-05-20,89
2024-05-21,88
2024-05-22,83
2024-05-23,84
2024-05-24,74
2024-05-25,47
2024-05-26,47
2024-05-27,53
2024-05-28,91
2024-05-29,89
2024-05-30,84
2024-05-31,82
2024-06-01,49
2024-06-02,45
2024-06-03,96
2024-06-04,91
2024-06-05,88
2024-06-06,86
2024-06-07,80
2024-06-08,50
2024-06-09,49
2024-06-10,94
2024-06-11,92
2024-06-12,86
2024-06-13,91
2024-06-14,78
2024-06-15,48
2024-06-16,50
2024-06-17,93
2024-06-18,98
2024-06-19,82
2024-06-20,86
2024-06-21,82
2024-06-22,50
2024-06-23,53
2024-06-24,97
2024-06-25,91
2024-06-26,86
2024-06-27,82
2024-06-28,72
2024-06-29,51
2024-06-30,51
2024-07-01,87
2024-07-02,93
2024-07-03,80
2024-07-04,50
2024-07-05,60
2024-07-06,48
2024-07-07,50
2024-07-08,93
2024-07-09,90
2024-07-10,90
2024-07-11,88
2024-07-12,82
2024-07-13,48
2024-07-14,47
2024-07-15,83
2024-07-16,87
2024-07-17,89
2024-07-18,84
2024-07-19,72
2024-07-20,47
2024-07-21,44
2024-07-22,83
2024-07-23,86
2024-07-24,87
2024-07-25,85
2024-07-26,79
2024-07-27,48
2024-07-28,48
2024-07-29,91
2024-07-30,90
2024-07-31,86
2024-08-01,92
2024-08-02,84
2024-08-03,50
2024-08-04,53
2024-08-05,90
2024-08-06,91
2024-08-07,95
2024-08-08,90
2024-08-09,82
2024-08-10,48
2024-08-11,50
2024-08-12,95
2024-08-13,88
2024-08-14,92
2024-08-15,91
2024-08-16,79
2024-08-17,48
2024-08-18,51
2024-08-19,96
2024-08-20,96
2024-08-21,86
2024-08-22,86
2024-08-23,81
2024-08-24,51
2024-08-25,51
2024-08-26,100
2024-08-27,92
2024-08-28,90
2024-08-29,86
2024-08-30,80
2024-08-31,47
2024-09-01,48
2024-09-02,55
2024-09-03,91
2024-09-04,87
2024-09-05,83
2024-09-06,76
2024-09-07,46
2024-09-08,46
2024-09-09,90
2024-09-10,83
2024-09-11,79
2024-09-12,86
2024-09-13,82
2024-09-14,52
2024-09-15,46
2024-09-16,88
