Time,dollar tree
2023-12-22,41
2023-12-23,55
2023-12-24,100
2023-12-25,62
2023-12-26,21
2023-12-27,22
2023-12-28,22
2023-12-29,24
2023-12-30,28
2023-12-31,41
2024-01-01,35
2024-01-02,21
2024-01-03,20
2024-01-04,23
2024-01-05,23
2024-01-06,27
2024-01-07,27
2024-01-08,21
2024-01-09,19
2024-01-10,19
2024-01-11,20
2024-01-12,21
2024-01-13,25
2024-01-14,23
2024-01-15,22
2024-01-16,18
2024-01-17,19
2024-01-18,20
2024-01-19,19
2024-01-20,26
2024-01-21,26
2024-01-22,20
2024-01-23,18
2024-01-24,21
2024-01-25,20
2024-01-26,21
2024-01-27,26
2024-01-28,27
2024-01-29,19
2024-01-30,20
2024-01-31,20
2024-02-01,20
2024-02-02,21
2024-02-03,29
2024-02-04,33
2024-02-05,23
2024-02-06,20
2024-02-07,23
2024-02-08,24
2024-02-09,24
2024-02-10,33
2024-02-11,35
2024-02-12,23
2024-02-13,35
2024-02-14,47
2024-02-15,21
2024-02-16,21
2024-02-17,24
2024-02-18,27
2024-02-19,22
2024-02-20,19
2024-02-21,18
2024-02-22,18
2024-02-23,20
2024-02-24,26
2024-02-25,27
2024-02-26,20
2024-02-27,17
2024-02-28,17
2024-02-29,19
2024-03-01,19
2024-03-02,23
2024-03-03,29
2024-03-04,19
2024-03-05,19
2024-03-06,20
2024-03-07,19
2024-03-08,21
2024-03-09,28
2024-03-10,29
2024-03-11,20
2024-03-12,20
2024-03-13,28
2024-03-14,42
2024-03-15,32
2024-03-16,33
2024-03-17,31
2024-03-18,21
2024-03-19,21
2024-03-20,23
2024-03-21,23
2024-03-22,30
2024-03-23,44
2024-03-24,40
2024-03-25,28
2024-03-26,29
2024-03-27,40
2024-03-28,42
2024-03-29,41
2024-03-30,48
2024-03-31,65
2024-04-01,28
2024-04-02,21
2024-04-03,18
2024-04-04,20
2024-04-05,22
2024-04-06,28
2024-04-07,29
2024-04-08,21
2024-04-09,18
2024-04-10,20
2024-04-11,20
2024-04-12,25
2024-04-13,38
2024-04-14,41
2024-04-15,24
2024-04-16,21
2024-04-17,20
2024-04-18,24
2024-04-19,24
2024-04-20,28
2024-04-21,29
2024-04-22,22
2024-04-23,20
2024-04-24,20
2024-04-25,20
2024-04-26,23
2024-04-27,27
2024-04-28,30
2024-04-29,26
2024-04-30,23
2024-05-01,22
2024-05-02,23
2024-05-03,26
2024-05-04,29
2024-05-05,37
2024-05-06,25
2024-05-07,25
2024-05-08,26
2024-05-09,32
2024-05-10,30
2024-05-11,41
2024-05-12,45
2024-05-13,22
2024-05-14,21
2024-05-15,21
2024-05-16,22
2024-05-17,24
2024-05-18,31
2024-05-19,34
2024-05-20,24
2024-05-21,22
2024-05-22,23
2024-05-23,24
2024-05-24,27
2024-05-25,31
2024-05-26,34
2024-05-27,35
2024-05-28,21
2024-05-29,23
2024-05-30,32
2024-05-31,32
2024-06-01,31
2024-06-02,34
2024-06-03,21
2024-06-04,23
2024-06-05,24
2024-06-06,29
2024-06-07,31
2024-06-08,31
2024-06-09,33
2024-06-10,24
2024-06-11,23
2024-06-12,24
2024-06-13,25
2024-06-14,26
2024-06-15,35
2024-06-16,41
2024-06-17,24
2024-06-18,22
2024-06-19,23
2024-06-20,22
2024-06-21,25
2024-06-22,30
2024-06-23,31
2024-06-24,23
2024-06-25,21
2024-06-26,22
2024-06-27,22
2024-06-28,24
2024-06-29,29
2024-06-30,30
2024-07-01,24
2024-07-02,24
2024-07-03,28
2024-07-04,46
2024-07-05,23
2024-07-06,28
2024-07-07,27
2024-07-08,22
2024-07-09,22
2024-07-10,22
2024-07-11,25
2024-07-12,25
2024-07-13,29
2024-07-14,29
2024-07-15,22
2024-07-16,23
2024-07-17,21
2024-07-18,24
2024-07-19,25
2024-07-20,30
2024-07-21,31
2024-07-22,23
2024-07-23,21
2024-07-24,22
2024-07-25,23
2024-07-26,22
2024-07-27,28
2024-07-28,29
2024-07-29,22
2024-07-30,22
2024-07-31,21
2024-08-01,23
2024-08-02,25
2024-08-03,27
2024-08-04,32
2024-08-05,24
2024-08-06,21
2024-08-07,23
2024-08-08,22
2024-08-09,25
2024-08-10,28
2024-08-11,33
2024-08-12,24
2024-08-13,22
2024-08-14,22
2024-08-15,23
2024-08-16,26
2024-08-17,33
2024-08-18,34
2024-08-19,23
2024-08-20,22
2024-08-21,22
2024-08-22,23
2024-08-23,25
2024-08-24,31
2024-08-25,35
2024-08-26,22
2024-08-27,21
2024-08-28,21
2024-08-29,22
2024-08-30,24
2024-08-31,29
2024-09-01,35
2024-09-02,35
2024-09-03,20
2024-09-04,21
2024-09-05,23
2024-09-06,23
2024-09-07,30
2024-09-08,33
2024-09-09,22
2024-09-10,22
2024-09-11,21
2024-09-12,21
2024-09-13,23
2024-09-14,31
2024-09-15,31
2024-09-16,21
