Time,austin butler
2022-01-01,2
2022-01-02,2
2022-01-03,2
2022-01-04,2
2022-01-05,1
2022-01-06,1
2022-01-07,1
2022-01-08,1
2022-01-09,2
2022-01-10,3
2022-01-11,2
2022-01-12,1
2022-01-13,1
2022-01-14,1
2022-01-15,2
2022-01-16,2
2022-01-17,2
2022-01-18,2
2022-01-19,1
2022-01-20,2
2022-01-21,3
2022-01-22,3
2022-01-23,2
2022-01-24,2
2022-01-25,1
2022-01-26,1
2022-01-27,3
2022-01-28,3
2022-01-29,3
2022-01-30,4
2022-01-31,2
2022-02-01,1
2022-02-02,1
2022-02-03,1
2022-02-04,1
2022-02-05,1
2022-02-06,1
2022-02-07,2
2022-02-08,2
2022-02-09,2
2022-02-10,2
2022-02-11,1
2022-02-12,1
2022-02-13,1
2022-02-14,2
2022-02-15,2
2022-02-16,3
2022-02-17,25
2022-02-18,64
2022-02-19,28
2022-02-20,25
2022-02-21,14
2022-02-22,12
2022-02-23,9
2022-02-24,6
2022-02-25,4
2022-02-26,4
2022-02-27,4
2022-02-28,3
2022-03-01,3
2022-03-02,2
2022-03-03,3
2022-03-04,5
2022-03-05,7
2022-03-06,8
2022-03-07,6
2022-03-08,5
2022-03-09,5
2022-03-10,7
2022-03-11,12
2022-03-12,9
2022-03-13,8
2022-03-14,5
2022-03-15,4
2022-03-16,4
2022-03-17,3
2022-03-18,4
2022-03-19,5
2022-03-20,6
2022-03-21,3
2022-03-22,3
2022-03-23,3
2022-03-24,3
2022-03-25,9
2022-03-26,12
2022-03-27,17
2022-03-28,6
2022-03-29,4
2022-03-30,3
2022-03-31,3
2022-04-01,3
2022-04-02,4
2022-04-03,4
2022-04-04,2
2022-04-05,2
2022-04-06,2
2022-04-07,2
2022-04-08,2
2022-04-09,3
2022-04-10,3
2022-04-11,2
2022-04-12,2
2022-04-13,2
2022-04-14,2
2022-04-15,3
2022-04-16,4
2022-04-17,5
2022-04-18,3
2022-04-19,3
2022-04-20,2
2022-04-21,4
2022-04-22,4
2022-04-23,4
2022-04-24,5
2022-04-25,9
2022-04-26,4
2022-04-27,4
2022-04-28,3
2022-04-29,3
2022-04-30,5
2022-05-01,5
2022-05-02,21
2022-05-03,58
2022-05-04,24
2022-05-05,14
2022-05-06,19
2022-05-07,19
2022-05-08,16
2022-05-09,10
2022-05-10,7
2022-05-11,7
2022-05-12,11
2022-05-13,10
2022-05-14,8
2022-05-15,13
2022-05-16,10
2022-05-17,12
2022-05-18,8
2022-05-19,10
2022-05-20,7
2022-05-21,11
2022-05-22,12
2022-05-23,14
2022-05-24,20
2022-05-25,31
2022-05-26,62
2022-05-27,48
2022-05-28,39
2022-05-29,40
2022-05-30,37
2022-05-31,27
2022-06-01,23
2022-06-02,23
2022-06-03,21
2022-06-04,22
2022-06-05,23
2022-06-06,18
2022-06-07,23
2022-06-08,24
2022-06-09,20
2022-06-10,25
2022-06-11,25
2022-06-12,26
2022-06-13,28
2022-06-14,25
2022-06-15,26
2022-06-16,79
2022-06-17,60
2022-06-18,57
2022-06-19,58
2022-06-20,42
2022-06-21,43
2022-06-22,56
2022-06-23,50
2022-06-24,81
2022-06-25,91
2022-06-26,100
2022-06-27,83
2022-06-28,66
2022-06-29,66
2022-06-30,65
2022-07-01,71
2022-07-02,86
2022-07-03,82
2022-07-04,74
2022-07-05,55
2022-07-06,53
2022-07-07,47
2022-07-08,42
2022-07-09,59
2022-07-10,51
2022-07-11,40
2022-07-12,30
2022-07-13,36
2022-07-14,30
2022-07-15,30
2022-07-16,34
2022-07-17,35
2022-07-18,27
2022-07-19,26
2022-07-20,25
2022-07-21,26
2022-07-22,29
2022-07-23,33
2022-07-24,34
2022-07-25,29
2022-07-26,27
2022-07-27,33
2022-07-28,27
2022-07-29,26
2022-07-30,27
2022-07-31,27
2022-08-01,23
2022-08-02,20
2022-08-03,18
2022-08-04,18
2022-08-05,35
2022-08-06,39
2022-08-07,30
2022-08-08,21
2022-08-09,21
2022-08-10,28
2022-08-11,25
2022-08-12,26
2022-08-13,33
2022-08-14,39
2022-08-15,29
2022-08-16,28
2022-08-17,32
2022-08-18,25
2022-08-19,21
2022-08-20,29
2022-08-21,29
2022-08-22,20
2022-08-23,18
2022-08-24,15
2022-08-25,15
2022-08-26,16
2022-08-27,17
2022-08-28,20
2022-08-29,14
2022-08-30,11
2022-08-31,12
2022-09-01,10
2022-09-02,21
2022-09-03,61
2022-09-04,81
2022-09-05,70
2022-09-06,42
2022-09-07,30
2022-09-08,27
2022-09-09,22
2022-09-10,32
2022-09-11,35
2022-09-12,23
2022-09-13,18
2022-09-14,18
2022-09-15,17
2022-09-16,16
2022-09-17,23
2022-09-18,23
2022-09-19,16
2022-09-20,13
2022-09-21,13
2022-09-22,11
2022-09-23,10
2022-09-24,18
2022-09-25,19
2022-09-26,12
2022-09-27,10
