Time,flash flood warning
2025-04-15,0
2025-04-16,0
2025-04-17,0
2025-04-18,4
2025-04-19,2
2025-04-20,8
2025-04-21,10
2025-04-22,1
2025-04-23,11
2025-04-24,6
2025-04-25,3
2025-04-26,8
2025-04-27,1
2025-04-28,0
2025-04-29,2
2025-04-30,38
2025-05-01,3
2025-05-02,4
2025-05-03,2
2025-05-04,4
2025-05-05,4
2025-05-06,32
2025-05-07,7
2025-05-08,2
2025-05-09,7
2025-05-10,2
2025-05-11,2
2025-05-12,2
2025-05-13,8
2025-05-14,19
2025-05-15,4
2025-05-16,8
2025-05-17,3
2025-05-18,1
2025-05-19,4
2025-05-20,4
2025-05-21,10
2025-05-22,1
2025-05-23,0
2025-05-24,4
2025-05-25,8
2025-05-26,8
2025-05-27,14
2025-05-28,6
2025-05-29,5
2025-05-30,11
2025-05-31,21
2025-06-01,2
2025-06-02,2
2025-06-03,16
2025-06-04,10
2025-06-05,3
2025-06-06,13
2025-06-07,13
2025-06-08,4
2025-06-09,6
2025-06-10,7
2025-06-11,4
2025-06-12,15
2025-06-13,12
2025-06-14,23
2025-06-15,23
2025-06-16,12
2025-06-17,11
2025-06-18,19
2025-06-19,5
2025-06-20,2
2025-06-21,1
2025-06-22,4
2025-06-23,1
2025-06-24,8
2025-06-25,15
2025-06-26,9
2025-06-27,11
2025-06-28,10
2025-06-29,8
2025-06-30,9
2025-07-01,25
2025-07-02,6
2025-07-03,10
2025-07-04,9
2025-07-05,37
2025-07-06,21
2025-07-07,17
2025-07-08,25
2025-07-09,48
2025-07-10,40
2025-07-11,15
2025-07-12,29
2025-07-13,24
2025-07-14,100
2025-07-15,41
2025-07-16,20
2025-07-17,30
2025-07-18,16
2025-07-19,26
2025-07-20,13
2025-07-21,22
2025-07-22,6
2025-07-23,13
2025-07-24,6
2025-07-25,12
2025-07-26,4
2025-07-27,9
2025-07-28,9
2025-07-29,3
2025-07-30,11
2025-07-31,88
2025-08-01,22
2025-08-02,8
2025-08-03,6
2025-08-04,3
2025-08-05,12
2025-08-06,14
2025-08-07,5
2025-08-08,4
2025-08-09,1
2025-08-10,14
2025-08-11,11
2025-08-12,21
2025-08-13,31
2025-08-14,10
2025-08-15,12
2025-08-16,8
2025-08-17,10
2025-08-18,10
2025-08-19,10
2025-08-20,4
2025-08-21,7
2025-08-22,8
2025-08-23,6
2025-08-24,3
2025-08-25,4
2025-08-26,3
2025-08-27,2
2025-08-28,5
2025-08-29,4
2025-08-30,19
2025-08-31,9
2025-09-01,14
2025-09-02,1
2025-09-03,1
2025-09-04,1
2025-09-05,3
2025-09-06,6
2025-09-07,3
2025-09-08,1
2025-09-09,1
2025-09-10,2
2025-09-11,0
2025-09-12,0
2025-09-13,1
2025-09-14,1
2025-09-15,0
2025-09-16,5
2025-09-17,2
2025-09-18,4
2025-09-19,4
2025-09-20,4
2025-09-21,4
2025-09-22,4
2025-09-23,5
2025-09-24,5
2025-09-25,7
2025-09-26,12
2025-09-27,11
2025-09-28,4
2025-09-29,1
2025-09-30,0
2025-10-01,0
2025-10-02,0
2025-10-03,0
2025-10-04,0
2025-10-05,1
2025-10-06,2
2025-10-07,5
2025-10-08,0
2025-10-09,0
2025-10-10,3
2025-10-11,2
2025-10-12,14
2025-10-13,4
2025-10-14,6
2025-10-15,1
2025-10-16,0
2025-10-17,0
2025-10-18,0
2025-10-19,0
2025-10-20,0
2025-10-21,0
2025-10-22,0
2025-10-23,0
2025-10-24,2
2025-10-25,2
2025-10-26,3
2025-10-27,6
2025-10-28,0
2025-10-29,0
2025-10-30,26
2025-10-31,2
2025-11-01,1
2025-11-02,1
2025-11-03,0
2025-11-04,0
2025-11-05,0
2025-11-06,0
2025-11-07,0
2025-11-08,0
2025-11-09,0
2025-11-10,0
2025-11-11,0
2025-11-12,0
2025-11-13,0
2025-11-14,0
2025-11-15,35
2025-11-16,2
2025-11-17,1
2025-11-18,2
2025-11-19,0
2025-11-20,18
2025-11-21,12
2025-11-22,1
2025-11-23,1
2025-11-24,9
2025-11-25,2
2025-11-26,2
2025-11-27,0
2025-11-28,0
2025-11-29,0
2025-11-30,0
2025-12-01,0
2025-12-02,0
2025-12-03,0
2025-12-04,2
2025-12-05,0
2025-12-06,0
2025-12-07,1
2025-12-08,0
2025-12-09,0
2025-12-10,0
2025-12-11,0
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,5
2025-12-16,8
2025-12-17,1
2025-12-18,0
2025-12-19,1
2025-12-20,1
2025-12-21,1
2025-12-22,4
2025-12-23,1
2025-12-24,56
2025-12-25,24
2025-12-26,4
2025-12-27,2
2025-12-28,2
2025-12-29,1
2025-12-30,1
2025-12-31,1
2026-01-01,11
2026-01-02,1
2026-01-03,2
2026-01-04,1
2026-01-05,1
2026-01-06,0
2026-01-07,0
2026-01-08,0
2026-01-09,26
