Time,translate
2022-01-01,53
2022-01-02,50
2022-01-03,61
2022-01-04,76
2022-01-05,75
2022-01-06,62
2022-01-07,66
2022-01-08,57
2022-01-09,55
2022-01-10,70
2022-01-11,76
2022-01-12,75
2022-01-13,75
2022-01-14,62
2022-01-15,54
2022-01-16,47
2022-01-17,54
2022-01-18,66
2022-01-19,71
2022-01-20,72
2022-01-21,70
2022-01-22,58
2022-01-23,52
2022-01-24,81
2022-01-25,64
2022-01-26,60
2022-01-27,69
2022-01-28,76
2022-01-29,59
2022-01-30,55
2022-01-31,73
2022-02-01,78
2022-02-02,79
2022-02-03,74
2022-02-04,72
2022-02-05,57
2022-02-06,57
2022-02-07,77
2022-02-08,74
2022-02-09,75
2022-02-10,64
2022-02-11,80
2022-02-12,62
2022-02-13,55
2022-02-14,73
2022-02-15,74
2022-02-16,75
2022-02-17,74
2022-02-18,70
2022-02-19,55
2022-02-20,56
2022-02-21,66
2022-02-22,72
2022-02-23,75
2022-02-24,74
2022-02-25,72
2022-02-26,63
2022-02-27,62
2022-02-28,76
2022-03-01,79
2022-03-02,76
2022-03-03,77
2022-03-04,77
2022-03-05,58
2022-03-06,59
2022-03-07,73
2022-03-08,72
2022-03-09,75
2022-03-10,76
2022-03-11,66
2022-03-12,58
2022-03-13,58
2022-03-14,70
2022-03-15,73
2022-03-16,72
2022-03-17,73
2022-03-18,70
2022-03-19,57
2022-03-20,56
2022-03-21,68
2022-03-22,72
2022-03-23,73
2022-03-24,77
2022-03-25,88
2022-03-26,59
2022-03-27,60
2022-03-28,91
2022-03-29,91
2022-03-30,74
2022-03-31,96
2022-04-01,89
2022-04-02,63
2022-04-03,61
2022-04-04,92
2022-04-05,93
2022-04-06,93
2022-04-07,94
2022-04-08,92
2022-04-09,59
2022-04-10,65
2022-04-11,90
2022-04-12,88
2022-04-13,90
2022-04-14,84
2022-04-15,69
2022-04-16,61
2022-04-17,61
2022-04-18,82
2022-04-19,90
2022-04-20,92
2022-04-21,90
2022-04-22,83
2022-04-23,59
2022-04-24,59
2022-04-25,98
2022-04-26,98
2022-04-27,91
2022-04-28,96
2022-04-29,87
2022-04-30,62
2022-05-01,60
2022-05-02,90
2022-05-03,91
2022-05-04,89
2022-05-05,96
2022-05-06,94
2022-05-07,59
2022-05-08,65
2022-05-09,94
2022-05-10,91
2022-05-11,95
2022-05-12,94
2022-05-13,94
2022-05-14,61
2022-05-15,62
2022-05-16,91
2022-05-17,95
2022-05-18,93
2022-05-19,94
2022-05-20,87
2022-05-21,63
2022-05-22,61
2022-05-23,90
2022-05-24,89
2022-05-25,87
2022-05-26,87
2022-05-27,78
2022-05-28,61
2022-05-29,59
2022-05-30,62
2022-05-31,85
2022-06-01,86
2022-06-02,83
2022-06-03,79
2022-06-04,60
2022-06-05,65
2022-06-06,79
2022-06-07,72
2022-06-08,76
2022-06-09,75
2022-06-10,75
2022-06-11,59
2022-06-12,56
2022-06-13,71
2022-06-14,71
2022-06-15,72
2022-06-16,70
2022-06-17,66
2022-06-18,60
2022-06-19,61
2022-06-20,68
2022-06-21,65
2022-06-22,71
2022-06-23,70
2022-06-24,66
2022-06-25,59
2022-06-26,57
2022-06-27,66
2022-06-28,68
2022-06-29,66
2022-06-30,68
2022-07-01,65
2022-07-02,57
2022-07-03,56
2022-07-04,60
2022-07-05,65
2022-07-06,68
2022-07-07,66
2022-07-08,66
2022-07-09,57
2022-07-10,57
2022-07-11,66
2022-07-12,68
2022-07-13,67
2022-07-14,69
2022-07-15,66
2022-07-16,56
2022-07-17,57
2022-07-18,66
2022-07-19,67
2022-07-20,68
2022-07-21,68
2022-07-22,63
2022-07-23,56
2022-07-24,55
2022-07-25,67
2022-07-26,67
2022-07-27,68
2022-07-28,65
2022-07-29,68
2022-07-30,54
2022-07-31,56
2022-08-01,63
2022-08-02,66
2022-08-03,67
2022-08-04,67
2022-08-05,65
2022-08-06,57
2022-08-07,55
2022-08-08,63
2022-08-09,67
2022-08-10,69
2022-08-11,73
2022-08-12,70
2022-08-13,56
2022-08-14,57
2022-08-15,68
2022-08-16,76
2022-08-17,76
2022-08-18,76
2022-08-19,74
2022-08-20,59
2022-08-21,55
2022-08-22,76
2022-08-23,79
2022-08-24,83
2022-08-25,87
2022-08-26,78
2022-08-27,58
2022-08-28,60
2022-08-29,78
2022-08-30,86
2022-08-31,85
2022-09-01,84
2022-09-02,82
2022-09-03,58
2022-09-04,56
2022-09-05,63
2022-09-06,86
2022-09-07,88
2022-09-08,92
2022-09-09,88
2022-09-10,58
2022-09-11,60
2022-09-12,94
2022-09-13,97
2022-09-14,100
2022-09-15,94
2022-09-16,89
2022-09-17,61
2022-09-18,61
2022-09-19,97
2022-09-20,97
2022-09-21,100
2022-09-22,100
2022-09-23,92
2022-09-24,61
2022-09-25,60
2022-09-26,86
2022-09-27,94
