Time,euphoria
2022-08-29,76
2022-08-30,78
2022-08-31,64
2022-09-01,49
2022-09-02,44
2022-09-03,52
2022-09-04,57
2022-09-05,58
2022-09-06,44
2022-09-07,39
2022-09-08,36
2022-09-09,39
2022-09-10,46
2022-09-11,50
2022-09-12,44
2022-09-13,100
2022-09-14,56
2022-09-15,51
2022-09-16,44
2022-09-17,48
2022-09-18,48
2022-09-19,44
2022-09-20,42
2022-09-21,41
2022-09-22,34
2022-09-23,35
2022-09-24,40
2022-09-25,43
2022-09-26,38
2022-09-27,35
2022-09-28,34
2022-09-29,32
2022-09-30,30
2022-10-01,37
2022-10-02,39
2022-10-03,36
2022-10-04,31
2022-10-05,33
2022-10-06,34
2022-10-07,34
2022-10-08,40
2022-10-09,39
2022-10-10,34
2022-10-11,37
2022-10-12,34
2022-10-13,35
2022-10-14,36
2022-10-15,40
2022-10-16,40
2022-10-17,36
2022-10-18,31
2022-10-19,32
2022-10-20,32
2022-10-21,30
2022-10-22,36
2022-10-23,39
2022-10-24,34
2022-10-25,37
2022-10-26,35
2022-10-27,35
2022-10-28,38
2022-10-29,51
2022-10-30,51
2022-10-31,42
2022-11-01,36
2022-11-02,35
2022-11-03,37
2022-11-04,34
2022-11-05,37
2022-11-06,39
2022-11-07,33
2022-11-08,35
2022-11-09,27
2022-11-10,32
2022-11-11,35
2022-11-12,40
2022-11-13,41
2022-11-14,34
2022-11-15,32
2022-11-16,33
2022-11-17,34
2022-11-18,32
2022-11-19,36
2022-11-20,39
2022-11-21,31
2022-11-22,31
2022-11-23,33
2022-11-24,31
2022-11-25,33
2022-11-26,38
2022-11-27,44
2022-11-28,36
2022-11-29,32
2022-11-30,32
2022-12-01,32
2022-12-02,33
2022-12-03,37
2022-12-04,39
2022-12-05,34
2022-12-06,29
2022-12-07,31
2022-12-08,32
2022-12-09,30
2022-12-10,34
2022-12-11,39
2022-12-12,33
2022-12-13,34
2022-12-14,33
2022-12-15,33
2022-12-16,32
2022-12-17,38
2022-12-18,35
2022-12-19,35
2022-12-20,35
2022-12-21,39
2022-12-22,39
2022-12-23,38
2022-12-24,35
2022-12-25,30
2022-12-26,33
2022-12-27,37
2022-12-28,41
2022-12-29,41
2022-12-30,40
2022-12-31,45
2023-01-01,52
2023-01-02,47
2023-01-03,41
2023-01-04,40
2023-01-05,41
2023-01-06,40
2023-01-07,41
2023-01-08,45
2023-01-09,38
2023-01-10,40
2023-01-11,47
2023-01-12,40
2023-01-13,37
2023-01-14,42
2023-01-15,42
2023-01-16,46
2023-01-17,43
2023-01-18,38
2023-01-19,37
2023-01-20,37
2023-01-21,40
2023-01-22,42
2023-01-23,36
2023-01-24,36
2023-01-25,33
2023-01-26,34
2023-01-27,35
2023-01-28,35
2023-01-29,41
2023-01-30,37
2023-01-31,36
2023-02-01,37
2023-02-02,38
2023-02-03,44
2023-02-04,42
2023-02-05,45
2023-02-06,35
2023-02-07,35
2023-02-08,34
2023-02-09,35
2023-02-10,39
2023-02-11,41
2023-02-12,46
2023-02-13,33
2023-02-14,32
2023-02-15,32
2023-02-16,33
2023-02-17,34
2023-02-18,43
2023-02-19,42
2023-02-20,41
2023-02-21,40
2023-02-22,41
2023-02-23,45
2023-02-24,34
2023-02-25,40
2023-02-26,45
2023-02-27,55
2023-02-28,45
2023-03-01,42
2023-03-02,42
2023-03-03,35
2023-03-04,39
2023-03-05,40
2023-03-06,35
2023-03-07,31
2023-03-08,32
2023-03-09,31
2023-03-10,32
2023-03-11,34
2023-03-12,36
2023-03-13,36
2023-03-14,34
2023-03-15,33
2023-03-16,31
2023-03-17,31
2023-03-18,34
2023-03-19,38
2023-03-20,33
2023-03-21,32
2023-03-22,30
2023-03-23,29
2023-03-24,28
2023-03-25,36
2023-03-26,34
2023-03-27,29
2023-03-28,26
2023-03-29,26
2023-03-30,26
2023-03-31,26
2023-04-01,30
2023-04-02,34
2023-04-03,33
2023-04-04,36
2023-04-05,29
2023-04-06,29
2023-04-07,33
2023-04-08,34
2023-04-09,32
2023-04-10,31
2023-04-11,30
2023-04-12,32
2023-04-13,33
2023-04-14,30
2023-04-15,31
2023-04-16,34
2023-04-17,31
2023-04-18,27
2023-04-19,29
2023-04-20,27
2023-04-21,27
2023-04-22,33
2023-04-23,38
2023-04-24,34
2023-04-25,30
2023-04-26,29
2023-04-27,32
2023-04-28,31
2023-04-29,35
2023-04-30,39
2023-05-01,34
2023-05-02,33
2023-05-03,32
2023-05-04,29
2023-05-05,33
2023-05-06,36
2023-05-07,40
2023-05-08,35
2023-05-09,34
2023-05-10,33
2023-05-11,35
2023-05-12,37
2023-05-13,42
2023-05-14,46
2023-05-15,41
2023-05-16,46
2023-05-17,45
2023-05-18,50
2023-05-19,46
2023-05-20,47
2023-05-21,55
2023-05-22,47
2023-05-23,46
2023-05-24,45
2023-05-25,42
