Time,adin ross
2022-08-29,4
2022-08-30,4
2022-08-31,3
2022-09-01,3
2022-09-02,2
2022-09-03,2
2022-09-04,4
2022-09-05,3
2022-09-06,3
2022-09-07,3
2022-09-08,3
2022-09-09,4
2022-09-10,2
2022-09-11,3
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,3
2022-09-16,2
2022-09-17,3
2022-09-18,4
2022-09-19,4
2022-09-20,3
2022-09-21,6
2022-09-22,4
2022-09-23,3
2022-09-24,3
2022-09-25,3
2022-09-26,2
2022-09-27,2
2022-09-28,2
2022-09-29,2
2022-09-30,2
2022-10-01,3
2022-10-02,3
2022-10-03,2
2022-10-04,9
2022-10-05,7
2022-10-06,8
2022-10-07,6
2022-10-08,5
2022-10-09,7
2022-10-10,9
2022-10-11,13
2022-10-12,11
2022-10-13,13
2022-10-14,14
2022-10-15,9
2022-10-16,6
2022-10-17,5
2022-10-18,5
2022-10-19,6
2022-10-20,5
2022-10-21,5
2022-10-22,9
2022-10-23,7
2022-10-24,6
2022-10-25,10
2022-10-26,12
2022-10-27,8
2022-10-28,5
2022-10-29,6
2022-10-30,6
2022-10-31,4
2022-11-01,6
2022-11-02,22
2022-11-03,11
2022-11-04,18
2022-11-05,25
2022-11-06,16
2022-11-07,20
2022-11-08,15
2022-11-09,13
2022-11-10,44
2022-11-11,21
2022-11-12,16
2022-11-13,16
2022-11-14,10
2022-11-15,10
2022-11-16,11
2022-11-17,8
2022-11-18,9
2022-11-19,7
2022-11-20,9
2022-11-21,8
2022-11-22,10
2022-11-23,10
2022-11-24,8
2022-11-25,7
2022-11-26,7
2022-11-27,9
2022-11-28,7
2022-11-29,7
2022-11-30,13
2022-12-01,9
2022-12-02,9
2022-12-03,20
2022-12-04,18
2022-12-05,11
2022-12-06,17
2022-12-07,18
2022-12-08,13
2022-12-09,10
2022-12-10,18
2022-12-11,16
2022-12-12,10
2022-12-13,15
2022-12-14,13
2022-12-15,17
2022-12-16,11
2022-12-17,9
2022-12-18,10
2022-12-19,7
2022-12-20,8
2022-12-21,9
2022-12-22,8
2022-12-23,8
2022-12-24,8
2022-12-25,9
2022-12-26,7
2022-12-27,7
2022-12-28,7
2022-12-29,9
2022-12-30,18
2022-12-31,13
2023-01-01,12
2023-01-02,22
2023-01-03,16
2023-01-04,19
2023-01-05,29
2023-01-06,24
2023-01-07,17
2023-01-08,17
2023-01-09,23
2023-01-10,24
2023-01-11,23
2023-01-12,18
2023-01-13,33
2023-01-14,38
2023-01-15,28
2023-01-16,24
2023-01-17,24
2023-01-18,21
2023-01-19,22
2023-01-20,17
2023-01-21,15
2023-01-22,11
2023-01-23,11
2023-01-24,10
2023-01-25,8
2023-01-26,9
2023-01-27,9
2023-01-28,8
2023-01-29,9
2023-01-30,7
2023-01-31,7
2023-02-01,7
2023-02-02,6
2023-02-03,5
2023-02-04,7
2023-02-05,6
2023-02-06,6
2023-02-07,5
2023-02-08,6
2023-02-09,5
2023-02-10,5
2023-02-11,5
2023-02-12,8
2023-02-13,17
2023-02-14,13
2023-02-15,7
2023-02-16,9
2023-02-17,8
2023-02-18,11
2023-02-19,6
2023-02-20,5
2023-02-21,7
2023-02-22,22
2023-02-23,23
2023-02-24,15
2023-02-25,11
2023-02-26,33
2023-02-27,40
2023-02-28,21
2023-03-01,13
2023-03-02,11
2023-03-03,10
2023-03-04,8
2023-03-05,7
2023-03-06,8
2023-03-07,7
2023-03-08,6
2023-03-09,5
2023-03-10,4
2023-03-11,5
2023-03-12,5
2023-03-13,6
2023-03-14,6
2023-03-15,6
2023-03-16,6
2023-03-17,5
2023-03-18,7
2023-03-19,7
2023-03-20,8
2023-03-21,7
2023-03-22,6
2023-03-23,6
2023-03-24,5
2023-03-25,5
2023-03-26,5
2023-03-27,23
2023-03-28,100
2023-03-29,70
2023-03-30,46
2023-03-31,26
2023-04-01,20
2023-04-02,23
2023-04-03,17
2023-04-04,14
2023-04-05,14
2023-04-06,10
2023-04-07,7
2023-04-08,9
2023-04-09,8
2023-04-10,7
2023-04-11,11
2023-04-12,10
2023-04-13,7
2023-04-14,8
2023-04-15,8
2023-04-16,8
2023-04-17,6
2023-04-18,11
2023-04-19,6
2023-04-20,9
2023-04-21,7
2023-04-22,9
2023-04-23,17
2023-04-24,9
2023-04-25,10
2023-04-26,7
2023-04-27,4
2023-04-28,6
2023-04-29,5
2023-04-30,5
2023-05-01,8
2023-05-02,10
2023-05-03,9
2023-05-04,6
2023-05-05,6
2023-05-06,5
2023-05-07,9
2023-05-08,5
2023-05-09,4
2023-05-10,6
2023-05-11,4
2023-05-12,3
2023-05-13,11
2023-05-14,5
2023-05-15,4
2023-05-16,6
2023-05-17,7
2023-05-18,5
2023-05-19,6
2023-05-20,4
2023-05-21,4
2023-05-22,5
2023-05-23,4
2023-05-24,8
2023-05-25,7
