Time,bing
2025-12-11,63
2025-12-12,68
2025-12-13,71
2025-12-14,66
2025-12-15,83
2025-12-16,67
2025-12-17,69
2025-12-18,68
2025-12-19,66
2025-12-20,69
2025-12-21,73
2025-12-22,74
2025-12-23,69
2025-12-24,81
2025-12-25,100
2025-12-26,83
2025-12-27,63
2025-12-28,56
2025-12-29,60
2025-12-30,59
2025-12-31,59
2026-01-01,52
2026-01-02,54
2026-01-03,56
2026-01-04,53
2026-01-05,56
2026-01-06,58
2026-01-07,57
2026-01-08,57
2026-01-09,59
2026-01-10,52
2026-01-11,49
2026-01-12,58
2026-01-13,58
2026-01-14,56
2026-01-15,54
2026-01-16,55
2026-01-17,51
2026-01-18,49
2026-01-19,49
2026-01-20,55
2026-01-21,58
2026-01-22,56
2026-01-23,58
2026-01-24,52
2026-01-25,48
2026-01-26,53
2026-01-27,54
2026-01-28,59
2026-01-29,62
2026-01-30,59
2026-01-31,52
2026-02-01,50
2026-02-02,56
2026-02-03,55
2026-02-04,58
2026-02-05,61
2026-02-06,56
2026-02-07,49
2026-02-08,49
2026-02-09,50
2026-02-10,55
2026-02-11,60
2026-02-12,57
2026-02-13,55
2026-02-14,50
2026-02-15,51
2026-02-16,54
2026-02-17,52
2026-02-18,52
2026-02-19,55
2026-02-20,53
2026-02-21,52
2026-02-22,50
2026-02-23,55
2026-02-24,57
2026-02-25,57
2026-02-26,59
2026-02-27,62
2026-02-28,51
2026-03-01,50
2026-03-02,56
2026-03-03,58
2026-03-04,55
2026-03-05,61
2026-03-06,59
2026-03-07,54
2026-03-08,50
2026-03-09,61
2026-03-10,58
2026-03-11,54
2026-03-12,65
2026-03-13,66
2026-03-14,58
2026-03-15,55
2026-03-16,54
2026-03-17,57
2026-03-18,58
2026-03-19,60
2026-03-20,66
2026-03-21,51
2026-03-22,61
2026-03-23,58
2026-03-24,57
2026-03-25,59
2026-03-26,59
2026-03-27,57
2026-03-28,49
2026-03-29,52
2026-03-30,55
2026-03-31,57
2026-04-01,63
2026-04-02,55
2026-04-03,50
2026-04-04,48
2026-04-05,49
2026-04-06,56
2026-04-07,54
2026-04-08,56
2026-04-09,56
2026-04-10,54
2026-04-11,52
2026-04-12,51
2026-04-13,56
2026-04-14,58
2026-04-15,54
2026-04-16,58
2026-04-17,56
2026-04-18,50
2026-04-19,51
2026-04-20,55
2026-04-21,55
2026-04-22,53
2026-04-23,58
2026-04-24,55
2026-04-25,45
2026-04-26,50
2026-04-27,56
2026-04-28,58
2026-04-29,56
2026-04-30,57
2026-05-01,54
2026-05-02,46
2026-05-03,49
2026-05-04,53
2026-05-05,57
2026-05-06,60
2026-05-07,55
2026-05-08,57
2026-05-09,49
2026-05-10,48
2026-05-11,58
2026-05-12,58
2026-05-13,58
2026-05-14,62
2026-05-15,58
2026-05-16,49
2026-05-17,49
2026-05-18,56
2026-05-19,54
2026-05-20,58
2026-05-21,55
2026-05-22,57
2026-05-23,50
2026-05-24,49
2026-05-25,51
2026-05-26,57
2026-05-27,57
2026-05-28,54
2026-05-29,56
2026-05-30,50
2026-05-31,53
