Time,bing
2022-08-29,33
2022-08-30,34
2022-08-31,39
2022-09-01,32
2022-09-02,33
2022-09-03,31
2022-09-04,32
2022-09-05,33
2022-09-06,36
2022-09-07,32
2022-09-08,32
2022-09-09,30
2022-09-10,32
2022-09-11,30
2022-09-12,33
2022-09-13,33
2022-09-14,34
2022-09-15,31
2022-09-16,31
2022-09-17,34
2022-09-18,33
2022-09-19,34
2022-09-20,30
2022-09-21,33
2022-09-22,33
2022-09-23,32
2022-09-24,32
2022-09-25,32
2022-09-26,31
2022-09-27,33
2022-09-28,32
2022-09-29,34
2022-09-30,33
2022-10-01,31
2022-10-02,32
2022-10-03,30
2022-10-04,32
2022-10-05,33
2022-10-06,34
2022-10-07,34
2022-10-08,32
2022-10-09,31
2022-10-10,31
2022-10-11,33
2022-10-12,34
2022-10-13,34
2022-10-14,33
2022-10-15,33
2022-10-16,32
2022-10-17,33
2022-10-18,33
2022-10-19,35
2022-10-20,32
2022-10-21,35
2022-10-22,33
2022-10-23,31
2022-10-24,31
2022-10-25,33
2022-10-26,34
2022-10-27,33
2022-10-28,34
2022-10-29,33
2022-10-30,32
2022-10-31,36
2022-11-01,34
2022-11-02,35
2022-11-03,32
2022-11-04,36
2022-11-05,31
2022-11-06,33
2022-11-07,34
2022-11-08,31
2022-11-09,32
2022-11-10,35
2022-11-11,35
2022-11-12,33
2022-11-13,33
2022-11-14,35
2022-11-15,34
2022-11-16,36
2022-11-17,37
2022-11-18,43
2022-11-19,37
2022-11-20,35
2022-11-21,37
2022-11-22,39
2022-11-23,100
2022-11-24,74
2022-11-25,68
2022-11-26,50
2022-11-27,41
2022-11-28,42
2022-11-29,43
2022-11-30,43
2022-12-01,41
2022-12-02,41
2022-12-03,39
2022-12-04,40
2022-12-05,43
2022-12-06,45
2022-12-07,44
2022-12-08,46
2022-12-09,45
2022-12-10,47
2022-12-11,42
2022-12-12,44
2022-12-13,40
2022-12-14,44
2022-12-15,39
2022-12-16,41
2022-12-17,44
2022-12-18,43
2022-12-19,43
2022-12-20,42
2022-12-21,43
2022-12-22,41
2022-12-23,44
2022-12-24,48
2022-12-25,55
2022-12-26,44
2022-12-27,40
2022-12-28,35
2022-12-29,35
2022-12-30,34
2022-12-31,36
2023-01-01,36
2023-01-02,39
2023-01-03,34
2023-01-04,35
2023-01-05,37
2023-01-06,37
2023-01-07,34
2023-01-08,36
2023-01-09,36
2023-01-10,34
2023-01-11,37
2023-01-12,35
2023-01-13,40
2023-01-14,34
2023-01-15,33
2023-01-16,34
2023-01-17,38
2023-01-18,35
2023-01-19,36
2023-01-20,37
2023-01-21,35
2023-01-22,33
2023-01-23,36
2023-01-24,35
2023-01-25,34
2023-01-26,35
2023-01-27,37
2023-01-28,34
2023-01-29,33
2023-01-30,34
2023-01-31,31
2023-02-01,35
2023-02-02,34
2023-02-03,36
2023-02-04,33
2023-02-05,35
2023-02-06,42
2023-02-07,50
2023-02-08,70
2023-02-09,63
2023-02-10,52
2023-02-11,48
2023-02-12,42
2023-02-13,44
2023-02-14,45
2023-02-15,57
2023-02-16,67
2023-02-17,75
2023-02-18,63
2023-02-19,49
2023-02-20,50
2023-02-21,49
2023-02-22,50
2023-02-23,44
2023-02-24,42
2023-02-25,39
2023-02-26,38
2023-02-27,44
2023-02-28,43
2023-03-01,42
2023-03-02,41
2023-03-03,40
2023-03-04,39
2023-03-05,36
2023-03-06,41
2023-03-07,39
2023-03-08,35
2023-03-09,41
2023-03-10,41
2023-03-11,33
2023-03-12,37
2023-03-13,38
2023-03-14,39
2023-03-15,45
2023-03-16,47
2023-03-17,41
2023-03-18,37
2023-03-19,38
2023-03-20,45
2023-03-21,45
2023-03-22,41
2023-03-23,41
2023-03-24,42
2023-03-25,39
2023-03-26,39
2023-03-27,45
2023-03-28,43
2023-03-29,43
2023-03-30,42
2023-03-31,41
2023-04-01,38
2023-04-02,37
2023-04-03,39
2023-04-04,43
2023-04-05,37
2023-04-06,40
2023-04-07,38
2023-04-08,37
2023-04-09,42
2023-04-10,41
2023-04-11,40
2023-04-12,41
2023-04-13,37
2023-04-14,41
2023-04-15,34
2023-04-16,37
2023-04-17,41
2023-04-18,41
2023-04-19,46
2023-04-20,40
2023-04-21,40
2023-04-22,38
2023-04-23,39
2023-04-24,40
2023-04-25,41
2023-04-26,40
2023-04-27,42
2023-04-28,39
2023-04-29,37
2023-04-30,37
2023-05-01,40
2023-05-02,39
2023-05-03,39
2023-05-04,42
2023-05-05,40
2023-05-06,39
2023-05-07,38
2023-05-08,40
2023-05-09,40
2023-05-10,38
2023-05-11,40
2023-05-12,40
2023-05-13,37
2023-05-14,35
2023-05-15,38
2023-05-16,39
2023-05-17,39
2023-05-18,38
2023-05-19,38
2023-05-20,36
2023-05-21,37
2023-05-22,38
2023-05-23,38
2023-05-24,39
2023-05-25,39
