Time,us bank
2023-04-26,64
2023-04-27,61
2023-04-28,71
2023-04-29,61
2023-04-30,46
2023-05-01,81
2023-05-02,74
2023-05-03,71
2023-05-04,74
2023-05-05,75
2023-05-06,57
2023-05-07,42
2023-05-08,74
2023-05-09,58
2023-05-10,62
2023-05-11,61
2023-05-12,69
2023-05-13,64
2023-05-14,39
2023-05-15,68
2023-05-16,70
2023-05-17,65
2023-05-18,60
2023-05-19,65
2023-05-20,59
2023-05-21,39
2023-05-22,61
2023-05-23,65
2023-05-24,65
2023-05-25,62
2023-05-26,69
2023-05-27,56
2023-05-28,38
2023-05-29,41
2023-05-30,79
2023-05-31,100
2023-06-01,94
2023-06-02,93
2023-06-03,67
2023-06-04,47
2023-06-05,81
2023-06-06,80
2023-06-07,71
2023-06-08,69
2023-06-09,74
2023-06-10,62
2023-06-11,42
2023-06-12,79
2023-06-13,71
2023-06-14,73
2023-06-15,76
2023-06-16,77
2023-06-17,62
2023-06-18,44
2023-06-19,71
2023-06-20,78
2023-06-21,78
2023-06-22,72
2023-06-23,92
2023-06-24,76
2023-06-25,49
2023-06-26,72
2023-06-27,69
2023-06-28,72
2023-06-29,73
2023-06-30,84
2023-07-01,75
2023-07-02,49
2023-07-03,84
2023-07-04,52
2023-07-05,74
2023-07-06,79
2023-07-07,81
2023-07-08,63
2023-07-09,44
2023-07-10,71
2023-07-11,69
2023-07-12,70
2023-07-13,71
2023-07-14,77
2023-07-15,64
2023-07-16,41
2023-07-17,73
2023-07-18,79
2023-07-19,70
2023-07-20,73
2023-07-21,70
2023-07-22,60
2023-07-23,44
2023-07-24,69
2023-07-25,68
2023-07-26,71
2023-07-27,80
2023-07-28,74
2023-07-29,61
2023-07-30,40
2023-07-31,73
2023-08-01,82
2023-08-02,74
2023-08-03,76
2023-08-04,78
2023-08-05,68
2023-08-06,47
2023-08-07,70
2023-08-08,75
2023-08-09,70
2023-08-10,70
2023-08-11,72
2023-08-12,68
2023-08-13,48
2023-08-14,70
2023-08-15,74
2023-08-16,69
2023-08-17,77
2023-08-18,74
2023-08-19,66
2023-08-20,45
2023-08-21,69
2023-08-22,68
2023-08-23,68
2023-08-24,65
2023-08-25,68
2023-08-26,60
2023-08-27,41
2023-08-28,62
2023-08-29,70
2023-08-30,63
2023-08-31,69
2023-09-01,89
2023-09-02,68
2023-09-03,43
2023-09-04,49
2023-09-05,73
2023-09-06,73
2023-09-07,71
2023-09-08,65
2023-09-09,59
2023-09-10,45
2023-09-11,67
2023-09-12,64
2023-09-13,63
2023-09-14,63
2023-09-15,71
2023-09-16,63
2023-09-17,39
2023-09-18,63
2023-09-19,67
2023-09-20,62
2023-09-21,68
2023-09-22,67
2023-09-23,56
2023-09-24,45
2023-09-25,71
2023-09-26,63
2023-09-27,64
2023-09-28,69
2023-09-29,72
2023-09-30,72
2023-10-01,48
2023-10-02,72
2023-10-03,73
2023-10-04,69
2023-10-05,68
2023-10-06,72
2023-10-07,60
2023-10-08,53
2023-10-09,70
2023-10-10,65
2023-10-11,67
2023-10-12,64
2023-10-13,67
2023-10-14,55
2023-10-15,40
2023-10-16,64
2023-10-17,60
2023-10-18,64
2023-10-19,71
2023-10-20,76
2023-10-21,55
2023-10-22,35
2023-10-23,65
2023-10-24,65
2023-10-25,62
2023-10-26,60
2023-10-27,59
2023-10-28,52
2023-10-29,35
2023-10-30,58
2023-10-31,69
2023-11-01,70
2023-11-02,65
2023-11-03,68
2023-11-04,64
2023-11-05,41
2023-11-06,67
2023-11-07,72
2023-11-08,66
2023-11-09,64
2023-11-10,75
2023-11-11,61
2023-11-12,42
2023-11-13,63
2023-11-14,63
2023-11-15,67
2023-11-16,62
2023-11-17,66
2023-11-18,54
2023-11-19,36
2023-11-20,60
2023-11-21,64
2023-11-22,66
2023-11-23,39
2023-11-24,59
2023-11-25,52
2023-11-26,39
2023-11-27,65
2023-11-28,65
2023-11-29,68
2023-11-30,60
2023-12-01,71
2023-12-02,68
2023-12-03,39
2023-12-04,64
2023-12-05,65
2023-12-06,70
2023-12-07,61
2023-12-08,63
2023-12-09,58
2023-12-10,39
2023-12-11,60
2023-12-12,63
2023-12-13,62
2023-12-14,59
2023-12-15,68
2023-12-16,58
2023-12-17,39
2023-12-18,62
2023-12-19,67
2023-12-20,70
2023-12-21,65
2023-12-22,69
2023-12-23,61
2023-12-24,40
2023-12-25,26
2023-12-26,67
2023-12-27,69
2023-12-28,67
2023-12-29,76
2023-12-30,62
2023-12-31,44
2024-01-01,49
2024-01-02,76
2024-01-03,70
2024-01-04,67
2024-01-05,76
2024-01-06,57
2024-01-07,37
2024-01-08,62
2024-01-09,64
2024-01-10,63
2024-01-11,62
2024-01-12,63
2024-01-13,54
2024-01-14,36
2024-01-15,53
2024-01-16,59
2024-01-17,67
2024-01-18,60
2024-01-19,60
2024-01-20,57
