Time,us bank
2025-12-11,60
2025-12-12,60
2025-12-13,54
2025-12-14,40
2025-12-15,59
2025-12-16,58
2025-12-17,63
2025-12-18,61
2025-12-19,63
2025-12-20,54
2025-12-21,41
2025-12-22,60
2025-12-23,61
2025-12-24,60
2025-12-25,44
2025-12-26,59
2025-12-27,50
2025-12-28,41
2025-12-29,59
2025-12-30,66
2025-12-31,65
2026-01-01,47
2026-01-02,64
2026-01-03,65
2026-01-04,54
2026-01-05,60
2026-01-06,63
2026-01-07,61
2026-01-08,56
2026-01-09,61
2026-01-10,53
2026-01-11,39
2026-01-12,57
2026-01-13,66
2026-01-14,64
2026-01-15,63
2026-01-16,64
2026-01-17,56
2026-01-18,52
2026-01-19,59
2026-01-20,61
2026-01-21,77
2026-01-22,64
2026-01-23,61
2026-01-24,61
2026-01-25,48
2026-01-26,64
2026-01-27,65
2026-01-28,65
2026-01-29,68
2026-01-30,75
2026-01-31,67
2026-02-01,58
2026-02-02,69
2026-02-03,71
2026-02-04,64
2026-02-05,63
2026-02-06,68
2026-02-07,76
2026-02-08,52
2026-02-09,58
2026-02-10,62
2026-02-11,63
2026-02-12,59
2026-02-13,70
2026-02-14,55
2026-02-15,45
2026-02-16,58
2026-02-17,54
2026-02-18,61
2026-02-19,62
2026-02-20,61
2026-02-21,56
2026-02-22,44
2026-02-23,62
2026-02-24,64
2026-02-25,61
2026-02-26,65
2026-02-27,74
2026-02-28,68
2026-03-01,55
2026-03-02,88
2026-03-03,100
2026-03-04,75
2026-03-05,69
2026-03-06,75
2026-03-07,64
2026-03-08,53
2026-03-09,67
2026-03-10,65
2026-03-11,64
2026-03-12,69
2026-03-13,73
2026-03-14,84
2026-03-15,66
2026-03-16,70
2026-03-17,67
2026-03-18,71
2026-03-19,61
2026-03-20,68
2026-03-21,60
2026-03-22,48
2026-03-23,62
2026-03-24,62
2026-03-25,66
2026-03-26,61
2026-03-27,63
2026-03-28,53
2026-03-29,48
2026-03-30,62
2026-03-31,64
2026-04-01,68
2026-04-02,62
2026-04-03,63
2026-04-04,66
2026-04-05,45
2026-04-06,61
2026-04-07,58
2026-04-08,61
2026-04-09,64
2026-04-10,74
2026-04-11,68
2026-04-12,48
2026-04-13,58
2026-04-14,69
2026-04-15,64
2026-04-16,67
2026-04-17,68
2026-04-18,59
2026-04-19,44
2026-04-20,57
2026-04-21,64
2026-04-22,64
2026-04-23,56
2026-04-24,61
2026-04-25,50
2026-04-26,44
2026-04-27,57
2026-04-28,54
2026-04-29,57
2026-04-30,66
2026-05-01,72
2026-05-02,55
2026-05-03,43
2026-05-04,60
2026-05-05,54
2026-05-06,58
2026-05-07,59
2026-05-08,61
2026-05-09,54
2026-05-10,44
2026-05-11,55
2026-05-12,60
2026-05-13,62
2026-05-14,58
2026-05-15,60
2026-05-16,55
2026-05-17,44
2026-05-18,55
2026-05-19,60
2026-05-20,59
2026-05-21,61
2026-05-22,63
2026-05-23,55
2026-05-24,42
2026-05-25,44
2026-05-26,63
2026-05-27,61
2026-05-28,63
2026-05-29,68
2026-05-30,55
2026-05-31,53
