Time,us bank
2025-04-15,62
2025-04-16,67
2025-04-17,60
2025-04-18,60
2025-04-19,53
2025-04-20,35
2025-04-21,56
2025-04-22,58
2025-04-23,51
2025-04-24,55
2025-04-25,51
2025-04-26,42
2025-04-27,30
2025-04-28,54
2025-04-29,52
2025-04-30,55
2025-05-01,58
2025-05-02,63
2025-05-03,50
2025-05-04,35
2025-05-05,53
2025-05-06,59
2025-05-07,54
2025-05-08,51
2025-05-09,56
2025-05-10,45
2025-05-11,32
2025-05-12,55
2025-05-13,54
2025-05-14,59
2025-05-15,53
2025-05-16,59
2025-05-17,46
2025-05-18,34
2025-05-19,56
2025-05-20,63
2025-05-21,63
2025-05-22,52
2025-05-23,56
2025-05-24,43
2025-05-25,29
2025-05-26,35
2025-05-27,55
2025-05-28,60
2025-05-29,64
2025-05-30,63
2025-05-31,51
2025-06-01,38
2025-06-02,59
2025-06-03,76
2025-06-04,58
2025-06-05,59
2025-06-06,59
2025-06-07,47
2025-06-08,35
2025-06-09,60
2025-06-10,60
2025-06-11,63
2025-06-12,59
2025-06-13,62
2025-06-14,54
2025-06-15,37
2025-06-16,61
2025-06-17,63
2025-06-18,63
2025-06-19,57
2025-06-20,65
2025-06-21,47
2025-06-22,36
2025-06-23,59
2025-06-24,61
2025-06-25,58
2025-06-26,62
2025-06-27,65
2025-06-28,51
2025-06-29,46
2025-06-30,65
2025-07-01,75
2025-07-02,66
2025-07-03,72
2025-07-04,46
2025-07-05,46
2025-07-06,38
2025-07-07,64
2025-07-08,63
2025-07-09,64
2025-07-10,67
2025-07-11,65
2025-07-12,53
2025-07-13,36
2025-07-14,67
2025-07-15,72
2025-07-16,69
2025-07-17,70
2025-07-18,62
2025-07-19,73
2025-07-20,50
2025-07-21,71
2025-07-22,67
2025-07-23,68
2025-07-24,69
2025-07-25,73
2025-07-26,58
2025-07-27,47
2025-07-28,65
2025-07-29,84
2025-07-30,100
2025-07-31,95
2025-08-01,96
2025-08-02,58
2025-08-03,41
2025-08-04,64
2025-08-05,74
2025-08-06,73
2025-08-07,67
2025-08-08,70
2025-08-09,61
2025-08-10,45
2025-08-11,65
2025-08-12,62
2025-08-13,60
2025-08-14,60
2025-08-15,67
2025-08-16,55
2025-08-17,36
2025-08-18,61
2025-08-19,58
2025-08-20,61
2025-08-21,61
2025-08-22,58
2025-08-23,47
2025-08-24,34
2025-08-25,61
2025-08-26,61
2025-08-27,56
2025-08-28,63
2025-08-29,64
2025-08-30,52
2025-08-31,37
2025-09-01,46
2025-09-02,66
2025-09-03,66
2025-09-04,62
2025-09-05,64
2025-09-06,50
2025-09-07,38
2025-09-08,61
2025-09-09,59
2025-09-10,56
2025-09-11,55
2025-09-12,55
2025-09-13,46
2025-09-14,38
2025-09-15,68
2025-09-16,62
2025-09-17,68
2025-09-18,59
2025-09-19,64
2025-09-20,55
2025-09-21,46
2025-09-22,67
2025-09-23,63
2025-09-24,62
2025-09-25,58
2025-09-26,66
2025-09-27,55
2025-09-28,41
2025-09-29,66
2025-09-30,67
2025-10-01,69
2025-10-02,64
2025-10-03,70
2025-10-04,50
2025-10-05,35
2025-10-06,60
2025-10-07,62
2025-10-08,63
2025-10-09,59
2025-10-10,71
2025-10-11,49
2025-10-12,38
2025-10-13,62
2025-10-14,60
2025-10-15,86
2025-10-16,62
2025-10-17,65
2025-10-18,51
2025-10-19,41
2025-10-20,60
2025-10-21,60
2025-10-22,64
2025-10-23,58
2025-10-24,59
2025-10-25,45
2025-10-26,36
2025-10-27,55
2025-10-28,58
2025-10-29,60
2025-10-30,71
2025-10-31,76
2025-11-01,72
2025-11-02,53
2025-11-03,77
2025-11-04,76
2025-11-05,79
2025-11-06,67
2025-11-07,76
2025-11-08,72
2025-11-09,53
2025-11-10,72
2025-11-11,78
2025-11-12,70
2025-11-13,74
2025-11-14,74
2025-11-15,64
2025-11-16,55
2025-11-17,62
2025-11-18,68
2025-11-19,71
2025-11-20,72
2025-11-21,66
2025-11-22,62
2025-11-23,48
2025-11-24,65
2025-11-25,84
2025-11-26,81
2025-11-27,60
2025-11-28,76
2025-11-29,65
2025-11-30,60
2025-12-01,93
2025-12-02,84
2025-12-03,79
2025-12-04,81
2025-12-05,74
2025-12-06,71
2025-12-07,59
2025-12-08,76
2025-12-09,81
2025-12-10,74
2025-12-11,70
2025-12-12,70
2025-12-13,63
2025-12-14,46
2025-12-15,69
2025-12-16,67
2025-12-17,73
2025-12-18,71
2025-12-19,74
2025-12-20,62
2025-12-21,48
2025-12-22,70
2025-12-23,71
2025-12-24,69
2025-12-25,51
2025-12-26,68
2025-12-27,59
2025-12-28,48
2025-12-29,68
2025-12-30,76
2025-12-31,75
2026-01-01,54
2026-01-02,74
2026-01-03,76
2026-01-04,63
2026-01-05,70
2026-01-06,73
2026-01-07,71
2026-01-08,65
2026-01-09,71
