Time,melania_trump
2022-01-01,13.0
2022-01-02,14.0
2022-01-03,12.0
2022-01-04,17.0
2022-01-05,17.0
2022-01-06,14.0
2022-01-07,15.0
2022-01-08,12.0
2022-01-09,11.0
2022-01-10,9.0
2022-01-11,6.0
2022-01-12,8.0
2022-01-13,12.0
2022-01-14,13.0
2022-01-15,10.0
2022-01-16,10.0
2022-01-17,8.0
2022-01-18,9.0
2022-01-19,8.0
2022-01-20,10.0
2022-01-21,11.0
2022-01-22,13.0
2022-01-23,13.0
2022-01-24,12.0
2022-01-25,10.0
2022-01-26,12.0
2022-01-27,10.0
2022-01-28,10.0
2022-01-29,15.0
2022-01-30,11.0
2022-01-31,9.0
2022-02-01,10.0
2022-02-02,9.0
2022-02-03,7.0
2022-02-04,8.0
2022-02-05,9.0
2022-02-06,8.0
2022-02-07,9.0
2022-02-08,8.0
2022-02-09,8.0
2022-02-10,8.0
2022-02-11,7.0
2022-02-12,15.0
2022-02-13,15.0
2022-02-14,12.0
2022-02-15,12.0
2022-02-16,11.0
2022-02-17,11.0
2022-02-18,15.0
2022-02-19,16.0
2022-02-20,12.0
2022-02-21,12.0
2022-02-22,11.0
2022-02-23,11.0
2022-02-24,26.0
2022-02-25,29.0
2022-02-26,34.0
2022-02-27,35.0
2022-02-28,26.0
2022-03-01,23.0
2022-03-02,27.0
2022-03-03,18.0
2022-03-04,19.0
2022-03-05,19.0
2022-03-06,20.0
2022-03-07,15.0
2022-03-08,15.0
2022-03-09,16.0
2022-03-10,14.0
2022-03-11,14.0
2022-03-12,15.0
2022-03-13,15.0
2022-03-14,12.0
2022-03-15,11.0
2022-03-16,12.0
2022-03-17,11.0
2022-03-18,11.0
2022-03-19,11.0
2022-03-20,14.0
2022-03-21,11.0
2022-03-22,10.0
2022-03-23,10.0
2022-03-24,11.0
2022-03-25,9.0
2022-03-26,10.0
2022-03-27,10.0
2022-03-28,8.0
2022-03-29,7.0
2022-03-30,7.0
2022-03-31,8.0
2022-04-01,9.0
2022-04-02,8.0
2022-04-03,7.0
2022-04-04,7.0
2022-04-05,7.0
2022-04-06,9.0
2022-04-07,8.0
2022-04-08,9.0
2022-04-09,11.0
2022-04-10,11.0
2022-04-11,8.0
2022-04-12,9.0
2022-04-13,7.0
2022-04-14,8.0
2022-04-15,7.0
2022-04-16,8.0
2022-04-17,8.0
2022-04-18,7.0
2022-04-19,6.0
2022-04-20,6.0
2022-04-21,6.0
2022-04-22,7.0
2022-04-23,9.0
2022-04-24,11.0
2022-04-25,9.0
2022-04-26,13.0
2022-04-27,12.0
2022-04-28,6.0
2022-04-29,7.0
2022-04-30,8.0
2022-05-01,8.0
2022-05-02,6.0
2022-05-03,7.0
2022-05-04,5.0
2022-05-05,6.0
2022-05-06,6.0
2022-05-07,12.0
2022-05-08,15.0
2022-05-09,8.0
2022-05-10,6.0
2022-05-11,6.0
2022-05-12,6.0
2022-05-13,11.0
2022-05-14,20.0
2022-05-15,43.0
2022-05-16,24.0
2022-05-17,14.0
2022-05-18,9.0
2022-05-19,7.0
2022-05-20,7.0
2022-05-21,7.0
2022-05-22,7.0
2022-05-23,6.0
2022-05-24,5.0
2022-05-25,5.0
2022-05-26,6.0
2022-05-27,5.0
2022-05-28,5.0
2022-05-29,7.0
2022-05-30,7.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,6.0
2022-06-05,6.0
2022-06-06,4.0
2022-06-07,5.0
2022-06-08,4.0
2022-06-09,5.0
2022-06-10,9.0
2022-06-11,7.0
2022-06-12,8.0
2022-06-13,8.0
2022-06-14,9.0
2022-06-15,8.0
2022-06-16,8.0
2022-06-17,8.0
2022-06-18,9.0
2022-06-19,9.0
2022-06-20,13.0
2022-06-21,9.0
2022-06-22,9.0
2022-06-23,7.0
2022-06-24,7.0
2022-06-25,8.0
2022-06-26,7.0
2022-06-27,5.0
2022-06-28,11.0
2022-06-29,25.0
2022-06-30,18.0
2022-07-01,11.0
2022-07-02,9.0
2022-07-03,11.0
2022-07-04,10.0
2022-07-05,7.0
2022-07-06,7.0
2022-07-07,7.0
2022-07-08,8.0
2022-07-09,8.0
2022-07-10,10.0
2022-07-11,7.0
2022-07-12,11.0
2022-07-13,9.0
2022-07-14,79.0
2022-07-15,100.0
2022-07-16,53.0
2022-07-17,30.0
2022-07-18,18.0
2022-07-19,17.0
2022-07-20,23.0
2022-07-21,38.0
2022-07-22,36.0
2022-07-23,26.0
2022-07-24,18.0
2022-07-25,13.0
2022-07-26,10.0
2022-07-27,9.0
2022-07-28,10.0
2022-07-29,12.0
2022-07-30,13.0
2022-07-31,14.0
2022-08-01,13.0
2022-08-02,11.0
2022-08-03,10.0
2022-08-04,8.0
2022-08-05,9.0
2022-08-06,9.0
2022-08-07,9.0
2022-08-08,9.0
2022-08-09,32.0
2022-08-10,28.0
2022-08-11,23.0
2022-08-12,37.0
2022-08-13,33.0
2022-08-14,30.0
2022-08-15,22.0
2022-08-16,20.0
2022-08-17,15.0
2022-08-18,12.0
2022-08-19,11.0
2022-08-20,13.0
2022-08-21,13.0
2022-08-22,10.0
2022-08-23,9.0
2022-08-24,7.0
2022-08-25,9.0
2022-08-26,12.0
2022-08-27,12.0
2022-08-28,11.0
2022-08-29,8.320474777448071
2022-08-30,26.501483679525222
2022-08-31,19.22106824925816
2022-09-01,11.940652818991097
2022-09-02,11.940652818991097
2022-09-03,12.980712166172108
2022-09-04,12.980712166172108
2022-09-05,11.440652818991097
2022-09-06,8.820474777448071
2022-09-07,14.020771513353115
2022-09-08,17.140949554896142
2022-09-09,12.980712166172108
2022-09-10,11.440652818991097
2022-09-11,9.86053412462908
2022-09-12,8.820474777448071
2022-09-13,8.320474777448071
2022-09-14,8.820474777448071
2022-09-15,10.400593471810089
2022-09-16,7.7804154302670625
2022-09-17,14.020771513353115
2022-09-18,9.36053412462908
2022-09-19,9.36053412462908
2022-09-20,7.7804154302670625
2022-09-21,16.100890207715132
2022-09-22,19.22106824925816
2022-09-23,11.940652818991097
2022-09-24,11.940652818991097
2022-09-25,9.86053412462908
2022-09-26,7.2804154302670625
2022-09-27,5.700296735905044
2022-09-28,5.4005934718100885
2022-09-29,7.560830860534125
2022-09-30,6.480712166172107
2022-10-01,7.560830860534125
2022-10-02,7.560830860534125
2022-10-03,6.480712166172107
2022-10-04,7.560830860534125
2022-10-05,7.560830860534125
2022-10-06,6.480712166172107
2022-10-07,5.4005934718100885
2022-10-08,7.560830860534125
2022-10-09,6.480712166172107
2022-10-10,6.480712166172107
2022-10-11,6.480712166172107
2022-10-12,5.4005934718100885
2022-10-13,7.560830860534125
2022-10-14,7.560830860534125
2022-10-15,8.640949554896142
2022-10-16,8.640949554896142
2022-10-17,7.560830860534125
2022-10-18,6.480712166172107
2022-10-19,5.4005934718100885
2022-10-20,6.480712166172107
2022-10-21,6.480712166172107
2022-10-22,7.560830860534125
2022-10-23,8.640949554896142
2022-10-24,6.480712166172107
2022-10-25,5.4005934718100885
2022-10-26,5.4005934718100885
2022-10-27,5.4005934718100885
2022-10-28,5.4005934718100885
2022-10-29,5.4005934718100885
2022-10-30,5.4005934718100885
2022-10-31,5.4005934718100885
2022-11-01,5.4005934718100885
2022-11-02,5.4005934718100885
2022-11-03,5.4005934718100885
2022-11-04,5.4005934718100885
2022-11-05,6.480712166172107
2022-11-06,8.640949554896142
2022-11-07,5.4005934718100885
2022-11-08,9.72106824925816
2022-11-09,14.041543026706231
2022-11-10,25.922848664688427
2022-11-11,19.44213649851632
2022-11-12,24.84272997032641
2022-11-13,32.403560830860535
2022-11-14,25.922848664688427
2022-11-15,20.522255192878337
2022-11-16,55.08605341246291
2022-11-17,21.602373887240354
2022-11-18,14.041543026706231
2022-11-19,12.961424332344214
2022-11-20,12.961424332344214
2022-11-21,9.72106824925816
2022-11-22,8.640949554896142
2022-11-23,8.640949554896142
2022-11-24,9.72106824925816
2022-11-25,8.640949554896142
2022-11-26,7.560830860534125
2022-11-27,8.640949554896142
2022-11-28,9.72106824925816
2022-11-29,8.640949554896142
2022-11-30,6.480712166172107
2022-12-01,6.480712166172107
2022-12-02,6.480712166172107
2022-12-03,6.480712166172107
2022-12-04,8.640949554896142
2022-12-05,7.560830860534125
2022-12-06,7.560830860534125
2022-12-07,7.560830860534125
2022-12-08,6.480712166172107
2022-12-09,6.480712166172107
2022-12-10,5.4005934718100885
2022-12-11,8.640949554896142
2022-12-12,6.480712166172107
2022-12-13,7.560830860534125
2022-12-14,5.4005934718100885
2022-12-15,7.560830860534125
2022-12-16,15.12166172106825
2022-12-17,9.72106824925816
2022-12-18,9.72106824925816
2022-12-19,8.640949554896142
2022-12-20,8.640949554896142
2022-12-21,8.640949554896142
2022-12-22,8.640949554896142
2022-12-23,7.560830860534125
2022-12-24,9.72106824925816
2022-12-25,9.72106824925816
2022-12-26,9.72106824925816
2022-12-27,8.640949554896142
2022-12-28,6.480712166172107
2022-12-29,5.4005934718100885
2022-12-30,14.041543026706231
2022-12-31,10.801186943620177
2023-01-01,9.72106824925816
2023-01-02,11.881305637982196
2023-01-03,6.480712166172107
2023-01-04,6.480712166172107
2023-01-05,5.4005934718100885
2023-01-06,4.320474777448071
2023-01-07,4.320474777448071
2023-01-08,6.480712166172107
2023-01-09,5.4005934718100885
2023-01-10,4.320474777448071
2023-01-11,5.4005934718100885
2023-01-12,4.320474777448071
2023-01-13,5.4005934718100885
2023-01-14,4.320474777448071
2023-01-15,5.4005934718100885
2023-01-16,5.4005934718100885
2023-01-17,4.320474777448071
2023-01-18,4.320474777448071
2023-01-19,5.4005934718100885
2023-01-20,5.4005934718100885
2023-01-21,4.320474777448071
2023-01-22,8.640949554896142
2023-01-23,4.320474777448071
2023-01-24,4.320474777448071
2023-01-25,3.2403560830860534
2023-01-26,4.320474777448071
2023-01-27,4.320474777448071
2023-01-28,5.4005934718100885
2023-01-29,5.4005934718100885
2023-01-30,6.480712166172107
2023-01-31,5.4005934718100885
2023-02-01,5.4005934718100885
2023-02-02,5.4005934718100885
2023-02-03,3.2403560830860534
2023-02-04,5.4005934718100885
2023-02-05,6.480712166172107
2023-02-06,6.480712166172107
2023-02-07,6.480712166172107
2023-02-08,6.480712166172107
2023-02-09,6.480712166172107
2023-02-10,5.4005934718100885
2023-02-11,6.480712166172107
2023-02-12,6.480712166172107
2023-02-13,4.320474777448071
2023-02-14,4.320474777448071
2023-02-15,5.4005934718100885
2023-02-16,4.320474777448071
2023-02-17,5.4005934718100885
2023-02-18,4.320474777448071
2023-02-19,5.4005934718100885
2023-02-20,6.480712166172107
2023-02-21,4.320474777448071
2023-02-22,5.4005934718100885
2023-02-23,5.4005934718100885
2023-02-24,5.4005934718100885
2023-02-25,6.480712166172107
2023-02-26,6.480712166172107
2023-02-27,4.320474777448071
2023-02-28,4.320474777448071
2023-03-01,4.320474777448071
2023-03-02,4.320474777448071
2023-03-03,5.4005934718100885
2023-03-04,5.4005934718100885
2023-03-05,7.560830860534125
2023-03-06,4.320474777448071
2023-03-07,6.480712166172107
2023-03-08,3.2403560830860534
2023-03-09,5.4005934718100885
2023-03-10,7.560830860534125
2023-03-11,6.480712166172107
2023-03-12,7.560830860534125
2023-03-13,6.480712166172107
2023-03-14,5.4005934718100885
2023-03-15,6.480712166172107
2023-03-16,6.480712166172107
2023-03-17,6.480712166172107
2023-03-18,17.281899109792285
2023-03-19,18.362017804154302
2023-03-20,22.682492581602375
2023-03-21,27.002967359050444
2023-03-22,20.522255192878337
2023-03-23,16.201780415430267
2023-03-24,15.12166172106825
2023-03-25,11.881305637982196
2023-03-26,10.801186943620177
2023-03-27,9.72106824925816
2023-03-28,11.881305637982196
2023-03-29,11.881305637982196
2023-03-30,21.602373887240354
2023-03-31,50.76557863501483
2023-04-01,31.323442136498517
2023-04-02,22.682492581602375
2023-04-03,30.2433234421365
2023-04-04,74.52818991097922
2023-04-05,108.01186943620178
2023-04-06,62.646884272997035
2023-04-07,41.04451038575667
2023-04-08,30.2433234421365
2023-04-09,28.083086053412462
2023-04-10,29.16320474777448
2023-04-11,24.84272997032641
2023-04-12,22.682492581602375
2023-04-13,18.362017804154302
2023-04-14,12.961424332344214
2023-04-15,15.12166172106825
2023-04-16,15.12166172106825
2023-04-17,11.881305637982196
2023-04-18,12.961424332344214
2023-04-19,10.801186943620177
2023-04-20,9.72106824925816
2023-04-21,9.72106824925816
2023-04-22,9.72106824925816
2023-04-23,10.801186943620177
2023-04-24,7.560830860534125
2023-04-25,8.640949554896142
2023-04-26,16.417804154302672
2023-04-27,18.2540059347181
2023-04-28,13.825519287833828
2023-04-29,12.529376854599407
2023-04-30,9.397032640949554
2023-05-01,8.100890207715134
2023-05-02,8.856973293768547
2023-05-03,8.100890207715134
2023-05-04,7.560830860534125
2023-05-05,7.560830860534125
2023-05-06,10.693175074183976
2023-05-07,7.560830860534125
2023-05-08,8.856973293768547
2023-05-09,15.66172106824926
2023-05-10,20.846290801186946
2023-05-11,11.989317507418399
2023-05-12,10.693175074183976
2023-05-13,9.397032640949554
2023-05-14,10.693175074183976
2023-05-15,9.397032640949554
2023-05-16,7.560830860534125
2023-05-17,7.560830860534125
2023-05-18,7.020771513353116
2023-05-19,5.724629080118694
2023-05-20,8.856973293768547
2023-05-21,7.560830860534125
2023-05-22,7.020771513353116
2023-05-23,7.560830860534125
2023-05-24,6.264688427299704
2023-05-25,7.560830860534125
2023-05-26,6.0486646884273005
2023-05-27,9.07299703264095
2023-05-28,7.560830860534126
2023-05-29,7.560830860534126
2023-05-30,6.0486646884273005
2023-05-31,7.560830860534126
2023-06-01,7.560830860534126
2023-06-02,7.560830860534126
2023-06-03,7.560830860534126
2023-06-04,9.07299703264095
2023-06-05,6.0486646884273005
