Time,how many seconds in a day
2023-12-22,18
2023-12-23,22
2023-12-24,19
2023-12-25,35
2023-12-26,56
2023-12-27,38
2023-12-28,25
2023-12-29,19
2023-12-30,13
2023-12-31,16
2024-01-01,62
2024-01-02,19
2024-01-03,25
2024-01-04,21
2024-01-05,23
2024-01-06,22
2024-01-07,26
2024-01-08,21
2024-01-09,15
2024-01-10,18
2024-01-11,16
2024-01-12,14
2024-01-13,10
2024-01-14,93
2024-01-15,100
2024-01-16,64
2024-01-17,40
2024-01-18,31
2024-01-19,19
2024-01-20,17
2024-01-21,19
2024-01-22,18
2024-01-23,44
2024-01-24,53
2024-01-25,32
2024-01-26,64
2024-01-27,24
2024-01-28,29
2024-01-29,21
2024-01-30,14
2024-01-31,26
2024-02-01,21
2024-02-02,13
2024-02-03,14
2024-02-04,17
2024-02-05,50
2024-02-06,62
2024-02-07,47
2024-02-08,28
2024-02-09,22
2024-02-10,18
2024-02-11,18
2024-02-12,17
2024-02-13,16
2024-02-14,15
2024-02-15,14
2024-02-16,14
2024-02-17,9
2024-02-18,14
2024-02-19,11
2024-02-20,17
2024-02-21,14
2024-02-22,57
2024-02-23,67
2024-02-24,35
2024-02-25,25
2024-02-26,23
2024-02-27,20
2024-02-28,25
2024-02-29,34
2024-03-01,27
2024-03-02,28
2024-03-03,22
2024-03-04,22
2024-03-05,83
2024-03-06,36
2024-03-07,15
2024-03-08,17
2024-03-09,36
2024-03-10,16
2024-03-11,14
2024-03-12,13
2024-03-13,13
2024-03-14,17
2024-03-15,12
2024-03-16,14
2024-03-17,19
2024-03-18,18
2024-03-19,17
2024-03-20,20
2024-03-21,13
2024-03-22,12
2024-03-23,12
2024-03-24,11
2024-03-25,15
2024-03-26,12
2024-03-27,12
2024-03-28,14
2024-03-29,12
2024-03-30,12
2024-03-31,11
2024-04-01,15
2024-04-02,11
2024-04-03,13
2024-04-04,12
2024-04-05,13
2024-04-06,13
2024-04-07,11
2024-04-08,13
2024-04-09,13
2024-04-10,17
2024-04-11,12
2024-04-12,15
2024-04-13,10
2024-04-14,11
2024-04-15,15
2024-04-16,14
2024-04-17,14
2024-04-18,13
2024-04-19,15
2024-04-20,10
2024-04-21,11
2024-04-22,12
2024-04-23,12
2024-04-24,15
2024-04-25,14
2024-04-26,15
2024-04-27,12
2024-04-28,15
2024-04-29,14
2024-04-30,13
2024-05-01,17
2024-05-02,15
2024-05-03,13
2024-05-04,15
2024-05-05,16
2024-05-06,15
2024-05-07,15
2024-05-08,16
2024-05-09,14
2024-05-10,21
2024-05-11,19
2024-05-12,14
2024-05-13,15
2024-05-14,25
2024-05-15,22
2024-05-16,21
2024-05-17,18
2024-05-18,18
2024-05-19,18
2024-05-20,20
2024-05-21,17
2024-05-22,21
2024-05-23,19
2024-05-24,32
2024-05-25,17
2024-05-26,33
2024-05-27,22
2024-05-28,17
2024-05-29,17
2024-05-30,16
2024-05-31,11
2024-06-01,10
2024-06-02,14
2024-06-03,13
2024-06-04,10
2024-06-05,12
2024-06-06,10
2024-06-07,8
2024-06-08,17
2024-06-09,23
2024-06-10,26
2024-06-11,21
2024-06-12,25
2024-06-13,14
2024-06-14,15
2024-06-15,13
2024-06-16,25
2024-06-17,18
2024-06-18,12
2024-06-19,19
2024-06-20,30
2024-06-21,21
2024-06-22,15
2024-06-23,26
2024-06-24,14
2024-06-25,15
2024-06-26,20
2024-06-27,13
2024-06-28,10
2024-06-29,12
2024-06-30,9
2024-07-01,9
2024-07-02,11
2024-07-03,8
2024-07-04,11
2024-07-05,10
2024-07-06,11
2024-07-07,23
2024-07-08,14
2024-07-09,13
2024-07-10,15
2024-07-11,13
2024-07-12,11
2024-07-13,19
2024-07-14,21
2024-07-15,15
2024-07-16,11
2024-07-17,11
2024-07-18,53
2024-07-19,19
2024-07-20,15
2024-07-21,14
2024-07-22,18
2024-07-23,16
2024-07-24,14
2024-07-25,18
2024-07-26,17
2024-07-27,17
2024-07-28,17
2024-07-29,32
2024-07-30,26
2024-07-31,15
2024-08-01,21
2024-08-02,24
2024-08-03,12
2024-08-04,14
2024-08-05,13
2024-08-06,12
2024-08-07,15
2024-08-08,11
2024-08-09,24
2024-08-10,13
2024-08-11,13
2024-08-12,9
2024-08-13,8
2024-08-14,9
2024-08-15,9
2024-08-16,13
2024-08-17,13
2024-08-18,13
2024-08-19,11
2024-08-20,14
2024-08-21,17
2024-08-22,21
2024-08-23,17
2024-08-24,14
2024-08-25,14
2024-08-26,20
2024-08-27,20
2024-08-28,20
2024-08-29,12
2024-08-30,16
2024-08-31,10
2024-09-01,19
2024-09-02,13
2024-09-03,12
2024-09-04,17
2024-09-05,15
2024-09-06,14
2024-09-07,10
2024-09-08,12
2024-09-09,12
2024-09-10,10
2024-09-11,14
2024-09-12,11
2024-09-13,10
2024-09-14,10
2024-09-15,11
2024-09-16,12
