Time,liv golf
2022-08-29,31
2022-08-30,36
2022-08-31,30
2022-09-01,33
2022-09-02,61
2022-09-03,69
2022-09-04,100
2022-09-05,52
2022-09-06,17
2022-09-07,12
2022-09-08,11
2022-09-09,8
2022-09-10,9
2022-09-11,11
2022-09-12,9
2022-09-13,10
2022-09-14,12
2022-09-15,14
2022-09-16,28
2022-09-17,43
2022-09-18,50
2022-09-19,29
2022-09-20,10
2022-09-21,9
2022-09-22,9
2022-09-23,7
2022-09-24,7
2022-09-25,6
2022-09-26,5
2022-09-27,6
2022-09-28,6
2022-09-29,5
2022-09-30,5
2022-10-01,5
2022-10-02,4
2022-10-03,4
2022-10-04,4
2022-10-05,7
2022-10-06,9
2022-10-07,14
2022-10-08,18
2022-10-09,22
2022-10-10,10
2022-10-11,5
2022-10-12,5
2022-10-13,8
2022-10-14,13
2022-10-15,14
2022-10-16,21
2022-10-17,8
2022-10-18,5
2022-10-19,5
2022-10-20,4
2022-10-21,5
2022-10-22,5
2022-10-23,5
2022-10-24,4
2022-10-25,4
2022-10-26,6
2022-10-27,8
2022-10-28,18
2022-10-29,21
2022-10-30,26
2022-10-31,13
2022-11-01,6
2022-11-02,4
2022-11-03,4
2022-11-04,3
2022-11-05,3
2022-11-06,3
2022-11-07,3
2022-11-08,3
2022-11-09,2
2022-11-10,2
2022-11-11,3
2022-11-12,3
2022-11-13,2
2022-11-14,2
2022-11-15,3
2022-11-16,2
2022-11-17,3
2022-11-18,3
2022-11-19,2
2022-11-20,2
2022-11-21,2
2022-11-22,2
2022-11-23,2
2022-11-24,2
2022-11-25,2
2022-11-26,2
2022-11-27,2
2022-11-28,2
2022-11-29,3
2022-11-30,4
2022-12-01,2
2022-12-02,2
2022-12-03,2
2022-12-04,2
2022-12-05,2
2022-12-06,2
2022-12-07,2
2022-12-08,2
2022-12-09,2
2022-12-10,2
2022-12-11,2
2022-12-12,2
2022-12-13,2
2022-12-14,4
2022-12-15,3
2022-12-16,3
2022-12-17,4
2022-12-18,2
2022-12-19,2
2022-12-20,5
2022-12-21,5
2022-12-22,2
2022-12-23,2
2022-12-24,2
2022-12-25,2
2022-12-26,2
2022-12-27,2
2022-12-28,2
2022-12-29,2
2022-12-30,2
2022-12-31,2
2023-01-01,1
2023-01-02,2
2023-01-03,2
2023-01-04,2
2023-01-05,3
2023-01-06,3
2023-01-07,3
2023-01-08,3
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,3
2023-01-14,4
2023-01-15,3
2023-01-16,3
2023-01-17,3
2023-01-18,5
2023-01-19,7
2023-01-20,5
2023-01-21,5
2023-01-22,6
2023-01-23,5
2023-01-24,5
2023-01-25,5
2023-01-26,5
2023-01-27,5
2023-01-28,6
2023-01-29,5
2023-01-30,6
2023-01-31,5
2023-02-01,4
2023-02-02,5
2023-02-03,6
2023-02-04,6
2023-02-05,8
2023-02-06,6
2023-02-07,5
2023-02-08,4
2023-02-09,4
2023-02-10,5
2023-02-11,7
2023-02-12,8
2023-02-13,4
2023-02-14,4
2023-02-15,8
2023-02-16,18
2023-02-17,23
2023-02-18,29
2023-02-19,34
2023-02-20,27
2023-02-21,25
2023-02-22,21
2023-02-23,26
2023-02-24,55
2023-02-25,81
2023-02-26,84
2023-02-27,38
2023-02-28,14
2023-03-01,11
2023-03-02,11
2023-03-03,9
2023-03-04,11
2023-03-05,11
2023-03-06,9
2023-03-07,8
2023-03-08,8
2023-03-09,8
2023-03-10,9
2023-03-11,13
2023-03-12,15
2023-03-13,8
2023-03-14,7
2023-03-15,8
2023-03-16,9
2023-03-17,20
2023-03-18,40
2023-03-19,62
2023-03-20,28
2023-03-21,10
2023-03-22,7
2023-03-23,7
2023-03-24,6
2023-03-25,7
2023-03-26,8
2023-03-27,6
2023-03-28,6
2023-03-29,8
2023-03-30,8
2023-03-31,19
2023-04-01,33
2023-04-02,51
2023-04-03,21
2023-04-04,15
2023-04-05,15
2023-04-06,26
2023-04-07,22
2023-04-08,23
2023-04-09,82
2023-04-10,35
2023-04-11,10
2023-04-12,6
2023-04-13,6
2023-04-14,5
2023-04-15,6
2023-04-16,8
2023-04-17,6
2023-04-18,5
2023-04-19,4
2023-04-20,6
2023-04-21,15
2023-04-22,31
2023-04-23,48
2023-04-24,14
2023-04-25,6
2023-04-26,6
2023-04-27,6
2023-04-28,12
2023-04-29,23
2023-04-30,40
2023-05-01,10
2023-05-02,4
2023-05-03,4
2023-05-04,4
2023-05-05,6
2023-05-06,7
2023-05-07,6
2023-05-08,5
2023-05-09,6
2023-05-10,5
2023-05-11,7
2023-05-12,15
2023-05-13,29
2023-05-14,46
2023-05-15,27
2023-05-16,9
2023-05-17,7
2023-05-18,9
2023-05-19,8
2023-05-20,11
2023-05-21,23
2023-05-22,17
2023-05-23,9
2023-05-24,8
2023-05-25,9
