Time,liga mx
2022-08-29,27
2022-08-30,7
2022-08-31,6
2022-09-01,6
2022-09-02,14
2022-09-03,34
2022-09-04,52
2022-09-05,18
2022-09-06,11
2022-09-07,32
2022-09-08,35
2022-09-09,11
2022-09-10,32
2022-09-11,64
2022-09-12,24
2022-09-13,11
2022-09-14,25
2022-09-15,30
2022-09-16,19
2022-09-17,40
2022-09-18,52
2022-09-19,28
2022-09-20,8
2022-09-21,7
2022-09-22,7
2022-09-23,7
2022-09-24,19
2022-09-25,10
2022-09-26,5
2022-09-27,4
2022-09-28,3
2022-09-29,4
2022-09-30,9
2022-10-01,37
2022-10-02,52
2022-10-03,27
2022-10-04,8
2022-10-05,6
2022-10-06,6
2022-10-07,7
2022-10-08,18
2022-10-09,74
2022-10-10,17
2022-10-11,9
2022-10-12,14
2022-10-13,39
2022-10-14,33
2022-10-15,21
2022-10-16,59
2022-10-17,47
2022-10-18,9
2022-10-19,13
2022-10-20,32
2022-10-21,30
2022-10-22,17
2022-10-23,48
2022-10-24,30
2022-10-25,6
2022-10-26,6
2022-10-27,10
2022-10-28,24
2022-10-29,7
2022-10-30,15
2022-10-31,28
2022-11-01,4
2022-11-02,2
2022-11-03,2
2022-11-04,2
2022-11-05,4
2022-11-06,2
2022-11-07,2
2022-11-08,5
2022-11-09,2
2022-11-10,2
2022-11-11,2
2022-11-12,4
2022-11-13,2
2022-11-14,2
2022-11-15,4
2022-11-16,1
2022-11-17,1
2022-11-18,1
2022-11-19,1
2022-11-20,1
2022-11-21,1
2022-11-22,1
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-26,1
2022-11-27,1
2022-11-28,1
2022-11-29,1
2022-11-30,1
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,1
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-10,1
2022-12-11,1
2022-12-12,1
2022-12-13,3
2022-12-14,2
2022-12-15,1
2022-12-16,2
2022-12-17,2
2022-12-18,2
2022-12-19,1
2022-12-20,3
2022-12-21,2
2022-12-22,1
2022-12-23,2
2022-12-24,2
2022-12-25,2
2022-12-26,2
2022-12-27,2
2022-12-28,3
2022-12-29,1
2022-12-30,1
2022-12-31,2
2023-01-01,1
2023-01-02,2
2023-01-03,2
2023-01-04,2
2023-01-05,2
2023-01-06,5
2023-01-07,16
2023-01-08,33
2023-01-09,16
2023-01-10,9
2023-01-11,4
2023-01-12,4
2023-01-13,9
2023-01-14,21
2023-01-15,29
2023-01-16,15
2023-01-17,9
2023-01-18,4
2023-01-19,4
2023-01-20,6
2023-01-21,21
2023-01-22,37
2023-01-23,12
2023-01-24,5
2023-01-25,4
2023-01-26,4
2023-01-27,10
2023-01-28,21
2023-01-29,40
2023-01-30,12
2023-01-31,6
2023-02-01,5
2023-02-02,9
2023-02-03,11
2023-02-04,21
2023-02-05,48
2023-02-06,17
2023-02-07,5
2023-02-08,4
2023-02-09,5
2023-02-10,14
2023-02-11,28
2023-02-12,43
2023-02-13,8
2023-02-14,6
2023-02-15,25
2023-02-16,24
2023-02-17,15
2023-02-18,27
2023-02-19,45
2023-02-20,30
2023-02-21,6
2023-02-22,6
2023-02-23,14
2023-02-24,13
2023-02-25,29
2023-02-26,59
2023-02-27,21
2023-02-28,13
2023-03-01,6
2023-03-02,6
2023-03-03,7
2023-03-04,33
2023-03-05,57
2023-03-06,15
2023-03-07,6
2023-03-08,5
2023-03-09,5
2023-03-10,8
2023-03-11,32
2023-03-12,53
2023-03-13,24
2023-03-14,6
2023-03-15,5
2023-03-16,5
2023-03-17,8
2023-03-18,33
2023-03-19,64
2023-03-20,17
2023-03-21,5
2023-03-22,4
2023-03-23,4
2023-03-24,5
2023-03-25,13
2023-03-26,10
2023-03-27,4
2023-03-28,3
2023-03-29,4
2023-03-30,9
2023-03-31,7
2023-04-01,26
2023-04-02,57
2023-04-03,16
2023-04-04,5
2023-04-05,4
2023-04-06,4
2023-04-07,8
2023-04-08,33
2023-04-09,71
2023-04-10,22
2023-04-11,5
2023-04-12,4
2023-04-13,5
2023-04-14,12
2023-04-15,29
2023-04-16,73
2023-04-17,26
2023-04-18,6
2023-04-19,5
2023-04-20,6
2023-04-21,15
2023-04-22,41
2023-04-23,81
2023-04-24,22
2023-04-25,7
2023-04-26,7
2023-04-27,6
2023-04-28,10
2023-04-29,47
2023-04-30,86
2023-05-01,31
2023-05-02,10
2023-05-03,7
2023-05-04,9
2023-05-05,8
2023-05-06,19
2023-05-07,58
2023-05-08,47
2023-05-09,11
2023-05-10,14
2023-05-11,44
2023-05-12,38
2023-05-13,23
2023-05-14,100
2023-05-15,52
2023-05-16,12
2023-05-17,14
2023-05-18,40
2023-05-19,37
2023-05-20,18
2023-05-21,59
2023-05-22,53
2023-05-23,11
2023-05-24,9
2023-05-25,13
