Time,liga mx
2022-01-01,2
2022-01-02,2
2022-01-03,2
2022-01-04,3
2022-01-05,3
2022-01-06,3
2022-01-07,12
2022-01-08,26
2022-01-09,29
2022-01-10,19
2022-01-11,15
2022-01-12,8
2022-01-13,12
2022-01-14,7
2022-01-15,30
2022-01-16,36
2022-01-17,16
2022-01-18,6
2022-01-19,6
2022-01-20,11
2022-01-21,12
2022-01-22,26
2022-01-23,51
2022-01-24,18
2022-01-25,5
2022-01-26,3
2022-01-27,3
2022-01-28,4
2022-01-29,12
2022-01-30,8
2022-01-31,4
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,6
2022-02-05,17
2022-02-06,48
2022-02-07,25
2022-02-08,15
2022-02-09,8
2022-02-10,16
2022-02-11,10
2022-02-12,30
2022-02-13,49
2022-02-14,11
2022-02-15,10
2022-02-16,6
2022-02-17,16
2022-02-18,7
2022-02-19,31
2022-02-20,48
2022-02-21,32
2022-02-22,7
2022-02-23,6
2022-02-24,7
2022-02-25,16
2022-02-26,31
2022-02-27,53
2022-02-28,23
2022-03-01,10
2022-03-02,37
2022-03-03,39
2022-03-04,12
2022-03-05,29
2022-03-06,67
2022-03-07,13
2022-03-08,8
2022-03-09,8
2022-03-10,7
2022-03-11,8
2022-03-12,35
2022-03-13,58
2022-03-14,20
2022-03-15,7
2022-03-16,10
2022-03-17,8
2022-03-18,13
2022-03-19,28
2022-03-20,52
2022-03-21,38
2022-03-22,7
2022-03-23,4
2022-03-24,6
2022-03-25,3
2022-03-26,7
2022-03-27,12
2022-03-28,3
2022-03-29,3
2022-03-30,3
2022-03-31,3
2022-04-01,5
2022-04-02,18
2022-04-03,50
2022-04-04,19
2022-04-05,6
2022-04-06,7
2022-04-07,12
2022-04-08,17
2022-04-09,30
2022-04-10,47
2022-04-11,18
2022-04-12,12
2022-04-13,8
2022-04-14,15
2022-04-15,14
2022-04-16,42
2022-04-17,58
2022-04-18,14
2022-04-19,11
2022-04-20,41
2022-04-21,41
2022-04-22,24
2022-04-23,40
2022-04-24,89
2022-04-25,35
2022-04-26,9
2022-04-27,6
2022-04-28,7
2022-04-29,10
2022-04-30,56
2022-05-01,100
2022-05-02,42
2022-05-03,10
2022-05-04,7
2022-05-05,8
2022-05-06,9
2022-05-07,21
2022-05-08,73
2022-05-09,45
2022-05-10,13
2022-05-11,16
2022-05-12,49
2022-05-13,43
2022-05-14,29
2022-05-15,77
2022-05-16,50
2022-05-17,13
2022-05-18,15
2022-05-19,40
2022-05-20,33
2022-05-21,23
2022-05-22,61
2022-05-23,36
2022-05-24,10
2022-05-25,7
2022-05-26,12
2022-05-27,27
2022-05-28,7
2022-05-29,19
2022-05-30,43
2022-05-31,4
2022-06-01,3
2022-06-02,2
2022-06-03,3
2022-06-04,2
2022-06-05,2
2022-06-06,2
2022-06-07,2
2022-06-08,2
2022-06-09,2
2022-06-10,2
2022-06-11,2
2022-06-12,2
2022-06-13,1
2022-06-14,2
2022-06-15,2
2022-06-16,2
2022-06-17,2
2022-06-18,3
2022-06-19,3
2022-06-20,2
2022-06-21,2
2022-06-22,2
2022-06-23,2
2022-06-24,2
2022-06-25,3
2022-06-26,4
2022-06-27,4
2022-06-28,2
2022-06-29,3
2022-06-30,3
2022-07-01,6
2022-07-02,31
2022-07-03,44
2022-07-04,19
2022-07-05,10
2022-07-06,4
2022-07-07,4
2022-07-08,8
2022-07-09,33
2022-07-10,58
2022-07-11,13
2022-07-12,6
2022-07-13,7
2022-07-14,22
2022-07-15,10
2022-07-16,28
2022-07-17,42
2022-07-18,17
2022-07-19,11
2022-07-20,8
2022-07-21,16
2022-07-22,15
2022-07-23,26
2022-07-24,45
2022-07-25,17
2022-07-26,11
2022-07-27,26
2022-07-28,24
2022-07-29,11
2022-07-30,25
2022-07-31,58
2022-08-01,28
2022-08-02,9
2022-08-03,13
2022-08-04,11
2022-08-05,17
2022-08-06,34
2022-08-07,51
2022-08-08,26
2022-08-09,10
2022-08-10,15
2022-08-11,22
2022-08-12,15
2022-08-13,35
2022-08-14,58
2022-08-15,22
2022-08-16,12
2022-08-17,24
2022-08-18,41
2022-08-19,25
2022-08-20,42
2022-08-21,80
2022-08-22,22
2022-08-23,15
2022-08-24,46
2022-08-25,26
2022-08-26,25
2022-08-27,58
2022-08-28,69
2022-08-29,37
2022-08-30,10
2022-08-31,9
2022-09-01,9
2022-09-02,19
2022-09-03,45
2022-09-04,70
2022-09-05,25
2022-09-06,14
2022-09-07,44
2022-09-08,47
2022-09-09,15
2022-09-10,43
2022-09-11,86
2022-09-12,32
2022-09-13,15
2022-09-14,33
2022-09-15,40
2022-09-16,26
2022-09-17,54
2022-09-18,70
2022-09-19,38
2022-09-20,11
2022-09-21,9
2022-09-22,9
2022-09-23,9
2022-09-24,26
2022-09-25,13
2022-09-26,6
2022-09-27,5
