Time,presidential election
2022-01-01,7
2022-01-02,8
2022-01-03,9
2022-01-04,11
2022-01-05,10
2022-01-06,12
2022-01-07,11
2022-01-08,8
2022-01-09,7
2022-01-10,10
2022-01-11,11
2022-01-12,12
2022-01-13,16
2022-01-14,10
2022-01-15,8
2022-01-16,8
2022-01-17,9
2022-01-18,10
2022-01-19,10
2022-01-20,12
2022-01-21,12
2022-01-22,8
2022-01-23,8
2022-01-24,14
2022-01-25,10
2022-01-26,11
2022-01-27,10
2022-01-28,10
2022-01-29,10
2022-01-30,9
2022-01-31,10
2022-02-01,11
2022-02-02,9
2022-02-03,10
2022-02-04,9
2022-02-05,9
2022-02-06,8
2022-02-07,11
2022-02-08,13
2022-02-09,12
2022-02-10,9
2022-02-11,11
2022-02-12,8
2022-02-13,8
2022-02-14,11
2022-02-15,14
2022-02-16,13
2022-02-17,11
2022-02-18,13
2022-02-19,9
2022-02-20,10
2022-02-21,11
2022-02-22,14
2022-02-23,12
2022-02-24,15
2022-02-25,14
2022-02-26,14
2022-02-27,13
2022-02-28,15
2022-03-01,14
2022-03-02,16
2022-03-03,12
2022-03-04,11
2022-03-05,10
2022-03-06,10
2022-03-07,14
2022-03-08,15
2022-03-09,30
2022-03-10,23
2022-03-11,16
2022-03-12,12
2022-03-13,12
2022-03-14,13
2022-03-15,11
2022-03-16,12
2022-03-17,11
2022-03-18,11
2022-03-19,9
2022-03-20,10
2022-03-21,11
2022-03-22,13
2022-03-23,12
2022-03-24,12
2022-03-25,16
2022-03-26,10
2022-03-27,11
2022-03-28,16
2022-03-29,16
2022-03-30,14
2022-03-31,18
2022-04-01,16
2022-04-02,11
2022-04-03,12
2022-04-04,19
2022-04-05,18
2022-04-06,17
2022-04-07,17
2022-04-08,22
2022-04-09,16
2022-04-10,53
2022-04-11,45
2022-04-12,21
2022-04-13,19
2022-04-14,19
2022-04-15,15
2022-04-16,13
2022-04-17,14
2022-04-18,20
2022-04-19,20
2022-04-20,23
2022-04-21,24
2022-04-22,23
2022-04-23,19
2022-04-24,100
2022-04-25,51
2022-04-26,23
2022-04-27,20
2022-04-28,20
2022-04-29,17
2022-04-30,11
2022-05-01,13
2022-05-02,20
2022-05-03,20
2022-05-04,21
2022-05-05,19
2022-05-06,17
2022-05-07,14
2022-05-08,15
2022-05-09,52
2022-05-10,35
2022-05-11,27
2022-05-12,18
2022-05-13,17
2022-05-14,11
2022-05-15,11
2022-05-16,17
2022-05-17,17
2022-05-18,18
2022-05-19,17
2022-05-20,14
2022-05-21,11
2022-05-22,11
2022-05-23,16
2022-05-24,16
2022-05-25,15
2022-05-26,12
2022-05-27,10
2022-05-28,9
2022-05-29,15
2022-05-30,14
2022-05-31,13
2022-06-01,14
2022-06-02,12
2022-06-03,11
2022-06-04,9
2022-06-05,10
2022-06-06,13
2022-06-07,15
2022-06-08,15
2022-06-09,13
2022-06-10,14
2022-06-11,12
2022-06-12,11
2022-06-13,16
2022-06-14,14
2022-06-15,14
2022-06-16,16
2022-06-17,13
2022-06-18,12
2022-06-19,19
2022-06-20,20
2022-06-21,17
2022-06-22,14
2022-06-23,13
2022-06-24,17
2022-06-25,16
2022-06-26,14
2022-06-27,13
2022-06-28,13
2022-06-29,14
2022-06-30,12
2022-07-01,11
2022-07-02,11
2022-07-03,11
2022-07-04,11
2022-07-05,11
2022-07-06,10
2022-07-07,12
2022-07-08,12
2022-07-09,11
2022-07-10,12
2022-07-11,13
2022-07-12,13
2022-07-13,12
2022-07-14,11
2022-07-15,14
2022-07-16,11
2022-07-17,11
2022-07-18,12
2022-07-19,10
2022-07-20,10
2022-07-21,14
2022-07-22,13
2022-07-23,10
2022-07-24,11
2022-07-25,12
2022-07-26,10
2022-07-27,10
2022-07-28,11
2022-07-29,9
2022-07-30,8
2022-07-31,9
2022-08-01,9
2022-08-02,10
2022-08-03,13
2022-08-04,10
2022-08-05,9
2022-08-06,9
2022-08-07,10
2022-08-08,9
2022-08-09,15
2022-08-10,14
2022-08-11,13
2022-08-12,13
2022-08-13,11
2022-08-14,12
2022-08-15,13
2022-08-16,12
2022-08-17,15
2022-08-18,10
2022-08-19,9
2022-08-20,9
2022-08-21,11
2022-08-22,9
2022-08-23,11
2022-08-24,11
2022-08-25,11
2022-08-26,10
2022-08-27,9
2022-08-28,9
2022-08-29,9
2022-08-30,11
2022-08-31,11
2022-09-01,11
2022-09-02,10
2022-09-03,8
2022-09-04,12
2022-09-05,11
2022-09-06,11
2022-09-07,13
2022-09-08,12
2022-09-09,10
2022-09-10,7
2022-09-11,8
2022-09-12,11
2022-09-13,11
2022-09-14,12
2022-09-15,13
2022-09-16,12
2022-09-17,10
2022-09-18,10
2022-09-19,14
2022-09-20,22
2022-09-21,16
2022-09-22,16
2022-09-23,13
2022-09-24,8
2022-09-25,9
2022-09-26,14
2022-09-27,13
