Time,ezra miller
2024-08-18,59
2024-08-19,47
2024-08-20,43
2024-08-21,45
2024-08-22,43
2024-08-23,43
2024-08-24,61
2024-08-25,64
2024-08-26,66
2024-08-27,70
2024-08-28,54
2024-08-29,50
2024-08-30,51
2024-08-31,58
2024-09-01,62
2024-09-02,74
2024-09-03,39
2024-09-04,51
2024-09-05,36
2024-09-06,30
2024-09-07,55
2024-09-08,45
2024-09-09,67
2024-09-10,31
2024-09-11,23
2024-09-12,35
2024-09-13,33
2024-09-14,65
2024-09-15,46
2024-09-16,35
2024-09-17,31
2024-09-18,42
2024-09-19,23
2024-09-20,37
2024-09-21,58
2024-09-22,51
2024-09-23,46
2024-09-24,31
2024-09-25,33
2024-09-26,31
2024-09-27,28
2024-09-28,44
2024-09-29,50
2024-09-30,31
2024-10-01,31
2024-10-02,34
2024-10-03,32
2024-10-04,54
2024-10-05,58
2024-10-06,45
2024-10-07,43
2024-10-08,35
2024-10-09,39
2024-10-10,34
2024-10-11,36
2024-10-12,41
2024-10-13,46
2024-10-14,41
2024-10-15,34
2024-10-16,28
2024-10-17,27
2024-10-18,32
2024-10-19,25
2024-10-20,36
2024-10-21,26
2024-10-22,35
2024-10-23,29
2024-10-24,27
2024-10-25,34
2024-10-26,32
2024-10-27,55
2024-10-28,27
2024-10-29,30
2024-10-30,20
2024-10-31,30
2024-11-01,25
2024-11-02,45
2024-11-03,51
2024-11-04,57
2024-11-05,32
2024-11-06,32
2024-11-07,24
2024-11-08,28
2024-11-09,44
2024-11-10,51
2024-11-11,38
2024-11-12,39
2024-11-13,28
2024-11-14,27
2024-11-15,32
2024-11-16,77
2024-11-17,41
2024-11-18,32
2024-11-19,42
2024-11-20,39
2024-11-21,30
2024-11-22,19
2024-11-23,55
2024-11-24,45
2024-11-25,25
2024-11-26,28
2024-11-27,52
2024-11-28,47
2024-11-29,62
2024-11-30,42
2024-12-01,39
2024-12-02,49
2024-12-03,60
2024-12-04,53
2024-12-05,56
2024-12-06,36
2024-12-07,56
2024-12-08,53
2024-12-09,47
2024-12-10,46
2024-12-11,34
2024-12-12,30
2024-12-13,37
2024-12-14,29
2024-12-15,56
2024-12-16,32
2024-12-17,50
2024-12-18,34
2024-12-19,41
2024-12-20,39
2024-12-21,39
2024-12-22,51
2024-12-23,44
2024-12-24,45
2024-12-25,44
2024-12-26,42
2024-12-27,53
2024-12-28,58
2024-12-29,66
2024-12-30,55
2024-12-31,40
2025-01-01,51
2025-01-02,33
2025-01-03,38
2025-01-04,43
2025-01-05,44
2025-01-06,40
2025-01-07,31
2025-01-08,31
2025-01-09,30
2025-01-10,31
2025-01-11,35
2025-01-12,55
2025-01-13,73
2025-01-14,47
2025-01-15,35
2025-01-16,18
2025-01-17,0
2025-01-18,41
2025-01-19,42
2025-01-20,42
2025-01-21,20
2025-01-22,22
2025-01-23,26
2025-01-24,26
2025-01-25,33
2025-01-26,40
2025-01-27,21
2025-01-28,26
2025-01-29,25
2025-01-30,26
2025-01-31,24
2025-02-01,32
2025-02-02,43
2025-02-03,24
2025-02-04,36
2025-02-05,29
2025-02-06,32
2025-02-07,30
2025-02-08,48
2025-02-09,48
2025-02-10,39
2025-02-11,28
2025-02-12,25
2025-02-13,25
2025-02-14,27
2025-02-15,35
2025-02-16,64
2025-02-17,49
2025-02-18,42
2025-02-19,51
2025-02-20,36
2025-02-21,28
2025-02-22,42
2025-02-23,36
2025-02-24,32
2025-02-25,30
2025-02-26,30
2025-02-27,32
2025-02-28,35
2025-03-01,30
2025-03-02,41
2025-03-03,37
2025-03-04,30
2025-03-05,23
2025-03-06,18
2025-03-07,34
2025-03-08,38
2025-03-09,47
2025-03-10,41
2025-03-11,51
2025-03-12,38
2025-03-13,36
2025-03-14,41
2025-03-15,81
2025-03-16,58
2025-03-17,41
2025-03-18,40
2025-03-19,37
2025-03-20,35
2025-03-21,35
2025-03-22,45
2025-03-23,55
2025-03-24,42
2025-03-25,64
2025-03-26,40
2025-03-27,42
2025-03-28,34
2025-03-29,29
2025-03-30,51
2025-03-31,50
2025-04-01,27
2025-04-02,26
2025-04-03,24
2025-04-04,27
2025-04-05,34
2025-04-06,44
2025-04-07,33
2025-04-08,33
2025-04-09,56
2025-04-10,39
2025-04-11,30
2025-04-12,44
2025-04-13,37
2025-04-14,41
2025-04-15,34
2025-04-16,39
2025-04-17,53
2025-04-18,33
2025-04-19,78
2025-04-20,46
2025-04-21,100
2025-04-22,60
2025-04-23,36
2025-04-24,22
2025-04-25,28
2025-04-26,36
2025-04-27,33
2025-04-28,45
2025-04-29,51
2025-04-30,34
2025-05-01,34
2025-05-02,28
2025-05-03,44
2025-05-04,57
2025-05-05,57
2025-05-06,62
2025-05-07,26
2025-05-08,24
2025-05-09,44
2025-05-10,31
2025-05-11,36
2025-05-12,33
2025-05-13,42
2025-05-14,37
