Time,ezra miller
2023-04-26,36
2023-04-27,27
2023-04-28,17
2023-04-29,19
2023-04-30,16
2023-05-01,9
2023-05-02,9
2023-05-03,18
2023-05-04,28
2023-05-05,16
2023-05-06,17
2023-05-07,20
2023-05-08,13
2023-05-09,69
2023-05-10,51
2023-05-11,21
2023-05-12,11
2023-05-13,9
2023-05-14,13
2023-05-15,13
2023-05-16,11
2023-05-17,10
2023-05-18,11
2023-05-19,10
2023-05-20,14
2023-05-21,14
2023-05-22,10
2023-05-23,11
2023-05-24,21
2023-05-25,14
2023-05-26,15
2023-05-27,14
2023-05-28,25
2023-05-29,17
2023-05-30,30
2023-05-31,23
2023-06-01,16
2023-06-02,15
2023-06-03,19
2023-06-04,29
2023-06-05,20
2023-06-06,18
2023-06-07,21
2023-06-08,21
2023-06-09,17
2023-06-10,19
2023-06-11,21
2023-06-12,20
2023-06-13,83
2023-06-14,82
2023-06-15,52
2023-06-16,83
2023-06-17,87
2023-06-18,100
2023-06-19,99
2023-06-20,64
2023-06-21,46
2023-06-22,32
2023-06-23,29
2023-06-24,34
2023-06-25,41
2023-06-26,30
2023-06-27,30
2023-06-28,26
2023-06-29,24
2023-06-30,20
2023-07-01,45
2023-07-02,29
2023-07-03,20
2023-07-04,20
2023-07-05,15
2023-07-06,13
2023-07-07,13
2023-07-08,13
2023-07-09,17
2023-07-10,22
2023-07-11,13
2023-07-12,12
2023-07-13,10
2023-07-14,10
2023-07-15,10
2023-07-16,11
2023-07-17,13
2023-07-18,16
2023-07-19,18
2023-07-20,16
2023-07-21,13
2023-07-22,19
2023-07-23,20
2023-07-24,14
2023-07-25,13
2023-07-26,10
2023-07-27,9
2023-07-28,8
2023-07-29,12
2023-07-30,13
2023-07-31,9
2023-08-01,9
2023-08-02,8
2023-08-03,8
2023-08-04,6
2023-08-05,9
2023-08-06,10
2023-08-07,6
2023-08-08,5
2023-08-09,5
2023-08-10,6
2023-08-11,5
2023-08-12,6
2023-08-13,9
2023-08-14,5
2023-08-15,5
2023-08-16,6
2023-08-17,6
2023-08-18,6
2023-08-19,6
2023-08-20,6
2023-08-21,8
2023-08-22,6
2023-08-23,5
2023-08-24,5
2023-08-25,11
2023-08-26,32
2023-08-27,45
2023-08-28,23
2023-08-29,17
2023-08-30,14
2023-08-31,13
2023-09-01,12
2023-09-02,18
2023-09-03,23
2023-09-04,21
2023-09-05,11
2023-09-06,9
2023-09-07,8
2023-09-08,7
2023-09-09,11
2023-09-10,11
2023-09-11,8
2023-09-12,7
2023-09-13,7
2023-09-14,8
2023-09-15,7
2023-09-16,11
2023-09-17,10
2023-09-18,7
2023-09-19,5
2023-09-20,6
2023-09-21,5
2023-09-22,5
2023-09-23,8
2023-09-24,8
2023-09-25,6
2023-09-26,6
2023-09-27,5
2023-09-28,7
2023-09-29,5
2023-09-30,7
2023-10-01,7
2023-10-02,4
2023-10-03,4
2023-10-04,5
2023-10-05,5
2023-10-06,5
2023-10-07,5
2023-10-08,5
2023-10-09,4
2023-10-10,4
2023-10-11,4
2023-10-12,4
2023-10-13,4
2023-10-14,5
2023-10-15,5
2023-10-16,4
2023-10-17,3
2023-10-18,5
2023-10-19,3
2023-10-20,4
2023-10-21,4
2023-10-22,3
2023-10-23,3
2023-10-24,3
2023-10-25,3
2023-10-26,3
2023-10-27,4
2023-10-28,3
2023-10-29,4
2023-10-30,4
2023-10-31,3
2023-11-01,3
2023-11-02,3
2023-11-03,3
2023-11-04,4
2023-11-05,4
2023-11-06,4
2023-11-07,3
2023-11-08,2
2023-11-09,3
2023-11-10,3
2023-11-11,4
2023-11-12,4
2023-11-13,3
2023-11-14,4
2023-11-15,3
2023-11-16,4
2023-11-17,3
2023-11-18,4
2023-11-19,5
2023-11-20,4
2023-11-21,4
2023-11-22,6
2023-11-23,4
2023-11-24,4
2023-11-25,5
2023-11-26,5
2023-11-27,3
2023-11-28,3
2023-11-29,4
2023-11-30,3
2023-12-01,4
2023-12-02,3
2023-12-03,5
2023-12-04,4
2023-12-05,3
2023-12-06,3
2023-12-07,3
2023-12-08,3
2023-12-09,4
2023-12-10,5
2023-12-11,3
2023-12-12,3
2023-12-13,3
2023-12-14,3
2023-12-15,4
2023-12-16,4
2023-12-17,4
2023-12-18,6
2023-12-19,14
2023-12-20,8
2023-12-21,6
2023-12-22,5
2023-12-23,6
2023-12-24,5
2023-12-25,6
2023-12-26,6
2023-12-27,6
2023-12-28,6
2023-12-29,6
2023-12-30,9
2023-12-31,10
2024-01-01,11
2024-01-02,9
2024-01-03,6
2024-01-04,7
2024-01-05,7
2024-01-06,10
2024-01-07,10
2024-01-08,7
2024-01-09,6
2024-01-10,5
2024-01-11,6
2024-01-12,5
2024-01-13,7
2024-01-14,8
2024-01-15,6
2024-01-16,5
2024-01-17,4
2024-01-18,4
2024-01-19,3
2024-01-20,6
