Time,ezra miller
2023-12-22,24
2023-12-23,29
2023-12-24,23
2023-12-25,27
2023-12-26,30
2023-12-27,30
2023-12-28,29
2023-12-29,29
2023-12-30,42
2023-12-31,46
2024-01-01,51
2024-01-02,42
2024-01-03,29
2024-01-04,31
2024-01-05,35
2024-01-06,48
2024-01-07,48
2024-01-08,33
2024-01-09,28
2024-01-10,25
2024-01-11,27
2024-01-12,26
2024-01-13,35
2024-01-14,36
2024-01-15,31
2024-01-16,23
2024-01-17,20
2024-01-18,20
2024-01-19,15
2024-01-20,27
2024-01-21,23
2024-01-22,16
2024-01-23,17
2024-01-24,16
2024-01-25,14
2024-01-26,23
2024-01-27,30
2024-01-28,25
2024-01-29,18
2024-01-30,20
2024-01-31,18
2024-02-01,20
2024-02-02,24
2024-02-03,32
2024-02-04,34
2024-02-05,21
2024-02-06,21
2024-02-07,19
2024-02-08,21
2024-02-09,19
2024-02-10,22
2024-02-11,27
2024-02-12,17
2024-02-13,16
2024-02-14,16
2024-02-15,17
2024-02-16,21
2024-02-17,24
2024-02-18,39
2024-02-19,30
2024-02-20,19
2024-02-21,17
2024-02-22,16
2024-02-23,19
2024-02-24,22
2024-02-25,25
2024-02-26,18
2024-02-27,19
2024-02-28,14
2024-02-29,19
2024-03-01,17
2024-03-02,28
2024-03-03,26
2024-03-04,20
2024-03-05,15
2024-03-06,13
2024-03-07,13
2024-03-08,12
2024-03-09,18
2024-03-10,18
2024-03-11,19
2024-03-12,18
2024-03-13,11
2024-03-14,13
2024-03-15,14
2024-03-16,17
2024-03-17,25
2024-03-18,15
2024-03-19,13
2024-03-20,20
2024-03-21,17
2024-03-22,23
2024-03-23,18
2024-03-24,14
2024-03-25,15
2024-03-26,13
2024-03-27,9
2024-03-28,18
2024-03-29,24
2024-03-30,61
2024-03-31,100
2024-04-01,56
2024-04-02,25
2024-04-03,17
2024-04-04,16
2024-04-05,31
2024-04-06,27
2024-04-07,22
2024-04-08,18
2024-04-09,14
2024-04-10,13
2024-04-11,11
2024-04-12,8
2024-04-13,18
2024-04-14,21
2024-04-15,13
2024-04-16,14
2024-04-17,15
2024-04-18,12
2024-04-19,12
2024-04-20,14
2024-04-21,20
2024-04-22,13
2024-04-23,11
2024-04-24,13
2024-04-25,12
2024-04-26,14
2024-04-27,14
2024-04-28,15
2024-04-29,12
2024-04-30,10
2024-05-01,11
2024-05-02,12
2024-05-03,11
2024-05-04,12
2024-05-05,17
2024-05-06,13
2024-05-07,13
2024-05-08,18
2024-05-09,13
2024-05-10,10
2024-05-11,13
2024-05-12,14
2024-05-13,13
2024-05-14,17
2024-05-15,11
2024-05-16,9
2024-05-17,10
2024-05-18,18
2024-05-19,18
2024-05-20,16
2024-05-21,11
2024-05-22,10
2024-05-23,10
2024-05-24,11
2024-05-25,11
2024-05-26,13
2024-05-27,22
2024-05-28,15
2024-05-29,12
2024-05-30,9
2024-05-31,11
2024-06-01,22
2024-06-02,22
2024-06-03,8
2024-06-04,15
2024-06-05,13
2024-06-06,12
2024-06-07,18
2024-06-08,17
2024-06-09,15
2024-06-10,18
2024-06-11,16
2024-06-12,15
2024-06-13,9
2024-06-14,11
2024-06-15,15
2024-06-16,17
2024-06-17,13
2024-06-18,14
2024-06-19,17
2024-06-20,15
2024-06-21,14
2024-06-22,23
2024-06-23,21
2024-06-24,13
2024-06-25,36
2024-06-26,42
2024-06-27,40
2024-06-28,38
2024-06-29,47
2024-06-30,39
2024-07-01,25
2024-07-02,21
2024-07-03,19
2024-07-04,27
2024-07-05,21
2024-07-06,22
2024-07-07,25
2024-07-08,16
2024-07-09,12
2024-07-10,15
2024-07-11,14
2024-07-12,15
2024-07-13,23
2024-07-14,21
2024-07-15,14
2024-07-16,14
2024-07-17,12
2024-07-18,15
2024-07-19,13
2024-07-20,15
2024-07-21,19
2024-07-22,18
2024-07-23,13
2024-07-24,14
2024-07-25,15
2024-07-26,13
2024-07-27,19
2024-07-28,22
2024-07-29,19
2024-07-30,16
2024-07-31,22
2024-08-01,24
2024-08-02,53
2024-08-03,40
2024-08-04,23
2024-08-05,19
2024-08-06,17
2024-08-07,20
2024-08-08,19
2024-08-09,15
2024-08-10,21
2024-08-11,50
2024-08-12,15
2024-08-13,13
2024-08-14,15
2024-08-15,15
2024-08-16,16
2024-08-17,20
2024-08-18,19
2024-08-19,15
2024-08-20,14
2024-08-21,15
2024-08-22,14
2024-08-23,14
2024-08-24,20
2024-08-25,21
2024-08-26,22
2024-08-27,23
2024-08-28,18
2024-08-29,17
2024-08-30,17
2024-08-31,19
2024-09-01,20
2024-09-02,24
2024-09-03,13
2024-09-04,17
2024-09-05,12
2024-09-06,10
2024-09-07,18
2024-09-08,15
2024-09-09,22
2024-09-10,10
2024-09-11,8
2024-09-12,11
2024-09-13,11
2024-09-14,21
2024-09-15,15
2024-09-16,12
