Time,nhl_scores
2022-01-01,22.0
2022-01-02,29.0
2022-01-03,9.0
2022-01-04,12.0
2022-01-05,20.0
2022-01-06,12.0
2022-01-07,24.0
2022-01-08,20.0
2022-01-09,30.0
2022-01-10,10.0
2022-01-11,17.0
2022-01-12,19.0
2022-01-13,20.0
2022-01-14,22.0
2022-01-15,24.0
2022-01-16,27.0
2022-01-17,14.0
2022-01-18,18.0
2022-01-19,21.0
2022-01-20,17.0
2022-01-21,25.0
2022-01-22,34.0
2022-01-23,30.0
2022-01-24,16.0
2022-01-25,19.0
2022-01-26,21.0
2022-01-27,20.0
2022-01-28,23.0
2022-01-29,32.0
2022-01-30,31.0
2022-01-31,16.0
2022-02-01,16.0
2022-02-02,29.0
2022-02-03,18.0
2022-02-04,6.0
2022-02-05,7.0
2022-02-06,6.0
2022-02-07,4.0
2022-02-08,9.0
2022-02-09,19.0
2022-02-10,15.0
2022-02-11,20.0
2022-02-12,24.0
2022-02-13,23.0
2022-02-14,7.0
2022-02-15,18.0
2022-02-16,23.0
2022-02-17,19.0
2022-02-18,24.0
2022-02-19,27.0
2022-02-20,30.0
2022-02-21,23.0
2022-02-22,15.0
2022-02-23,20.0
2022-02-24,18.0
2022-02-25,23.0
2022-02-26,29.0
2022-02-27,35.0
2022-02-28,17.0
2022-03-01,18.0
2022-03-02,22.0
2022-03-03,19.0
2022-03-04,24.0
2022-03-05,30.0
2022-03-06,32.0
2022-03-07,17.0
2022-03-08,18.0
2022-03-09,24.0
2022-03-10,15.0
2022-03-11,24.0
2022-03-12,26.0
2022-03-13,32.0
2022-03-14,17.0
2022-03-15,12.0
2022-03-16,25.0
2022-03-17,18.0
2022-03-18,23.0
2022-03-19,31.0
2022-03-20,29.0
2022-03-21,14.0
2022-03-22,19.0
2022-03-23,23.0
2022-03-24,21.0
2022-03-25,21.0
2022-03-26,31.0
2022-03-27,35.0
2022-03-28,16.0
2022-03-29,18.0
2022-03-30,26.0
2022-03-31,21.0
2022-04-01,24.0
2022-04-02,33.0
2022-04-03,35.0
2022-04-04,18.0
2022-04-05,20.0
2022-04-06,27.0
2022-04-07,21.0
2022-04-08,25.0
2022-04-09,31.0
2022-04-10,39.0
2022-04-11,13.0
2022-04-12,13.0
2022-04-13,27.0
2022-04-14,19.0
2022-04-15,30.0
2022-04-16,32.0
2022-04-17,37.0
2022-04-18,17.0
2022-04-19,23.0
2022-04-20,28.0
2022-04-21,24.0
2022-04-22,28.0
2022-04-23,35.0
2022-04-24,37.0
2022-04-25,25.0
2022-04-26,16.0
2022-04-27,29.0
2022-04-28,21.0
2022-04-29,23.0
2022-04-30,31.0
2022-05-01,10.0
2022-05-02,9.0
2022-05-03,39.0
2022-05-04,56.0
2022-05-05,42.0
2022-05-06,55.0
2022-05-07,76.0
2022-05-08,72.0
2022-05-09,32.0
2022-05-10,48.0
2022-05-11,51.0
2022-05-12,52.0
2022-05-13,66.0
2022-05-14,100.0
2022-05-15,91.0
2022-05-16,62.0
2022-05-17,16.0
2022-05-18,41.0
2022-05-19,43.0
2022-05-20,42.0
2022-05-21,60.0
2022-05-22,72.0
2022-05-23,33.0
2022-05-24,46.0
2022-05-25,42.0
2022-05-26,41.0
2022-05-27,50.0
2022-05-28,52.0
2022-05-29,47.0
2022-05-30,23.0
2022-05-31,43.0
2022-06-01,34.0
2022-06-02,36.0
2022-06-03,34.0
2022-06-04,55.0
2022-06-05,66.0
2022-06-06,21.0
2022-06-07,40.0
2022-06-08,44.0
2022-06-09,15.0
2022-06-10,39.0
2022-06-11,19.0
2022-06-12,49.0
2022-06-13,7.0
2022-06-14,7.0
2022-06-15,9.0
2022-06-16,42.0
2022-06-17,10.0
2022-06-18,18.0
2022-06-19,42.0
2022-06-20,11.0
2022-06-21,42.0
2022-06-22,11.0
2022-06-23,47.0
2022-06-24,9.0
2022-06-25,52.0
2022-06-26,18.0
2022-06-27,41.0
2022-06-28,2.0
2022-06-29,1.0
2022-06-30,1.0
2022-07-01,1.0
2022-07-02,1.0
2022-07-03,1.0
2022-07-04,0.0
2022-07-05,1.0
2022-07-06,1.0
2022-07-07,1.0
2022-07-08,1.0
2022-07-09,1.0
2022-07-10,1.0
2022-07-11,0.0
2022-07-12,1.0
2022-07-13,1.0
2022-07-14,1.0
2022-07-15,0.0
2022-07-16,1.0
2022-07-17,1.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,1.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,1.0
2022-08-14,1.0
2022-08-15,0.0
2022-08-16,0.0
