Time,credit one
2023-12-22,89
2023-12-23,78
2023-12-24,56
2023-12-25,40
2023-12-26,82
2023-12-27,91
2023-12-28,92
2023-12-29,96
2023-12-30,77
2023-12-31,62
2024-01-01,69
2024-01-02,86
2024-01-03,100
2024-01-04,95
2024-01-05,94
2024-01-06,81
2024-01-07,70
2024-01-08,82
2024-01-09,84
2024-01-10,94
2024-01-11,86
2024-01-12,88
2024-01-13,80
2024-01-14,66
2024-01-15,75
2024-01-16,78
2024-01-17,90
2024-01-18,83
2024-01-19,88
2024-01-20,82
2024-01-21,66
2024-01-22,80
2024-01-23,83
2024-01-24,85
2024-01-25,85
2024-01-26,89
2024-01-27,75
2024-01-28,66
2024-01-29,78
2024-01-30,81
2024-01-31,82
2024-02-01,89
2024-02-02,94
2024-02-03,85
2024-02-04,73
2024-02-05,80
2024-02-06,82
2024-02-07,82
2024-02-08,81
2024-02-09,84
2024-02-10,78
2024-02-11,61
2024-02-12,77
2024-02-13,82
2024-02-14,79
2024-02-15,83
2024-02-16,92
2024-02-17,85
2024-02-18,73
2024-02-19,79
2024-02-20,90
2024-02-21,87
2024-02-22,97
2024-02-23,96
2024-02-24,83
2024-02-25,68
2024-02-26,90
2024-02-27,83
2024-02-28,83
2024-02-29,93
2024-03-01,100
2024-03-02,94
2024-03-03,71
2024-03-04,90
2024-03-05,96
2024-03-06,87
2024-03-07,89
2024-03-08,92
2024-03-09,79
2024-03-10,65
2024-03-11,79
2024-03-12,78
2024-03-13,85
2024-03-14,83
2024-03-15,90
2024-03-16,78
2024-03-17,69
2024-03-18,81
2024-03-19,86
2024-03-20,82
2024-03-21,80
2024-03-22,88
2024-03-23,70
2024-03-24,63
2024-03-25,81
2024-03-26,81
2024-03-27,78
2024-03-28,84
2024-03-29,89
2024-03-30,73
2024-03-31,59
2024-04-01,93
2024-04-02,89
2024-04-03,90
2024-04-04,94
2024-04-05,92
2024-04-06,85
2024-04-07,72
2024-04-08,75
2024-04-09,82
2024-04-10,86
2024-04-11,83
2024-04-12,88
2024-04-13,79
2024-04-14,70
2024-04-15,84
2024-04-16,84
2024-04-17,84
2024-04-18,86
2024-04-19,89
2024-04-20,75
2024-04-21,70
2024-04-22,82
2024-04-23,83
2024-04-24,84
2024-04-25,81
2024-04-26,86
2024-04-27,69
2024-04-28,66
2024-04-29,84
2024-04-30,84
2024-05-01,92
2024-05-02,89
2024-05-03,90
2024-05-04,77
2024-05-05,67
2024-05-06,84
2024-05-07,80
2024-05-08,84
2024-05-09,84
2024-05-10,86
2024-05-11,71
2024-05-12,59
2024-05-13,82
2024-05-14,84
2024-05-15,89
2024-05-16,84
2024-05-17,88
2024-05-18,77
2024-05-19,65
2024-05-20,89
2024-05-21,85
2024-05-22,77
2024-05-23,77
2024-05-24,79
2024-05-25,78
2024-05-26,70
2024-05-27,77
2024-05-28,92
2024-05-29,89
2024-05-30,84
2024-05-31,98
2024-06-01,76
2024-06-02,67
2024-06-03,96
2024-06-04,85
2024-06-05,83
2024-06-06,84
2024-06-07,97
2024-06-08,73
2024-06-09,65
2024-06-10,85
2024-06-11,79
2024-06-12,91
2024-06-13,84
2024-06-14,88
2024-06-15,77
2024-06-16,63
2024-06-17,83
2024-06-18,89
2024-06-19,81
2024-06-20,85
2024-06-21,93
2024-06-22,72
2024-06-23,66
2024-06-24,80
2024-06-25,81
2024-06-26,79
2024-06-27,90
2024-06-28,93
2024-06-29,84
2024-06-30,73
2024-07-01,88
2024-07-02,91
2024-07-03,87
2024-07-04,75
2024-07-05,86
2024-07-06,76
2024-07-07,71
2024-07-08,84
2024-07-09,87
2024-07-10,88
2024-07-11,85
2024-07-12,88
2024-07-13,77
2024-07-14,60
2024-07-15,81
2024-07-16,90
2024-07-17,92
2024-07-18,83
2024-07-19,90
2024-07-20,74
2024-07-21,63
2024-07-22,79
2024-07-23,78
2024-07-24,79
2024-07-25,93
2024-07-26,86
2024-07-27,74
2024-07-28,70
2024-07-29,82
2024-07-30,78
2024-07-31,93
2024-08-01,94
2024-08-02,92
2024-08-03,81
2024-08-04,67
2024-08-05,87
2024-08-06,83
2024-08-07,83
2024-08-08,85
2024-08-09,85
2024-08-10,76
2024-08-11,72
2024-08-12,82
2024-08-13,88
2024-08-14,90
2024-08-15,99
2024-08-16,88
2024-08-17,75
2024-08-18,65
2024-08-19,78
2024-08-20,81
2024-08-21,78
2024-08-22,85
2024-08-23,80
2024-08-24,74
2024-08-25,64
2024-08-26,74
2024-08-27,80
2024-08-28,78
2024-08-29,78
2024-08-30,85
2024-08-31,71
2024-09-01,68
2024-09-02,70
2024-09-03,85
2024-09-04,83
2024-09-05,82
2024-09-06,83
2024-09-07,73
2024-09-08,65
2024-09-09,79
2024-09-10,81
2024-09-11,78
2024-09-12,87
2024-09-13,86
2024-09-14,74
2024-09-15,63
2024-09-16,77
