Time,amber rose
2022-08-29,26
2022-08-30,24
2022-08-31,31
2022-09-01,25
2022-09-02,27
2022-09-03,26
2022-09-04,27
2022-09-05,24
2022-09-06,22
2022-09-07,16
2022-09-08,16
2022-09-09,19
2022-09-10,23
2022-09-11,19
2022-09-12,17
2022-09-13,19
2022-09-14,20
2022-09-15,18
2022-09-16,22
2022-09-17,27
2022-09-18,15
2022-09-19,20
2022-09-20,15
2022-09-21,19
2022-09-22,17
2022-09-23,22
2022-09-24,21
2022-09-25,57
2022-09-26,63
2022-09-27,98
2022-09-28,55
2022-09-29,42
2022-09-30,34
2022-10-01,27
2022-10-02,21
2022-10-03,22
2022-10-04,21
2022-10-05,25
2022-10-06,20
2022-10-07,22
2022-10-08,30
2022-10-09,27
2022-10-10,24
2022-10-11,32
2022-10-12,23
2022-10-13,26
2022-10-14,25
2022-10-15,30
2022-10-16,31
2022-10-17,33
2022-10-18,26
2022-10-19,24
2022-10-20,23
2022-10-21,32
2022-10-22,77
2022-10-23,36
2022-10-24,23
2022-10-25,27
2022-10-26,34
2022-10-27,29
2022-10-28,37
2022-10-29,34
2022-10-30,35
2022-10-31,33
2022-11-01,28
2022-11-02,27
2022-11-03,76
2022-11-04,64
2022-11-05,40
2022-11-06,48
2022-11-07,62
2022-11-08,45
2022-11-09,35
2022-11-10,35
2022-11-11,28
2022-11-12,33
2022-11-13,24
2022-11-14,25
2022-11-15,25
2022-11-16,25
2022-11-17,22
2022-11-18,22
2022-11-19,25
2022-11-20,26
2022-11-21,27
2022-11-22,28
2022-11-23,24
2022-11-24,28
2022-11-25,29
2022-11-26,34
2022-11-27,34
2022-11-28,28
2022-11-29,35
2022-11-30,26
2022-12-01,26
2022-12-02,45
2022-12-03,46
2022-12-04,29
2022-12-05,27
2022-12-06,20
2022-12-07,21
2022-12-08,24
2022-12-09,19
2022-12-10,25
2022-12-11,28
2022-12-12,21
2022-12-13,25
2022-12-14,17
2022-12-15,27
2022-12-16,25
2022-12-17,23
2022-12-18,22
2022-12-19,22
2022-12-20,22
2022-12-21,26
2022-12-22,20
2022-12-23,24
2022-12-24,27
2022-12-25,36
2022-12-26,56
2022-12-27,55
2022-12-28,56
2022-12-29,39
2022-12-30,35
2022-12-31,34
2023-01-01,45
2023-01-02,63
2023-01-03,29
2023-01-04,28
2023-01-05,25
2023-01-06,21
2023-01-07,31
2023-01-08,30
2023-01-09,22
2023-01-10,23
2023-01-11,21
2023-01-12,23
2023-01-13,26
2023-01-14,26
2023-01-15,23
2023-01-16,17
2023-01-17,20
2023-01-18,19
2023-01-19,28
2023-01-20,25
2023-01-21,34
2023-01-22,31
2023-01-23,22
2023-01-24,19
2023-01-25,22
2023-01-26,25
2023-01-27,78
2023-01-28,77
2023-01-29,74
2023-01-30,58
2023-01-31,57
2023-02-01,57
2023-02-02,36
2023-02-03,32
2023-02-04,38
2023-02-05,33
2023-02-06,39
2023-02-07,64
2023-02-08,100
2023-02-09,69
2023-02-10,47
2023-02-11,43
2023-02-12,60
2023-02-13,45
2023-02-14,56
2023-02-15,49
2023-02-16,37
2023-02-17,31
2023-02-18,29
2023-02-19,32
2023-02-20,23
2023-02-21,26
2023-02-22,29
2023-02-23,31
2023-02-24,22
2023-02-25,28
2023-02-26,23
2023-02-27,20
2023-02-28,19
2023-03-01,20
2023-03-02,18
2023-03-03,20
2023-03-04,28
2023-03-05,27
2023-03-06,22
2023-03-07,25
2023-03-08,34
2023-03-09,32
2023-03-10,35
2023-03-11,31
2023-03-12,27
2023-03-13,22
2023-03-14,20
2023-03-15,22
2023-03-16,22
2023-03-17,24
2023-03-18,21
2023-03-19,28
2023-03-20,27
2023-03-21,26
2023-03-22,23
2023-03-23,26
2023-03-24,31
2023-03-25,33
2023-03-26,29
2023-03-27,22
2023-03-28,21
2023-03-29,22
2023-03-30,22
2023-03-31,24
2023-04-01,24
2023-04-02,23
2023-04-03,17
2023-04-04,18
2023-04-05,18
2023-04-06,18
2023-04-07,23
2023-04-08,21
2023-04-09,21
2023-04-10,23
2023-04-11,21
2023-04-12,17
2023-04-13,19
2023-04-14,19
2023-04-15,27
2023-04-16,29
2023-04-17,24
2023-04-18,17
2023-04-19,19
2023-04-20,23
2023-04-21,18
2023-04-22,24
2023-04-23,17
2023-04-24,18
2023-04-25,14
2023-04-26,20
2023-04-27,28
2023-04-28,21
2023-04-29,24
2023-04-30,21
2023-05-01,27
2023-05-02,27
2023-05-03,26
2023-05-04,18
2023-05-05,20
2023-05-06,25
2023-05-07,22
2023-05-08,20
2023-05-09,17
2023-05-10,17
2023-05-11,49
2023-05-12,78
2023-05-13,69
2023-05-14,51
2023-05-15,44
2023-05-16,40
2023-05-17,34
2023-05-18,31
2023-05-19,37
2023-05-20,31
2023-05-21,31
2023-05-22,28
2023-05-23,23
2023-05-24,25
2023-05-25,51
