Time,bed bath and beyond
2023-12-22,87
2023-12-23,100
2023-12-24,77
2023-12-25,53
2023-12-26,84
2023-12-27,76
2023-12-28,74
2023-12-29,71
2023-12-30,76
2023-12-31,72
2024-01-01,63
2024-01-02,64
2024-01-03,57
2024-01-04,56
2024-01-05,56
2024-01-06,68
2024-01-07,73
2024-01-08,53
2024-01-09,52
2024-01-10,45
2024-01-11,44
2024-01-12,50
2024-01-13,66
2024-01-14,66
2024-01-15,65
2024-01-16,45
2024-01-17,48
2024-01-18,46
2024-01-19,52
2024-01-20,70
2024-01-21,76
2024-01-22,56
2024-01-23,50
2024-01-24,44
2024-01-25,50
2024-01-26,51
2024-01-27,69
2024-01-28,71
2024-01-29,59
2024-01-30,49
2024-01-31,52
2024-02-01,51
2024-02-02,48
2024-02-03,67
2024-02-04,72
2024-02-05,53
2024-02-06,52
2024-02-07,51
2024-02-08,45
2024-02-09,48
2024-02-10,59
2024-02-11,66
2024-02-12,46
2024-02-13,54
2024-02-14,46
2024-02-15,46
2024-02-16,56
2024-02-17,76
2024-02-18,92
2024-02-19,94
2024-02-20,60
2024-02-21,52
2024-02-22,50
2024-02-23,54
2024-02-24,74
2024-02-25,71
2024-02-26,48
2024-02-27,44
2024-02-28,44
2024-02-29,47
2024-03-01,45
2024-03-02,61
2024-03-03,69
2024-03-04,49
2024-03-05,47
2024-03-06,45
2024-03-07,46
2024-03-08,48
2024-03-09,67
2024-03-10,72
2024-03-11,54
2024-03-12,47
2024-03-13,46
2024-03-14,47
2024-03-15,50
2024-03-16,65
2024-03-17,68
2024-03-18,47
2024-03-19,44
2024-03-20,44
2024-03-21,43
2024-03-22,47
2024-03-23,68
2024-03-24,66
2024-03-25,46
2024-03-26,48
2024-03-27,45
2024-03-28,45
2024-03-29,48
2024-03-30,57
2024-03-31,53
2024-04-01,47
2024-04-02,48
2024-04-03,46
2024-04-04,46
2024-04-05,50
2024-04-06,65
2024-04-07,69
2024-04-08,46
2024-04-09,47
2024-04-10,43
2024-04-11,44
2024-04-12,47
2024-04-13,53
2024-04-14,65
2024-04-15,46
2024-04-16,44
2024-04-17,45
2024-04-18,45
2024-04-19,45
2024-04-20,63
2024-04-21,65
2024-04-22,45
2024-04-23,49
2024-04-24,47
2024-04-25,43
2024-04-26,47
2024-04-27,59
2024-04-28,67
2024-04-29,46
2024-04-30,43
2024-05-01,41
2024-05-02,43
2024-05-03,45
2024-05-04,51
2024-05-05,62
2024-05-06,44
2024-05-07,43
2024-05-08,42
2024-05-09,43
2024-05-10,50
2024-05-11,59
2024-05-12,56
2024-05-13,45
2024-05-14,44
2024-05-15,40
2024-05-16,43
2024-05-17,42
2024-05-18,55
2024-05-19,55
2024-05-20,46
2024-05-21,48
2024-05-22,53
2024-05-23,47
2024-05-24,47
2024-05-25,55
2024-05-26,58
2024-05-27,82
2024-05-28,49
2024-05-29,45
2024-05-30,41
2024-05-31,46
2024-06-01,56
2024-06-02,65
2024-06-03,49
2024-06-04,48
2024-06-05,42
2024-06-06,42
2024-06-07,43
2024-06-08,51
2024-06-09,53
2024-06-10,48
2024-06-11,45
2024-06-12,42
2024-06-13,42
2024-06-14,41
2024-06-15,50
2024-06-16,46
2024-06-17,43
2024-06-18,42
2024-06-19,49
2024-06-20,44
2024-06-21,46
2024-06-22,51
2024-06-23,60
2024-06-24,47
2024-06-25,42
2024-06-26,38
2024-06-27,45
2024-06-28,39
2024-06-29,52
2024-06-30,52
2024-07-01,46
2024-07-02,43
2024-07-03,43
2024-07-04,49
2024-07-05,44
2024-07-06,51
2024-07-07,54
2024-07-08,40
2024-07-09,37
2024-07-10,39
2024-07-11,38
2024-07-12,38
2024-07-13,45
2024-07-14,45
2024-07-15,37
2024-07-16,39
2024-07-17,37
2024-07-18,40
2024-07-19,37
2024-07-20,47
2024-07-21,47
2024-07-22,41
2024-07-23,39
2024-07-24,42
2024-07-25,42
2024-07-26,39
2024-07-27,42
2024-07-28,44
2024-07-29,36
2024-07-30,37
2024-07-31,37
2024-08-01,36
2024-08-02,38
2024-08-03,41
2024-08-04,49
2024-08-05,39
2024-08-06,42
2024-08-07,39
2024-08-08,36
2024-08-09,39
2024-08-10,48
2024-08-11,52
2024-08-12,42
2024-08-13,42
2024-08-14,38
2024-08-15,41
2024-08-16,42
2024-08-17,51
2024-08-18,57
2024-08-19,44
2024-08-20,38
2024-08-21,39
2024-08-22,41
2024-08-23,37
2024-08-24,49
2024-08-25,50
2024-08-26,39
2024-08-27,33
2024-08-28,38
2024-08-29,37
2024-08-30,38
2024-08-31,49
2024-09-01,53
2024-09-02,63
2024-09-03,37
2024-09-04,35
2024-09-05,33
2024-09-06,35
2024-09-07,41
2024-09-08,46
2024-09-09,34
2024-09-10,32
2024-09-11,32
2024-09-12,32
2024-09-13,34
2024-09-14,45
2024-09-15,45
2024-09-16,34
