Time,bed bath and beyond
2023-04-26,100
2023-04-27,58
2023-04-28,44
2023-04-29,76
2023-04-30,52
2023-05-01,29
2023-05-02,35
2023-05-03,25
2023-05-04,25
2023-05-05,20
2023-05-06,33
2023-05-07,27
2023-05-08,21
2023-05-09,19
2023-05-10,15
2023-05-11,15
2023-05-12,14
2023-05-13,22
2023-05-14,20
2023-05-15,14
2023-05-16,15
2023-05-17,12
2023-05-18,13
2023-05-19,12
2023-05-20,20
2023-05-21,19
2023-05-22,15
2023-05-23,13
2023-05-24,11
2023-05-25,12
2023-05-26,11
2023-05-27,17
2023-05-28,16
2023-05-29,15
2023-05-30,12
2023-05-31,10
2023-06-01,11
2023-06-02,10
2023-06-03,18
2023-06-04,17
2023-06-05,11
2023-06-06,12
2023-06-07,11
2023-06-08,12
2023-06-09,11
2023-06-10,17
2023-06-11,19
2023-06-12,15
2023-06-13,13
2023-06-14,13
2023-06-15,16
2023-06-16,18
2023-06-17,27
2023-06-18,29
2023-06-19,20
2023-06-20,19
2023-06-21,15
2023-06-22,16
2023-06-23,17
2023-06-24,21
2023-06-25,21
2023-06-26,17
2023-06-27,17
2023-06-28,19
2023-06-29,20
2023-06-30,20
2023-07-01,26
2023-07-02,34
2023-07-03,29
2023-07-04,31
2023-07-05,22
2023-07-06,21
2023-07-07,21
2023-07-08,26
2023-07-09,26
2023-07-10,18
2023-07-11,17
2023-07-12,15
2023-07-13,16
2023-07-14,16
2023-07-15,23
2023-07-16,23
2023-07-17,17
2023-07-18,15
2023-07-19,17
2023-07-20,20
2023-07-21,18
2023-07-22,22
2023-07-23,25
2023-07-24,21
2023-07-25,18
2023-07-26,16
2023-07-27,16
2023-07-28,17
2023-07-29,21
2023-07-30,23
2023-07-31,16
2023-08-01,23
2023-08-02,23
2023-08-03,19
2023-08-04,15
2023-08-05,18
2023-08-06,20
2023-08-07,17
2023-08-08,16
2023-08-09,11
2023-08-10,13
2023-08-11,12
2023-08-12,15
2023-08-13,14
2023-08-14,11
2023-08-15,11
2023-08-16,10
2023-08-17,11
2023-08-18,10
2023-08-19,12
2023-08-20,13
2023-08-21,10
2023-08-22,9
2023-08-23,9
2023-08-24,9
2023-08-25,9
2023-08-26,11
2023-08-27,12
2023-08-28,8
2023-08-29,8
2023-08-30,7
2023-08-31,8
2023-09-01,9
2023-09-02,10
2023-09-03,12
2023-09-04,14
2023-09-05,9
2023-09-06,8
2023-09-07,8
2023-09-08,8
2023-09-09,11
2023-09-10,11
2023-09-11,8
2023-09-12,7
2023-09-13,7
2023-09-14,8
2023-09-15,7
2023-09-16,9
2023-09-17,10
2023-09-18,7
2023-09-19,7
2023-09-20,7
2023-09-21,7
2023-09-22,6
2023-09-23,8
2023-09-24,9
2023-09-25,7
2023-09-26,6
2023-09-27,7
2023-09-28,7
2023-09-29,6
2023-09-30,9
2023-10-01,9
2023-10-02,7
2023-10-03,7
2023-10-04,7
2023-10-05,5
2023-10-06,6
2023-10-07,8
2023-10-08,8
2023-10-09,6
2023-10-10,7
2023-10-11,6
2023-10-12,6
2023-10-13,5
2023-10-14,8
2023-10-15,8
2023-10-16,7
2023-10-17,6
2023-10-18,6
2023-10-19,6
2023-10-20,6
2023-10-21,7
2023-10-22,8
2023-10-23,5
2023-10-24,5
2023-10-25,6
2023-10-26,6
2023-10-27,6
2023-10-28,8
2023-10-29,8
2023-10-30,7
2023-10-31,6
2023-11-01,7
2023-11-02,7
2023-11-03,7
2023-11-04,10
2023-11-05,10
2023-11-06,8
2023-11-07,8
2023-11-08,8
2023-11-09,8
2023-11-10,9
2023-11-11,10
2023-11-12,11
2023-11-13,10
2023-11-14,9
2023-11-15,9
2023-11-16,9
2023-11-17,9
2023-11-18,13
2023-11-19,13
2023-11-20,11
2023-11-21,14
2023-11-22,12
2023-11-23,14
2023-11-24,23
2023-11-25,19
2023-11-26,17
2023-11-27,16
2023-11-28,13
2023-11-29,10
2023-11-30,9
2023-12-01,12
2023-12-02,13
2023-12-03,13
2023-12-04,10
2023-12-05,10
2023-12-06,8
2023-12-07,8
2023-12-08,9
2023-12-09,11
2023-12-10,13
2023-12-11,9
2023-12-12,8
2023-12-13,9
2023-12-14,8
2023-12-15,9
2023-12-16,12
2023-12-17,12
2023-12-18,9
2023-12-19,9
2023-12-20,9
2023-12-21,9
2023-12-22,11
2023-12-23,12
2023-12-24,9
2023-12-25,6
2023-12-26,10
2023-12-27,9
2023-12-28,9
2023-12-29,9
2023-12-30,9
2023-12-31,9
2024-01-01,8
2024-01-02,8
2024-01-03,7
2024-01-04,7
2024-01-05,7
2024-01-06,8
2024-01-07,9
2024-01-08,6
2024-01-09,6
2024-01-10,6
2024-01-11,5
2024-01-12,6
2024-01-13,8
2024-01-14,8
2024-01-15,8
2024-01-16,6
2024-01-17,6
2024-01-18,6
2024-01-19,6
2024-01-20,8
