Time,bed_bath_and_beyond
2022-01-01,39.0
2022-01-02,38.0
2022-01-03,31.0
2022-01-04,33.0
2022-01-05,31.0
2022-01-06,26.0
2022-01-07,41.0
2022-01-08,50.0
2022-01-09,42.0
2022-01-10,27.0
2022-01-11,26.0
2022-01-12,27.0
2022-01-13,29.0
2022-01-14,24.0
2022-01-15,36.0
2022-01-16,35.0
2022-01-17,30.0
2022-01-18,24.0
2022-01-19,23.0
2022-01-20,25.0
2022-01-21,23.0
2022-01-22,33.0
2022-01-23,34.0
2022-01-24,23.0
2022-01-25,22.0
2022-01-26,21.0
2022-01-27,22.0
2022-01-28,24.0
2022-01-29,32.0
2022-01-30,33.0
2022-01-31,24.0
2022-02-01,27.0
2022-02-02,24.0
2022-02-03,24.0
2022-02-04,26.0
2022-02-05,34.0
2022-02-06,35.0
2022-02-07,26.0
2022-02-08,23.0
2022-02-09,22.0
2022-02-10,19.0
2022-02-11,23.0
2022-02-12,32.0
2022-02-13,30.0
2022-02-14,20.0
2022-02-15,22.0
2022-02-16,21.0
2022-02-17,19.0
2022-02-18,21.0
2022-02-19,31.0
2022-02-20,34.0
2022-02-21,28.0
2022-02-22,21.0
2022-02-23,22.0
2022-02-24,19.0
2022-02-25,21.0
2022-02-26,29.0
2022-02-27,29.0
2022-02-28,22.0
2022-03-01,21.0
2022-03-02,21.0
2022-03-03,20.0
2022-03-04,20.0
2022-03-05,29.0
2022-03-06,29.0
2022-03-07,25.0
2022-03-08,24.0
2022-03-09,21.0
2022-03-10,21.0
2022-03-11,23.0
2022-03-12,31.0
2022-03-13,29.0
2022-03-14,21.0
2022-03-15,23.0
2022-03-16,20.0
2022-03-17,18.0
2022-03-18,21.0
2022-03-19,27.0
2022-03-20,27.0
2022-03-21,21.0
2022-03-22,19.0
2022-03-23,21.0
2022-03-24,21.0
2022-03-25,20.0
2022-03-26,28.0
2022-03-27,27.0
2022-03-28,18.0
2022-03-29,18.0
2022-03-30,20.0
2022-03-31,18.0
2022-04-01,21.0
2022-04-02,30.0
2022-04-03,29.0
2022-04-04,18.0
2022-04-05,19.0
2022-04-06,18.0
2022-04-07,20.0
2022-04-08,20.0
2022-04-09,26.0
2022-04-10,26.0
2022-04-11,20.0
2022-04-12,19.0
2022-04-13,18.0
2022-04-14,19.0
2022-04-15,22.0
2022-04-16,24.0
2022-04-17,25.0
2022-04-18,20.0
2022-04-19,20.0
2022-04-20,19.0
2022-04-21,18.0
2022-04-22,19.0
2022-04-23,26.0
2022-04-24,26.0
2022-04-25,20.0
