Google Trends Diagnostic — term: broke
Period : 2022-01-01 → 2026-05-31
Rows in stitched series : 1612
Monthly anchor points   : 8

Months with ratio outside [0.85, 1.15]  (0 found):

  None — alignment is clean.

Full monthly comparison:

Time               monthly    daily_agg    ratio
--------------------------------------------------
2022-05-01            76.0       75.692    0.996
2023-01-01            75.0       75.348    1.005
2023-10-01            77.0       76.884    0.998
2024-09-01            83.0       83.404    1.005
2024-12-01            82.0       81.368    0.992
2025-06-01            73.0       73.020    1.000
2026-02-01            89.0       92.168    1.036
2026-03-01            96.0       94.638    0.986
