Time,apple
2022-08-29,51
2022-08-30,51
2022-08-31,52
2022-09-01,50
2022-09-02,52
2022-09-03,55
2022-09-04,58
2022-09-05,59
2022-09-06,55
2022-09-07,100
2022-09-08,79
2022-09-09,72
2022-09-10,70
2022-09-11,63
2022-09-12,62
2022-09-13,62
2022-09-14,59
2022-09-15,58
2022-09-16,63
2022-09-17,73
2022-09-18,70
2022-09-19,64
2022-09-20,62
2022-09-21,65
2022-09-22,60
2022-09-23,67
2022-09-24,75
2022-09-25,73
2022-09-26,61
2022-09-27,61
2022-09-28,59
2022-09-29,56
2022-09-30,61
2022-10-01,67
2022-10-02,66
2022-10-03,65
2022-10-04,58
2022-10-05,57
2022-10-06,56
2022-10-07,62
2022-10-08,71
2022-10-09,69
2022-10-10,59
2022-10-11,60
2022-10-12,58
2022-10-13,60
2022-10-14,57
2022-10-15,66
2022-10-16,65
2022-10-17,54
2022-10-18,59
2022-10-19,56
2022-10-20,55
2022-10-21,57
2022-10-22,65
2022-10-23,62
2022-10-24,54
2022-10-25,54
2022-10-26,56
2022-10-27,56
2022-10-28,56
2022-10-29,60
2022-10-30,57
2022-10-31,52
2022-11-01,49
2022-11-02,52
2022-11-03,53
2022-11-04,56
2022-11-05,58
2022-11-06,56
2022-11-07,53
2022-11-08,49
2022-11-09,48
2022-11-10,50
2022-11-11,53
2022-11-12,56
2022-11-13,56
2022-11-14,50
2022-11-15,51
2022-11-16,51
2022-11-17,55
2022-11-18,57
2022-11-19,65
2022-11-20,67
2022-11-21,64
2022-11-22,67
2022-11-23,81
2022-11-24,90
2022-11-25,89
2022-11-26,75
2022-11-27,73
2022-11-28,70
2022-11-29,66
2022-11-30,81
2022-12-01,68
2022-12-02,55
2022-12-03,57
2022-12-04,56
2022-12-05,50
2022-12-06,50
2022-12-07,52
2022-12-08,52
2022-12-09,50
2022-12-10,56
2022-12-11,58
2022-12-12,50
2022-12-13,54
2022-12-14,51
2022-12-15,53
2022-12-16,54
2022-12-17,64
2022-12-18,56
2022-12-19,55
2022-12-20,57
2022-12-21,57
2022-12-22,55
2022-12-23,62
2022-12-24,63
2022-12-25,94
2022-12-26,82
2022-12-27,67
2022-12-28,62
2022-12-29,60
2022-12-30,58
2022-12-31,59
2023-01-01,58
2023-01-02,57
2023-01-03,53
2023-01-04,55
2023-01-05,53
2023-01-06,52
2023-01-07,53
2023-01-08,58
2023-01-09,48
2023-01-10,51
2023-01-11,54
2023-01-12,51
2023-01-13,49
2023-01-14,54
2023-01-15,50
2023-01-16,51
2023-01-17,51
2023-01-18,52
2023-01-19,47
2023-01-20,50
2023-01-21,52
2023-01-22,53
2023-01-23,51
2023-01-24,53
2023-01-25,51
2023-01-26,48
2023-01-27,49
2023-01-28,53
2023-01-29,52
2023-01-30,50
2023-01-31,48
2023-02-01,48
2023-02-02,49
2023-02-03,52
2023-02-04,51
2023-02-05,53
2023-02-06,46
2023-02-07,48
2023-02-08,49
2023-02-09,46
2023-02-10,47
2023-02-11,52
2023-02-12,50
2023-02-13,44
2023-02-14,46
2023-02-15,48
2023-02-16,47
2023-02-17,50
2023-02-18,52
2023-02-19,50
2023-02-20,49
2023-02-21,47
2023-02-22,46
2023-02-23,46
2023-02-24,47
2023-02-25,52
2023-02-26,53
2023-02-27,48
2023-02-28,46
2023-03-01,45
2023-03-02,44
2023-03-03,46
2023-03-04,49
2023-03-05,51
2023-03-06,45
2023-03-07,45
2023-03-08,43
2023-03-09,44
2023-03-10,47
2023-03-11,49
2023-03-12,49
2023-03-13,43
2023-03-14,46
2023-03-15,47
2023-03-16,47
2023-03-17,46
2023-03-18,50
2023-03-19,50
2023-03-20,46
2023-03-21,46
2023-03-22,46
2023-03-23,46
2023-03-24,48
2023-03-25,47
2023-03-26,49
2023-03-27,46
2023-03-28,47
2023-03-29,48
2023-03-30,48
2023-03-31,46
2023-04-01,50
2023-04-02,51
2023-04-03,46
2023-04-04,45
2023-04-05,46
2023-04-06,46
2023-04-07,48
2023-04-08,51
2023-04-09,47
2023-04-10,44
2023-04-11,45
2023-04-12,48
2023-04-13,44
2023-04-14,45
2023-04-15,48
2023-04-16,52
2023-04-17,49
2023-04-18,52
2023-04-19,49
2023-04-20,47
2023-04-21,49
2023-04-22,52
2023-04-23,53
2023-04-24,44
2023-04-25,47
2023-04-26,47
2023-04-27,46
2023-04-28,45
2023-04-29,48
2023-04-30,51
2023-05-01,47
2023-05-02,47
2023-05-03,47
2023-05-04,53
2023-05-05,50
2023-05-06,53
2023-05-07,50
2023-05-08,47
2023-05-09,45
2023-05-10,46
2023-05-11,47
2023-05-12,46
2023-05-13,49
2023-05-14,47
2023-05-15,48
2023-05-16,47
2023-05-17,47
2023-05-18,48
2023-05-19,48
2023-05-20,47
2023-05-21,51
2023-05-22,47
2023-05-23,44
2023-05-24,47
2023-05-25,46
