Time,mortgage calculator
2023-12-22,63
2023-12-23,60
2023-12-24,53
2023-12-25,47
2023-12-26,65
2023-12-27,82
2023-12-28,86
2023-12-29,84
2023-12-30,81
2023-12-31,73
2024-01-01,70
2024-01-02,82
2024-01-03,92
2024-01-04,93
2024-01-05,81
2024-01-06,90
2024-01-07,90
2024-01-08,76
2024-01-09,77
2024-01-10,81
2024-01-11,78
2024-01-12,77
2024-01-13,83
2024-01-14,77
2024-01-15,81
2024-01-16,77
2024-01-17,78
2024-01-18,76
2024-01-19,78
2024-01-20,86
2024-01-21,85
2024-01-22,76
2024-01-23,78
2024-01-24,79
2024-01-25,77
2024-01-26,77
2024-01-27,89
2024-01-28,88
2024-01-29,81
2024-01-30,85
2024-01-31,96
2024-02-01,79
2024-02-02,85
2024-02-03,94
2024-02-04,91
2024-02-05,90
2024-02-06,82
2024-02-07,89
2024-02-08,82
2024-02-09,80
2024-02-10,83
2024-02-11,84
2024-02-12,72
2024-02-13,82
2024-02-14,77
2024-02-15,79
2024-02-16,83
2024-02-17,92
2024-02-18,99
2024-02-19,93
2024-02-20,91
2024-02-21,91
2024-02-22,83
2024-02-23,84
2024-02-24,93
2024-02-25,97
2024-02-26,89
2024-02-27,81
2024-02-28,82
2024-02-29,83
2024-03-01,84
2024-03-02,94
2024-03-03,92
2024-03-04,90
2024-03-05,82
2024-03-06,81
2024-03-07,83
2024-03-08,79
2024-03-09,91
2024-03-10,92
2024-03-11,83
2024-03-12,85
2024-03-13,89
2024-03-14,82
2024-03-15,83
2024-03-16,89
2024-03-17,93
2024-03-18,90
2024-03-19,84
2024-03-20,87
2024-03-21,80
2024-03-22,80
2024-03-23,87
2024-03-24,90
2024-03-25,81
2024-03-26,80
2024-03-27,86
2024-03-28,81
2024-03-29,81
2024-03-30,87
2024-03-31,77
2024-04-01,91
2024-04-02,88
2024-04-03,84
2024-04-04,83
2024-04-05,81
2024-04-06,89
2024-04-07,87
2024-04-08,80
2024-04-09,83
2024-04-10,86
2024-04-11,80
2024-04-12,79
2024-04-13,87
2024-04-14,88
2024-04-15,84
2024-04-16,88
2024-04-17,88
2024-04-18,84
2024-04-19,82
2024-04-20,84
2024-04-21,85
2024-04-22,82
2024-04-23,81
2024-04-24,84
2024-04-25,82
2024-04-26,76
2024-04-27,85
2024-04-28,88
2024-04-29,85
2024-04-30,96
2024-05-01,92
2024-05-02,83
2024-05-03,83
2024-05-04,81
2024-05-05,80
2024-05-06,86
2024-05-07,83
2024-05-08,81
2024-05-09,79
2024-05-10,75
2024-05-11,82
2024-05-12,80
2024-05-13,85
2024-05-14,81
2024-05-15,87
2024-05-16,85
2024-05-17,80
2024-05-18,79
2024-05-19,83
2024-05-20,82
2024-05-21,79
2024-05-22,80
2024-05-23,79
2024-05-24,76
2024-05-25,79
2024-05-26,77
2024-05-27,79
2024-05-28,84
2024-05-29,84
2024-05-30,83
2024-05-31,80
2024-06-01,89
2024-06-02,91
2024-06-03,84
2024-06-04,85
2024-06-05,87
2024-06-06,88
2024-06-07,78
2024-06-08,85
2024-06-09,86
2024-06-10,87
2024-06-11,84
2024-06-12,91
2024-06-13,85
2024-06-14,79
2024-06-15,89
2024-06-16,81
2024-06-17,87
2024-06-18,84
2024-06-19,85
2024-06-20,90
2024-06-21,90
2024-06-22,91
2024-06-23,90
2024-06-24,91
2024-06-25,91
2024-06-26,86
2024-06-27,87
2024-06-28,77
2024-06-29,84
2024-06-30,79
2024-07-01,85
2024-07-02,88
2024-07-03,82
2024-07-04,74
2024-07-05,78
2024-07-06,82
2024-07-07,82
2024-07-08,90
2024-07-09,100
2024-07-10,90
2024-07-11,91
2024-07-12,87
2024-07-13,91
2024-07-14,79
2024-07-15,84
2024-07-16,87
2024-07-17,81
2024-07-18,84
2024-07-19,79
2024-07-20,83
2024-07-21,86
2024-07-22,85
2024-07-23,88
2024-07-24,87
2024-07-25,86
2024-07-26,83
2024-07-27,79
2024-07-28,82
2024-07-29,83
2024-07-30,86
2024-07-31,83
2024-08-01,89
2024-08-02,89
2024-08-03,92
2024-08-04,91
2024-08-05,99
2024-08-06,98
2024-08-07,92
2024-08-08,92
2024-08-09,92
2024-08-10,89
2024-08-11,90
2024-08-12,88
2024-08-13,91
2024-08-14,91
2024-08-15,90
2024-08-16,88
2024-08-17,85
2024-08-18,89
2024-08-19,87
2024-08-20,84
2024-08-21,83
2024-08-22,88
2024-08-23,84
2024-08-24,89
2024-08-25,93
2024-08-26,92
2024-08-27,84
2024-08-28,83
2024-08-29,80
2024-08-30,77
2024-08-31,81
2024-09-01,78
2024-09-02,83
2024-09-03,80
2024-09-04,87
2024-09-05,80
2024-09-06,77
2024-09-07,82
2024-09-08,75
2024-09-09,80
2024-09-10,80
2024-09-11,82
2024-09-12,87
2024-09-13,82
2024-09-14,89
2024-09-15,81
2024-09-16,95
