Time,daily mail
2025-04-15,74
2025-04-16,74
2025-04-17,76
2025-04-18,73
2025-04-19,64
2025-04-20,67
2025-04-21,77
2025-04-22,73
2025-04-23,70
2025-04-24,67
2025-04-25,68
2025-04-26,66
2025-04-27,66
2025-04-28,72
2025-04-29,69
2025-04-30,67
2025-05-01,70
2025-05-02,69
2025-05-03,63
2025-05-04,65
2025-05-05,70
2025-05-06,70
2025-05-07,70
2025-05-08,74
2025-05-09,69
2025-05-10,59
2025-05-11,58
2025-05-12,71
2025-05-13,75
2025-05-14,69
2025-05-15,68
2025-05-16,72
2025-05-17,66
2025-05-18,64
2025-05-19,73
2025-05-20,72
2025-05-21,73
2025-05-22,74
2025-05-23,69
2025-05-24,57
2025-05-25,61
2025-05-26,69
2025-05-27,75
2025-05-28,74
2025-05-29,71
2025-05-30,74
2025-05-31,58
2025-06-01,59
2025-06-02,70
2025-06-03,70
2025-06-04,71
2025-06-05,74
2025-06-06,75
2025-06-07,60
2025-06-08,65
2025-06-09,75
2025-06-10,76
2025-06-11,74
2025-06-12,78
2025-06-13,78
2025-06-14,75
2025-06-15,76
2025-06-16,80
2025-06-17,93
2025-06-18,85
2025-06-19,88
2025-06-20,76
2025-06-21,64
2025-06-22,83
2025-06-23,80
2025-06-24,91
2025-06-25,74
2025-06-26,76
2025-06-27,81
2025-06-28,68
2025-06-29,66
2025-06-30,75
2025-07-01,77
2025-07-02,80
2025-07-03,77
2025-07-04,70
2025-07-05,72
2025-07-06,72
2025-07-07,80
2025-07-08,76
2025-07-09,75
2025-07-10,74
2025-07-11,74
2025-07-12,62
2025-07-13,64
2025-07-14,77
2025-07-15,74
2025-07-16,73
2025-07-17,75
2025-07-18,72
2025-07-19,65
2025-07-20,66
2025-07-21,73
2025-07-22,79
2025-07-23,79
2025-07-24,76
2025-07-25,75
2025-07-26,64
2025-07-27,62
2025-07-28,72
2025-07-29,77
2025-07-30,75
2025-07-31,75
2025-08-01,68
2025-08-02,65
2025-08-03,61
2025-08-04,71
2025-08-05,73
2025-08-06,75
2025-08-07,71
2025-08-08,69
2025-08-09,61
2025-08-10,64
2025-08-11,72
2025-08-12,70
2025-08-13,69
2025-08-14,69
2025-08-15,71
2025-08-16,64
2025-08-17,61
2025-08-18,70
2025-08-19,70
2025-08-20,64
2025-08-21,66
2025-08-22,65
2025-08-23,59
2025-08-24,59
2025-08-25,70
2025-08-26,68
2025-08-27,73
2025-08-28,69
2025-08-29,61
2025-08-30,58
2025-08-31,60
2025-09-01,61
2025-09-02,65
2025-09-03,62
2025-09-04,65
2025-09-05,65
2025-09-06,55
2025-09-07,57
2025-09-08,67
2025-09-09,66
2025-09-10,87
2025-09-11,92
2025-09-12,100
2025-09-13,80
2025-09-14,70
2025-09-15,78
2025-09-16,71
2025-09-17,71
2025-09-18,78
2025-09-19,71
2025-09-20,64
2025-09-21,63
2025-09-22,74
2025-09-23,72
2025-09-24,73
2025-09-25,68
2025-09-26,69
2025-09-27,62
2025-09-28,68
2025-09-29,72
2025-09-30,72
2025-10-01,71
2025-10-02,70
2025-10-03,73
2025-10-04,65
2025-10-05,63
2025-10-06,67
2025-10-07,66
2025-10-08,68
2025-10-09,66
2025-10-10,69
2025-10-11,67
2025-10-12,66
2025-10-13,76
2025-10-14,68
2025-10-15,65
2025-10-16,68
2025-10-17,70
2025-10-18,64
2025-10-19,63
2025-10-20,67
2025-10-21,66
2025-10-22,62
2025-10-23,67
2025-10-24,67
2025-10-25,58
2025-10-26,59
2025-10-27,62
2025-10-28,66
2025-10-29,66
2025-10-30,70
2025-10-31,70
2025-11-01,62
2025-11-02,65
2025-11-03,69
2025-11-04,68
2025-11-05,70
2025-11-06,67
2025-11-07,69
2025-11-08,58
2025-11-09,59
2025-11-10,67
2025-11-11,65
2025-11-12,66
2025-11-13,65
2025-11-14,61
2025-11-15,54
2025-11-16,56
2025-11-17,60
2025-11-18,63
2025-11-19,62
2025-11-20,61
2025-11-21,63
2025-11-22,57
2025-11-23,55
2025-11-24,59
2025-11-25,62
2025-11-26,64
2025-11-27,57
2025-11-28,56
2025-11-29,53
2025-11-30,53
2025-12-01,57
2025-12-02,59
2025-12-03,60
2025-12-04,61
2025-12-05,57
2025-12-06,55
2025-12-07,52
2025-12-08,58
2025-12-09,60
2025-12-10,58
2025-12-11,60
2025-12-12,61
2025-12-13,55
2025-12-14,64
2025-12-15,77
2025-12-16,67
2025-12-17,65
2025-12-18,67
2025-12-19,71
2025-12-20,58
2025-12-21,57
2025-12-22,62
2025-12-23,63
2025-12-24,57
2025-12-25,55
2025-12-26,60
2025-12-27,56
2025-12-28,55
2025-12-29,63
2025-12-30,63
2025-12-31,62
2026-01-01,61
2026-01-02,65
2026-01-03,60
2026-01-04,58
2026-01-05,63
2026-01-06,60
2026-01-07,66
2026-01-08,66
2026-01-09,65
